,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
muenzer,206,28.0,11.0,17.0,54.0,0.41001915708812264,0.3484674329501916,0.21598193295059062,0.21598193295059062,4.456310679611651,MALE,1888
dietrich,68,14.0,5.0,9.0,15.0,0.16844827586206895,0.19434865900383141,0.07407804112186882,0.07407804112186882,1.9852941176470589,MALE,1888
gerlind,97,14.0,7.0,7.0,25.0,0.1598084291187739,0.1739463601532567,0.10194083887653578,0.10194083887653578,1.804123711340206,FEMALE,1888
pfeifer,65,11.0,6.0,5.0,23.0,0.06800766283524903,0.15478927203065132,0.056616674043889294,0.056616674043889294,1.7692307692307694,MALE,1888
graefin,25,6.0,2.0,4.0,5.0,0.07128352490421455,0.061206896551724135,0.03303903880289793,0.03303903880289793,0.8,FEMALE,1888
blinte,41,8.0,4.0,4.0,8.0,0.059444444444444446,0.13055555555555554,0.045959408686196836,0.045959408686196836,0.7804878048780488,MALE,1888
thomae,9,3.0,1.0,2.0,3.0,0.022988505747126436,0.022988505747126436,0.014911527030621163,0.014911527030621163,0.6666666666666666,MALE,1888
hans,43,6.0,2.0,4.0,7.0,0.03553639846743294,0.03103448275862069,0.04153000995301673,0.04153000995301673,0.6511627906976745,MALE,1888
jacobe,28,6.0,3.0,3.0,6.0,0.0,0.0,0.030801364012900075,0.030801364012900075,0.6428571428571428,FEMALE,1888
engel,20,5.0,2.0,3.0,4.0,0.004444444444444444,0.023275862068965515,0.02250931918809855,0.02250931918809855,0.6000000000000001,MALE,1888
luther,20,2.0,1.0,1.0,9.0,0.0,0.0,0.02511093224148648,0.02511093224148648,0.45,MALE,1888
erich,14,5.0,3.0,2.0,2.0,0.0846743295019157,0.11637931034482758,0.038895608496267844,0.038895608496267844,0.2857142857142857,MALE,1888
helldrungen,31,6.0,4.0,2.0,4.0,0.015708812260536397,0.05009578544061302,0.03063300351197682,0.03063300351197682,0.25806451612903225,MALE,1888
alle_2,4,1.0,0.0,1.0,1.0,0.0,0.0,0.008111923556710952,0.008111923556710952,0.25,,1888
liborius,18,4.0,2.0,2.0,2.0,0.03567049808429119,0.04425287356321839,0.0227962803738398,0.0227962803738398,0.2222222222222222,MALE,1888
storch,5,2.0,1.0,1.0,1.0,0.0,0.013793103448275862,0.011511725293666057,0.011511725293666057,0.2,MALE,1888
ruediger,5,3.0,2.0,1.0,1.0,0.0239272030651341,0.06465517241379311,0.030259528000905866,0.030259528000905866,0.2,MALE,1888
probst,12,2.0,1.0,1.0,2.0,0.0017241379310344827,0.00632183908045977,0.012336736099600579,0.012336736099600579,0.16666666666666666,MALE,1888
frau_huefer,7,2.0,1.0,1.0,1.0,0.001532567049808429,0.0,0.020705894818277795,0.020705894818277795,0.14285714285714285,FEMALE,1888
bauern_4,8,3.0,2.0,1.0,1.0,0.0,0.016666666666666666,0.016294744644617346,0.016294744644617346,0.125,,1888
bauern_1,9,2.0,1.0,1.0,1.0,0.0,0.0,0.011511725293666057,0.011511725293666057,0.1111111111111111,,1888
bauern_2,14,3.0,2.0,1.0,1.0,0.0,0.15191570881226052,0.015087318450841745,0.015087318450841745,0.07142857142857142,,1888
reinhard,3,2.0,2.0,0.0,0.0,0.0,0.0,0.02268306833781332,0.02268306833781332,0.0,MALE,1888
sander,7,1.0,1.0,0.0,0.0,0.0,0.0,0.011511725293666057,0.011511725293666057,0.0,MALE,1888
stimmen_vor_der_thuer,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010204263136270118,0.010204263136270118,0.0,,1888
ein_theil_der_bauern_2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013154654076624878,0.013154654076624878,0.0,,1888
laerm_draussen_vor_der_scene,1,1.0,1.0,0.0,0.0,0.0,0.0,0.011511725293666057,0.011511725293666057,0.0,,1888
roder,8,1.0,1.0,0.0,0.0,0.0,0.0,0.014911527030621163,0.014911527030621163,0.0,MALE,1888
frauen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01230991397723323,0.01230991397723323,0.0,,1888
ein_knecht_3-7,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01157782211196583,0.01157782211196583,0.0,MALE,1888
bauern_5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.011511725293666057,0.011511725293666057,0.0,,1888
ein_knappe,1,,,,,,,,,,MALE,1888
die_alte_steimann,2,,,,,,,,,,FEMALE,1888
viele_stimmen,1,,,,,,,,,,,1888
alle_1,1,,,,,,,,,,,1888
einige_bauern,1,,,,,,,,,,,1888
ein_theil_der_bauern_1,1,,,,,,,,,,,1888
laerm_hinter_der_scene,1,,,,,,,,,,,1888
weiber,3,,,,,,,,,,,1888
stimmen_hinter_der_scene,2,,,,,,,,,,,1888
wenige_stimmen,1,,,,,,,,,,,1888
starker_chor,1,,,,,,,,,,,1888
anderer_chor,1,,,,,,,,,,,1888
stimmen_durcheinander,1,,,,,,,,,,,1888
ein_knecht_3-6a,1,,,,,,,,,,MALE,1888
ein_knecht_3-6b,1,,,,,,,,,,MALE,1888
wache,1,,,,,,,,,,MALE,1888
landgraf,7,,,,,,,,,,MALE,1888
einige_landsknechte,1,,,,,,,,,,,1888
