,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
krawutschke,133,14.0,6.0,8.0,29.0,0.28030303030303033,0.23106060606060608,0.3180965188217027,0.3180965188217027,1.744360902255639,MALE,1890
lehmann,73,11.0,5.0,6.0,18.0,0.16666666666666669,0.2537878787878788,0.1710288782324908,0.1710288782324908,1.4794520547945205,MALE,1890
morphy,4,3.0,1.0,2.0,2.0,0.0,0.045454545454545456,0.027078945861260403,0.027078945861260403,1.0,MALE,1890
helene,79,5.0,3.0,2.0,32.0,0.007575757575757576,0.022727272727272728,0.14540609017579914,0.14540609017579914,0.810126582278481,FEMALE,1890
henriette,26,5.0,3.0,2.0,10.0,0.06060606060606061,0.06060606060606061,0.08243707781098145,0.08243707781098145,0.7692307692307693,FEMALE,1890
angler,12,4.0,2.0,2.0,4.0,0.0,0.14393939393939395,0.053802497038659275,0.053802497038659275,0.6666666666666666,MALE,1890
der_herr,7,1.0,0.0,1.0,1.0,0.0,0.0,0.01775531711141433,0.01775531711141433,0.14285714285714285,MALE,1890
das_vorstandsmitglied,7,1.0,0.0,1.0,1.0,0.0,0.0,0.01775531711141433,0.01775531711141433,0.14285714285714285,MALE,1890
bulle,9,2.0,1.0,1.0,1.0,0.0,0.0,0.036402574611106485,0.036402574611106485,0.1111111111111111,MALE,1890
mieze,9,3.0,2.0,1.0,1.0,0.0,0.026515151515151516,0.03515523953896712,0.03515523953896712,0.1111111111111111,FEMALE,1890
lude,5,1.0,1.0,0.0,0.0,0.0,0.0,0.036402574611106485,0.036402574611106485,0.0,MALE,1890
abramsen,5,1.0,1.0,0.0,0.0,0.0,0.0,0.02583161078912104,0.02583161078912104,0.0,MALE,1890
rufe,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0328473582859768,0.0328473582859768,0.0,,1890
ein_anderes_vorstandsmitglied,1,,,,,,,,,,MALE,1890
