,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
grillhofer,181,14.0,7.0,36.0,7.0,47.0,0.2532051282051282,0.1794871794871795,0.18659078594605893,0.18659078594605893,1.8176795580110499,MALE,1874
dusterer,101,10.0,4.0,25.0,6.0,22.0,0.08653846153846154,0.1976495726495726,0.1104708374247651,0.1104708374247651,1.306930693069307,MALE,1874
rosl,38,8.0,4.0,6.0,4.0,11.0,0.11538461538461538,0.24358974358974353,0.050801074112511196,0.050801074112511196,1.1578947368421053,FEMALE,1874
bauer,17,5.0,2.0,2.0,3.0,6.0,0.125,0.15384615384615385,0.09112720711002323,0.09112720711002323,1.0588235294117647,MALE,1874
maegde,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012070006035003024,0.012070006035003024,1.0,,1874
baeuerin,17,6.0,3.0,5.0,3.0,5.0,0.2692307692307692,0.28846153846153844,0.04026531613993877,0.04026531613993877,0.8823529411764706,FEMALE,1874
liesel,116,8.0,4.0,32.0,4.0,25.0,0.00641025641025641,0.00641025641025641,0.1313462853485496,0.1313462853485496,0.8620689655172413,FEMALE,1874
michl,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012070006035003024,0.012070006035003024,0.5,MALE,1874
annemirl,2,2.0,1.0,1.0,1.0,1.0,0.0641025641025641,0.0641025641025641,0.02232951116475561,0.02232951116475561,0.5,FEMALE,1874
wastl,124,6.0,4.0,26.0,2.0,26.0,0.0,0.0,0.11907538344174147,0.11907538344174147,0.41935483870967744,MALE,1874
leonhardt,20,4.0,2.0,9.0,2.0,3.0,0.0,0.0,0.04601501002705673,0.04601501002705673,0.3,MALE,1874
natzl,17,3.0,2.0,5.0,1.0,2.0,0.028846153846153844,0.0,0.0705553546961629,0.0705553546961629,0.11764705882352941,MALE,1874
hans,15,3.0,2.0,3.0,1.0,1.0,0.05128205128205128,0.05128205128205128,0.08495371135367488,0.08495371135367488,0.06666666666666667,MALE,1874
knechte,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02232951116475561,0.02232951116475561,0.0,,1874
