,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
vroni,141,15.0,7.0,8.0,35.0,0.19357298474945533,0.184640522875817,0.19489479086912107,0.19489479086912107,1.9858156028368794,FEMALE,1871
ferner,94,12.0,6.0,6.0,23.0,0.15925925925925924,0.14052287581699346,0.13582356077162017,0.13582356077162017,1.4680851063829787,MALE,1871
franz,94,8.0,4.0,4.0,25.0,0.03191721132897604,0.021241830065359478,0.15228547365593553,0.15228547365593553,1.0638297872340425,MALE,1871
burgei,4,3.0,1.0,2.0,2.0,0.006535947712418301,0.006535947712418301,0.043384585044279375,0.043384585044279375,1.0,FEMALE,1871
crescenz,17,6.0,3.0,3.0,5.0,0.013616557734204794,0.17320261437908496,0.0377490224039298,0.0377490224039298,0.8823529411764706,MALE,1871
hoellerer,33,6.0,3.0,3.0,8.0,0.002832244008714597,0.05392156862745098,0.05403942171822888,0.05403942171822888,0.7272727272727273,MALE,1871
mahm,17,4.0,1.0,3.0,4.0,0.06535947712418301,0.06535947712418301,0.03473440852642354,0.03473440852642354,0.7058823529411764,FEMALE,1871
lies,40,5.0,3.0,2.0,11.0,0.03594771241830066,0.05065359477124183,0.05278326825749047,0.05278326825749047,0.55,FEMALE,1871
jakob,17,4.0,2.0,2.0,4.0,0.0,0.06535947712418301,0.04324884263723888,0.04324884263723888,0.47058823529411764,MALE,1871
levy,9,1.0,0.0,1.0,4.0,0.0,0.0,0.010771496039710457,0.010771496039710457,0.4444444444444444,MALE,1871
annerl,3,3.0,2.0,1.0,1.0,0.006535947712418301,0.006535947712418301,0.03836700825376411,0.03836700825376411,0.3333333333333333,FEMALE,1871
waberl,3,1.0,0.0,1.0,1.0,0.0,0.0,0.010771496039710457,0.010771496039710457,0.3333333333333333,FEMALE,1871
toni,22,4.0,2.0,2.0,3.0,0.0072984749455337694,0.02777777777777778,0.03307230538716308,0.03307230538716308,0.2727272727272727,MALE,1871
grossknecht,21,3.0,2.0,1.0,5.0,0.0,0.00980392156862745,0.03488157435501944,0.03488157435501944,0.23809523809523808,MALE,1871
mirzl,5,1.0,0.0,1.0,1.0,0.0,0.0,0.010771496039710457,0.010771496039710457,0.2,FEMALE,1871
muckerl,10,2.0,1.0,1.0,1.0,0.0032679738562091504,0.0032679738562091504,0.019927400733543828,0.019927400733543828,0.1,MALE,1871
bader,12,3.0,2.0,1.0,1.0,0.06535947712418301,0.06535947712418301,0.028191612407389554,0.028191612407389554,0.08333333333333333,MALE,1871
gretl,2,2.0,2.0,0.0,0.0,0.0,0.0,0.04614964627331185,0.04614964627331185,0.0,FEMALE,1871
rosl,8,1.0,1.0,0.0,0.0,0.0,0.0,0.018152590586408814,0.018152590586408814,0.0,FEMALE,1871
erster_schwaerzer,1,,,,,,,,,,MALE,1871
zweiter_schwaerzer,1,,,,,,,,,,MALE,1871
kathrein,7,,,,,,,,,,FEMALE,1871
