,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
einige_bauern,3,2.0,0.0,2.0,3.0,0.0,0.0,0.018167956016532847,0.018167956016532847,2.0,,1870
hell,139,10.0,4.0,6.0,42.0,0.2863247863247863,0.21153846153846154,0.11127667663806863,0.11127667663806863,1.8129496402877698,MALE,1870
wirtin,15,4.0,1.0,3.0,8.0,0.0,0.0,0.02763580625338693,0.02763580625338693,1.6,FEMALE,1870
sepp,91,11.0,5.0,6.0,19.0,0.31837606837606836,0.34294871794871795,0.1058189287351446,0.1058189287351446,1.2527472527472527,MALE,1870
annerl,123,8.0,4.0,4.0,36.0,0.16025641025641024,0.23076923076923075,0.16589013958829682,0.16589013958829682,1.170731707317073,FEMALE,1870
finsterberg,49,5.0,2.0,3.0,13.0,0.1282051282051282,0.1282051282051282,0.06732083945468047,0.06732083945468047,0.7959183673469388,MALE,1870
wirt,24,4.0,2.0,2.0,7.0,0.0,0.0641025641025641,0.030572137453455897,0.030572137453455897,0.5833333333333334,MALE,1870
brigitte,29,4.0,2.0,2.0,8.0,0.0,0.09294871794871795,0.032757876231807405,0.032757876231807405,0.5517241379310345,FEMALE,1870
schulmeister,30,7.0,5.0,2.0,7.0,0.09615384615384615,0.20192307692307693,0.11103154249451837,0.11103154249451837,0.4666666666666667,MALE,1870
michel,65,4.0,2.0,2.0,6.0,0.06837606837606837,0.14423076923076922,0.1621841796310211,0.1621841796310211,0.18461538461538463,MALE,1870
lux,17,2.0,1.0,1.0,2.0,0.0,0.0,0.044577495159216135,0.044577495159216135,0.11764705882352941,MALE,1870
hannsl,17,3.0,3.0,0.0,0.0,0.0,0.0,0.03697528138507394,0.03697528138507394,0.0,MALE,1870
loisl,3,1.0,1.0,0.0,0.0,0.0,0.0,0.05861483373602324,0.05861483373602324,0.0,MALE,1870
vetter,20,1.0,1.0,0.0,0.0,0.0,0.0,0.027176307222773186,0.027176307222773186,0.0,MALE,1870
wallfahrerchor,1,,,,,,,,,,,1870
hochzeitsreigen,1,,,,,,,,,,,1870
alle_3-3,1,,,,,,,,,,,1870
chor,1,,,,,,,,,,,1870
hochzeitschor,1,,,,,,,,,,,1870
junge_burschen,5,,,,,,,,,,,1870
ein_alter_bauer,4,,,,,,,,,,MALE,1870
mehrere_alte_bauern,4,,,,,,,,,,,1870
