,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
anton,183,16.0,8.0,8.0,45.0,0.24780701754385964,0.22894736842105262,0.20560692276518477,0.20560692276518477,1.9672131147540983,MALE,1872
steinklopferhanns,156,15.0,6.0,9.0,34.0,0.25482456140350873,0.32719298245614037,0.20538302593857466,0.20538302593857466,1.9615384615384617,MALE,1872
tobias,7,3.0,1.0,2.0,5.0,0.04473684210526316,0.04473684210526316,0.018347898774374732,0.018347898774374732,1.4285714285714286,MALE,1872
josepha,126,8.0,3.0,5.0,36.0,0.16052631578947368,0.16052631578947368,0.1287996723358233,0.1287996723358233,1.4285714285714284,FEMALE,1872
marthe,4,2.0,0.0,2.0,2.0,0.0,0.0,0.009224735307603121,0.009224735307603121,1.0,FEMALE,1872
loisl,14,6.0,3.0,3.0,4.0,0.025000000000000005,0.03903508771929825,0.025333511832031134,0.025333511832031134,0.8571428571428571,MALE,1872
liesel,24,4.0,2.0,2.0,8.0,0.003508771929824561,0.0,0.023377357152254252,0.023377357152254252,0.6666666666666666,FEMALE,1872
veit,14,5.0,2.0,3.0,3.0,0.041666666666666664,0.04649122807017544,0.039141077497823716,0.039141077497823716,0.6428571428571428,MALE,1872
sepp,7,5.0,3.0,2.0,2.0,0.017105263157894735,0.11798245614035088,0.029332615756157678,0.029332615756157678,0.5714285714285714,MALE,1872
michl,20,7.0,4.0,3.0,3.0,0.036403508771929834,0.14035087719298245,0.02489612086174456,0.02489612086174456,0.44999999999999996,MALE,1872
grossbauer,21,7.0,5.0,2.0,4.0,0.10175438596491228,0.07894736842105263,0.06305329856325258,0.06305329856325258,0.38095238095238093,MALE,1872
martin,12,2.0,0.0,2.0,2.0,0.0,0.0,0.009224735307603121,0.009224735307603121,0.3333333333333333,MALE,1872
mathies,19,3.0,1.0,2.0,3.0,0.04210526315789473,0.042105263157894736,0.03293066471923715,0.03293066471923715,0.3157894736842105,MALE,1872
klaus,17,2.0,1.0,1.0,4.0,0.0,0.0,0.027889380880416537,0.027889380880416537,0.23529411764705882,MALE,1872
einzelne_alle_mehrere_1-4_und_1-6,5,2.0,1.0,1.0,1.0,0.0,0.0,0.02262400122084319,0.02262400122084319,0.2,,1872
altlechner,20,7.0,5.0,2.0,2.0,0.1219298245614035,0.18157894736842106,0.04359173505831775,0.04359173505831775,0.2,MALE,1872
einige_mehrere_alle_2-6_bis_2-9,6,1.0,0.0,1.0,1.0,0.0,0.0,0.009224735307603121,0.009224735307603121,0.16666666666666666,,1872
brenninger,12,3.0,2.0,1.0,1.0,0.039473684210526314,0.039473684210526314,0.03058338882736905,0.03058338882736905,0.08333333333333333,MALE,1872
die_bursche,20,2.0,2.0,0.0,0.0,0.0,0.0,0.02682548305466559,0.02682548305466559,0.0,,1872
ursel,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012343849042592957,0.012343849042592957,0.0,FEMALE,1872
mehrere_weiber,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012265789796526993,0.012265789796526993,0.0,,1872
die_bauern,2,,,,,,,,,,,1872
chor_der_wallfahrer,7,,,,,,,,,,,1872
