,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
thomas,182,15.0,7.0,8.0,34.0,0.22630718954248366,0.2058823529411765,0.20685719562148416,0.20685719562148416,1.4945054945054945,MALE,1885
hammer,137,11.0,5.0,6.0,33.0,0.04793028322440088,0.07516339869281045,0.10553489584685412,0.10553489584685412,1.4452554744525548,MALE,1885
alte_hammer,103,8.0,4.0,4.0,37.0,0.04738562091503268,0.03594771241830066,0.08909193037117218,0.08909193037117218,1.4368932038834952,FEMALE,1885
alwine,65,7.0,3.0,4.0,18.0,0.0008169934640522876,0.00980392156862745,0.051845033605601915,0.051845033605601915,1.1076923076923078,FEMALE,1885
alle_1-10,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009877085942004432,0.009877085942004432,1.0,,1885
dienstmann,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009877085942004432,0.009877085942004432,1.0,MALE,1885
einige_vorwiegend_frauenstimmen,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009877085942004432,0.009877085942004432,1.0,,1885
frau_xandl,67,8.0,4.0,4.0,16.0,0.0915032679738562,0.10457516339869281,0.08586389361672545,0.08586389361672545,0.9552238805970149,FEMALE,1885
schrauber,74,9.0,5.0,4.0,17.0,0.01525054466230937,0.04084967320261438,0.09945780327324892,0.09945780327324892,0.918918918918919,MALE,1885
hermine,73,10.0,7.0,3.0,13.0,0.10266884531590413,0.13071895424836602,0.08304274604533865,0.08304274604533865,0.5342465753424657,FEMALE,1885
arbeiter,2,1.0,0.0,1.0,1.0,0.0,0.0,0.009877085942004432,0.009877085942004432,0.5,MALE,1885
florian,29,4.0,2.0,2.0,7.0,0.0,0.016339869281045753,0.03788932282729982,0.03788932282729982,0.4827586206896552,MALE,1885
faehnlein,91,6.0,3.0,3.0,14.0,0.0008169934640522876,0.022875816993464054,0.09056525028161576,0.09056525028161576,0.46153846153846156,MALE,1885
bursche,3,2.0,1.0,1.0,1.0,0.0,0.0,0.014438696180056514,0.014438696180056514,0.3333333333333333,MALE,1885
jette,3,1.0,0.0,1.0,1.0,0.0,0.0,0.009877085942004432,0.009877085942004432,0.3333333333333333,FEMALE,1885
zaenker,17,3.0,1.0,2.0,2.0,0.039215686274509796,0.0392156862745098,0.018272626254845922,0.018272626254845922,0.23529411764705882,MALE,1885
frau_holler,9,3.0,2.0,1.0,2.0,0.032679738562091505,0.032679738562091505,0.023444031333872753,0.023444031333872753,0.2222222222222222,FEMALE,1885
sein_weib,1,1.0,1.0,0.0,0.0,0.0,0.0,0.018272626254845922,0.018272626254845922,0.0,FEMALE,1885
rost,3,2.0,2.0,0.0,0.0,0.0,0.0,0.02603851877701542,0.02603851877701542,0.0,MALE,1885
erster_schreiber,1,,,,,,,,,,MALE,1885
zweiter_schreiber,1,,,,,,,,,,MALE,1885
die_anderen_1-1,1,,,,,,,,,,,1885
ein_teil_der_gesellschaft,1,,,,,,,,,,,1885
die_andern_1-10,1,,,,,,,,,,,1885
rellmann,1,,,,,,,,,,MALE,1885
seitzer,3,,,,,,,,,,MALE,1885
frau_seitzer,2,,,,,,,,,,FEMALE,1885
taterl,1,,,,,,,,,,MALE,1885
adalgise,3,,,,,,,,,,FEMALE,1885
ein_strolch,4,,,,,,,,,,MALE,1885
