,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
cardenio,238,33.0,13.0,20.0,40.0,0.2553945249597424,0.2323671497584541,0.11848264104483007,0.11848264104483007,3.3613445378151265,MALE,1811
einer_aus_dem_volke,1,1.0,0.0,1.0,1.0,0.0,0.0,0.005852700906112595,0.005852700906112595,1.0,MALE,1811
lysander,103,11.0,5.0,6.0,16.0,0.06384057971014492,0.04476650563607085,0.04358119621637642,0.04358119621637642,0.9320388349514562,MALE,1811
viren,111,9.0,3.0,6.0,16.0,0.02541062801932367,0.04355877616747182,0.03309535267834534,0.03309535267834534,0.8648648648648649,MALE,1811
viele_1-18,5,2.0,0.0,2.0,2.0,0.0,0.0,0.005852700906112595,0.005852700906112595,0.8,,1811
olympie,146,10.0,4.0,6.0,18.0,0.049565217391304366,0.036231884057971016,0.04183159604140751,0.04183159604140751,0.7397260273972602,FEMALE,1811
nathan,40,7.0,3.0,4.0,6.0,0.038003220611916265,0.03913043478260869,0.028140626303076136,0.028140626303076136,0.6,MALE,1811
die_jungfrau,10,2.0,0.0,2.0,3.0,0.0,0.0,0.005852700906112595,0.005852700906112595,0.6,FEMALE,1811
prinzessin,14,3.0,1.0,2.0,4.0,0.0004830917874396135,0.0004830917874396135,0.04537951271477889,0.04537951271477889,0.5714285714285714,FEMALE,1811
viele_3-2,4,2.0,1.0,1.0,2.0,0.0,0.0,0.008370522318987314,0.008370522318987314,0.5,,1811
die_haescher,2,1.0,0.0,1.0,1.0,0.0,0.0,0.005852700906112595,0.005852700906112595,0.5,,1811
celinde,94,8.0,5.0,3.0,14.0,0.05709339774557166,0.05241545893719807,0.04658242799825254,0.04658242799825254,0.44680851063829785,FEMALE,1811
ahasverus,59,6.0,3.0,3.0,7.0,0.019838969404186793,0.03655394524959742,0.04063643975367652,0.04063643975367652,0.3559322033898305,MALE,1811
pamphilio,46,6.0,2.0,4.0,4.0,0.023148148148148147,0.06360708534621576,0.021943449197331225,0.021943449197331225,0.34782608695652173,MALE,1811
meyer,12,2.0,0.0,2.0,2.0,0.0,0.0,0.005852700906112595,0.005852700906112595,0.3333333333333333,MALE,1811
dienemann,19,5.0,3.0,2.0,3.0,0.036932367149758456,0.10305958132045089,0.02864902615733015,0.02864902615733015,0.3157894736842105,MALE,1811
tyche,29,4.0,2.0,2.0,4.0,0.025603864734299518,0.025603864734299518,0.03909206925636757,0.03909206925636757,0.27586206896551724,FEMALE,1811
erster_knabe,4,2.0,1.0,1.0,1.0,0.0,0.0,0.009839375211389254,0.009839375211389254,0.25,MALE,1811
die_gestalt,8,2.0,1.0,1.0,2.0,0.0,0.0,0.010888343731862034,0.010888343731862034,0.25,FEMALE,1811
cleon,5,2.0,1.0,1.0,1.0,0.0,0.0,0.022467390390947344,0.022467390390947344,0.2,MALE,1811
wagner,6,1.0,0.0,1.0,1.0,0.0,0.0,0.005852700906112595,0.005852700906112595,0.16666666666666666,MALE,1811
lindor,7,2.0,1.0,1.0,1.0,0.0,0.00024154589371980676,0.0075109775441507065,0.0075109775441507065,0.14285714285714285,MALE,1811
prediger_2-11,11,2.0,1.0,1.0,1.0,0.0,0.0,0.007828133024868922,0.007828133024868922,0.09090909090909091,MALE,1811
erster_musikant,13,2.0,1.0,1.0,1.0,0.010628019323671497,0.010628019323671497,0.008370522318987314,0.008370522318987314,0.07692307692307693,MALE,1811
stuermer,14,2.0,1.0,1.0,1.0,0.0,0.0,0.05440574638842731,0.05440574638842731,0.07142857142857142,MALE,1811
edelchen,15,2.0,1.0,1.0,1.0,0.0042995169082125605,0.011916264090177132,0.009839375211389254,0.009839375211389254,0.06666666666666667,FEMALE,1811
weissprinz,15,3.0,2.0,1.0,1.0,0.0004830917874396135,0.0004830917874396135,0.04650439765507757,0.04650439765507757,0.06666666666666667,MALE,1811
doris,62,6.0,4.0,2.0,2.0,0.014299516908212562,0.029227053140096618,0.0331949718803172,0.0331949718803172,0.06451612903225806,FEMALE,1811
kuemmermann,16,3.0,2.0,1.0,1.0,0.010628019323671497,0.010628019323671497,0.057138081081587154,0.057138081081587154,0.0625,MALE,1811
gevatterin,17,4.0,3.0,1.0,1.0,0.0049275362318840586,0.07600644122383252,0.01796815912133653,0.01796815912133653,0.058823529411764705,FEMALE,1811
mohrenprinz,17,2.0,1.0,1.0,1.0,0.0,0.0,0.025138027347017693,0.025138027347017693,0.058823529411764705,MALE,1811
suppius,19,3.0,2.0,1.0,1.0,0.010628019323671497,0.010628019323671497,0.010857937276044484,0.010857937276044484,0.05263157894736842,MALE,1811
die_frau,10,2.0,2.0,0.0,0.0,0.0,0.0,0.015553630858409679,0.015553630858409679,0.0,FEMALE,1811
anton,2,1.0,1.0,0.0,0.0,0.0,0.0,0.00816801466962962,0.00816801466962962,0.0,MALE,1811
schmidt,2,1.0,1.0,0.0,0.0,0.0,0.0,0.015082065625617043,0.015082065625617043,0.0,MALE,1811
praeses_der_studenten,1,1.0,1.0,0.0,0.0,0.0,0.0,0.007828133024868922,0.007828133024868922,0.0,MALE,1811
ein_anderer_aus_dem_volke,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01082753082022693,0.01082753082022693,0.0,MALE,1811
die_dicke_magd,2,1.0,1.0,0.0,0.0,0.0,0.0,0.008370522318987314,0.008370522318987314,0.0,FEMALE,1811
prediger_lyrer,13,1.0,1.0,0.0,0.0,0.0,0.0,0.008370522318987314,0.008370522318987314,0.0,MALE,1811
hallorenweib,2,1.0,1.0,0.0,0.0,0.0,0.0,0.008370522318987314,0.008370522318987314,0.0,FEMALE,1811
