,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
jude,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007952599063153501,0.007952599063153501,1.0,MALE,1811
reicher_pilger,34,7.0,3.0,4.0,7.0,0.07610241820768136,0.077524893314367,0.062339006089484846,0.062339006089484846,0.8235294117647058,MALE,1811
sidney,50,9.0,4.0,5.0,6.0,0.11308677098150782,0.11948790896159318,0.04380443076695899,0.04380443076695899,0.6,MALE,1811
lysander,39,5.0,1.0,4.0,5.0,0.002844950213371266,0.0,0.016456616662126496,0.016456616662126496,0.5128205128205128,MALE,1811
andrer,2,1.0,0.0,1.0,1.0,0.0,0.0,0.007952599063153501,0.007952599063153501,0.5,MALE,1811
aebtissin,13,2.0,0.0,2.0,3.0,0.0,0.0,0.007952599063153501,0.007952599063153501,0.46153846153846156,FEMALE,1811
bromly,44,7.0,3.0,4.0,5.0,0.08534850640113799,0.08534850640113799,0.02519518619013293,0.02519518619013293,0.45454545454545453,MALE,1811
chor_der_nonnen,10,3.0,1.0,2.0,2.0,0.0,0.0,0.013830746060308464,0.013830746060308464,0.4,,1811
waisenhaeuser,23,5.0,2.0,3.0,3.0,0.03698435277382646,0.03698435277382646,0.041759360162174054,0.041759360162174054,0.3913043478260869,MALE,1811
erster_alter,21,3.0,1.0,2.0,4.0,0.007823613086770981,0.007823613086770981,0.020364062453635506,0.020364062453635506,0.38095238095238093,MALE,1811
einer_b,3,2.0,1.0,1.0,1.0,0.015647226173541962,0.015647226173541962,0.014712387397268153,0.014712387397268153,0.3333333333333333,MALE,1811
christen,7,2.0,1.0,1.0,2.0,0.0,0.0,0.05296413593597823,0.05296413593597823,0.2857142857142857,,1811
mahomedaner,7,2.0,1.0,1.0,2.0,0.0,0.0,0.05296413593597823,0.05296413593597823,0.2857142857142857,,1811
cardenio,78,4.0,1.0,3.0,7.0,0.015647226173541962,0.015647226173541962,0.018539612415302862,0.018539612415302862,0.2692307692307692,MALE,1811
matrose,4,1.0,0.0,1.0,1.0,0.0,0.0,0.007952599063153501,0.007952599063153501,0.25,MALE,1811
fatme,13,2.0,1.0,1.0,3.0,0.01422475106685633,0.01422475106685633,0.011332493230210827,0.011332493230210827,0.23076923076923078,FEMALE,1811
reisender,27,3.0,1.0,2.0,3.0,0.017780938833570414,0.017780938833570414,0.012235875836976858,0.012235875836976858,0.2222222222222222,MALE,1811
favorite,18,2.0,0.0,2.0,2.0,0.0,0.0,0.007952599063153501,0.007952599063153501,0.2222222222222222,FEMALE,1811
schaefermaedchen,5,2.0,1.0,1.0,1.0,0.0,0.0,0.05129594098154683,0.05129594098154683,0.2,FEMALE,1811
schaeferknabe,5,1.0,0.0,1.0,1.0,0.0,0.0,0.007952599063153501,0.007952599063153501,0.2,MALE,1811
kapitaen,33,6.0,4.0,2.0,3.0,0.05903271692745377,0.05903271692745377,0.06078970302326732,0.06078970302326732,0.18181818181818182,MALE,1811
olympie,53,7.0,4.0,3.0,3.0,0.06899004267425321,0.0732574679943101,0.03001374887135386,0.03001374887135386,0.169811320754717,FEMALE,1811
kuemmeltuerke,16,3.0,2.0,1.0,2.0,0.02702702702702703,0.02702702702702703,0.031819399152521174,0.031819399152521174,0.125,MALE,1811
kleiner_bube,40,8.0,6.0,2.0,2.0,0.07467994310099574,0.07610241820768136,0.10198117497178771,0.10198117497178771,0.1,MALE,1811
ahasverus,41,6.0,4.0,2.0,2.0,0.05618776671408251,0.06330014224751067,0.043119470572111664,0.043119470572111664,0.0975609756097561,MALE,1811
lord,11,1.0,0.0,1.0,1.0,0.0,0.0,0.007952599063153501,0.007952599063153501,0.09090909090909091,MALE,1811
bassa,14,3.0,2.0,1.0,1.0,0.02702702702702703,0.02702702702702703,0.02379106903473631,0.02379106903473631,0.07142857142857142,MALE,1811
dienemann,14,2.0,1.0,1.0,1.0,0.025604551920341397,0.025604551920341397,0.014158330758394505,0.014158330758394505,0.07142857142857142,MALE,1811
celinde,65,2.0,1.0,1.0,2.0,0.0,0.0,0.012455140477957736,0.012455140477957736,0.03076923076923077,FEMALE,1811
roxane,4,1.0,1.0,0.0,0.0,0.0,0.0,0.011332493230210827,0.011332493230210827,0.0,FEMALE,1811
nonne,5,1.0,1.0,0.0,0.0,0.0,0.0,0.010205861841191717,0.010205861841191717,0.0,FEMALE,1811
viren,24,1.0,1.0,0.0,0.0,0.0,0.0,0.016519152610800218,0.016519152610800218,0.0,MALE,1811
dritter_alter,6,1.0,1.0,0.0,0.0,0.0,0.0,0.020934905928468202,0.020934905928468202,0.0,MALE,1811
juden,1,1.0,1.0,0.0,0.0,0.0,0.0,0.026278743676317138,0.026278743676317138,0.0,,1811
der_alte,1,1.0,1.0,0.0,0.0,0.0,0.0,0.019784633741920715,0.019784633741920715,0.0,MALE,1811
schmid,7,1.0,1.0,0.0,0.0,0.0,0.0,0.014886378593694705,0.014886378593694705,0.0,MALE,1811
stigma,3,1.0,1.0,0.0,0.0,0.0,0.0,0.012235875836976858,0.012235875836976858,0.0,MALE,1811
lichterzieher,12,1.0,1.0,0.0,0.0,0.0,0.0,0.042400988057822976,0.042400988057822976,0.0,MALE,1811
stimme_aus_dem_heilgen_grabe,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013830746060308464,0.013830746060308464,0.0,MALE,1811
schriftgelehrter,3,,,,,,,,,,MALE,1811
jesus,3,,,,,,,,,,MALE,1811
einer_der_schaecher,1,,,,,,,,,,MALE,1811
der_andere_schaecher,1,,,,,,,,,,MALE,1811
schiffsleute_matrosen,6,,,,,,,,,,,1811
deutsche_soldaten,1,,,,,,,,,,,1811
die_englischen_matrosen,1,,,,,,,,,,,1811
die_gestalt,5,,,,,,,,,,FEMALE,1811
der_storch,1,,,,,,,,,,UNKNOWN,1811
die_pilger,1,,,,,,,,,,,1811
jungfrau,9,,,,,,,,,,FEMALE,1811
die_englaender_6,7,,,,,,,,,,,1811
einer_a,1,,,,,,,,,,MALE,1811
ein_jaeger,1,,,,,,,,,,MALE,1811
ein_reiter,1,,,,,,,,,,MALE,1811
viele,1,,,,,,,,,,,1811
schildwache,1,,,,,,,,,,MALE,1811
soldaten,1,,,,,,,,,,,1811
arzt,1,,,,,,,,,,MALE,1811
mohr,1,,,,,,,,,,MALE,1811
der_einsiedler,4,,,,,,,,,,MALE,1811
achmet,1,,,,,,,,,,MALE,1811
andre_nonne,5,,,,,,,,,,FEMALE,1811
dritte_nonne,3,,,,,,,,,,FEMALE,1811
pfoertnerin,1,,,,,,,,,,FEMALE,1811
zweiter_alter,4,,,,,,,,,,MALE,1811
rabbi,1,,,,,,,,,,MALE,1811
hirtinnen,2,,,,,,,,,,,1811
hirten,1,,,,,,,,,,,1811
griechen,3,,,,,,,,,,,1811
armenianer,2,,,,,,,,,,,1811
die_englaender_13,1,,,,,,,,,,,1811
der_dichter,0,,,,,,,,,,MALE,1811
