,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
caboga,80,13.0,5.0,10.0,8.0,19.0,0.2736111111111111,0.23333333333333334,0.10127413056298121,0.10127413056298121,1.9,MALE,1826
herzog,38,8.0,2.0,3.0,6.0,10.0,0.08611111111111111,0.12083333333333333,0.04396559110772637,0.04396559110772637,1.5789473684210527,MALE,1826
bettler,28,6.0,3.0,4.0,3.0,6.0,0.14583333333333334,0.14583333333333334,0.07196020092694318,0.07196020092694318,0.6428571428571428,MALE,1826
procoli,43,10.0,6.0,11.0,4.0,6.0,0.21458333333333332,0.25,0.09640014760641905,0.09640014760641905,0.5581395348837209,MALE,1826
marina,16,4.0,2.0,2.0,2.0,4.0,0.0,0.008333333333333333,0.030752719785690878,0.030752719785690878,0.5,FEMALE,1826
polo,8,3.0,1.0,1.0,2.0,2.0,0.05,0.05,0.06352582605752932,0.06352582605752932,0.5,MALE,1826
viele_3,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012565113756936454,0.012565113756936454,0.5,,1826
mitrovich,25,4.0,1.0,5.0,3.0,3.0,0.016666666666666666,0.0,0.03521880282024625,0.03521880282024625,0.36,MALE,1826
czirich,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012565113756936454,0.012565113756936454,0.3333333333333333,MALE,1826
hitrov,6,3.0,2.0,2.0,1.0,1.0,0.003472222222222222,0.008333333333333333,0.02628098279625985,0.02628098279625985,0.16666666666666666,MALE,1826
crook,14,3.0,2.0,5.0,1.0,2.0,0.0,0.004166666666666667,0.15931104664043585,0.15931104664043585,0.14285714285714285,MALE,1826
cornelia,29,4.0,3.0,7.0,1.0,4.0,0.018055555555555557,0.0,0.16824761095648427,0.16824761095648427,0.13793103448275862,FEMALE,1826
kassuba,9,3.0,2.0,3.0,1.0,1.0,0.0375,0.0375,0.059952955045386405,0.059952955045386405,0.1111111111111111,MALE,1826
carofilli,16,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.04314859255186267,0.04314859255186267,0.0625,MALE,1826
viele_1,5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.030752719785690878,0.030752719785690878,0.0,,1826
ratsherr,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.02083295809213724,0.02083295809213724,0.0,MALE,1826
einer,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.023245487750333506,0.023245487750333506,0.0,MALE,1826
