,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
herr_von_baer,100,15.0,7.0,8.0,30.0,0.04764957264957265,0.1014957264957265,0.08718768890635989,0.08718768890635989,2.4,MALE,1781
frau_von_habicht,127,12.0,4.0,8.0,32.0,0.046153846153846156,0.05448717948717949,0.11006295777095919,0.11006295777095919,2.015748031496063,FEMALE,1781
ganymedes,7,4.0,1.0,3.0,4.0,0.0,0.0,0.018973029353679095,0.018973029353679095,1.7142857142857142,MALE,1781
fraeule,64,11.0,5.0,6.0,18.0,0.003418803418803419,0.08247863247863248,0.05384625967698282,0.05384625967698282,1.6875,FEMALE,1781
herr_von_wolf,106,11.0,6.0,5.0,23.0,0.026495726495726492,0.04700854700854701,0.12407015344259809,0.12407015344259809,1.0849056603773586,MALE,1781
volpino,142,13.0,6.0,7.0,22.0,0.05405982905982906,0.012179487179487178,0.1771731165620338,0.1771731165620338,1.084507042253521,MALE,1781
lisel,84,9.0,5.0,4.0,19.0,0.015384615384615384,0.0,0.16145076516301457,0.16145076516301457,0.9047619047619048,FEMALE,1781
tomaso,22,5.0,2.0,3.0,3.0,0.0,0.05277777777777777,0.020335080928572266,0.020335080928572266,0.40909090909090906,MALE,1781
daphne,3,1.0,0.0,1.0,1.0,0.0,0.0,0.014941216751526674,0.014941216751526674,0.3333333333333333,FEMALE,1781
johann,56,10.0,8.0,2.0,4.0,0.011965811965811965,0.05833333333333333,0.11024872248858145,0.11024872248858145,0.14285714285714285,MALE,1781
fraenzl,30,4.0,2.0,2.0,2.0,0.0,0.005341880341880341,0.05209179312626047,0.05209179312626047,0.13333333333333333,FEMALE,1781
chor_1-16,4,1.0,1.0,0.0,0.0,0.0,0.0,0.027641344519921056,0.027641344519921056,0.0,,1781
chloe,6,1.0,1.0,0.0,0.0,0.0,0.0,0.02300484195583151,0.02300484195583151,0.0,FEMALE,1781
tirus,2,1.0,1.0,0.0,0.0,0.0,0.0,0.018973029353679095,0.018973029353679095,0.0,MALE,1781
dardos,1,,,,,,,,,,MALE,1781
jakob,1,,,,,,,,,,MALE,1781
peter,1,,,,,,,,,,MALE,1781
chor_2-11,1,,,,,,,,,,,1781
chor_3-16,2,,,,,,,,,,,1781
chor_3-23,0,,,,,,,,,,,1781
