,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mephistopheles,27,17.0,8.0,9.0,11.0,0.08499446290143964,0.09994462901439645,0.07186785635801056,0.07186785635801056,3.6666666666666665,MALE,1919
faust,69,20.0,11.0,9.0,20.0,0.10575858250276854,0.0977297895902547,0.15192184521464094,0.15192184521464094,2.608695652173913,MALE,1919
erster_junger_kuenstler,2,3.0,1.0,2.0,2.0,0.0005537098560354374,0.0005537098560354374,0.04958069932010495,0.04958069932010495,2.0,MALE,1919
prinz,25,8.0,4.0,4.0,10.0,0.02159468438538206,0.024640088593576966,0.04443092726112944,0.04443092726112944,1.6,MALE,1919
bajazzo,1,1.0,0.0,1.0,1.0,0.0,0.0,0.006394294995605646,0.006394294995605646,1.0,MALE,1919
ein_maedel,1,1.0,0.0,1.0,1.0,0.0,0.0,0.006394294995605646,0.006394294995605646,1.0,FEMALE,1919
kardinal,1,1.0,0.0,1.0,1.0,0.0,0.0,0.006394294995605646,0.006394294995605646,1.0,MALE,1919
zweiter_junger_kuenstler,1,2.0,1.0,1.0,1.0,0.0,0.0,0.027465176441367017,0.027465176441367017,1.0,MALE,1919
ein_andrer_1-3,1,1.0,0.0,1.0,1.0,0.0,0.0,0.006394294995605646,0.006394294995605646,1.0,MALE,1919
einer_1-3,1,2.0,1.0,1.0,1.0,0.0,0.0,0.011947864189678083,0.011947864189678083,1.0,MALE,1919
michelangelo,12,3.0,1.0,2.0,6.0,0.009413067552602437,0.009413067552602437,0.04513561173663176,0.04513561173663176,1.0,MALE,1919
ruf,2,2.0,1.0,1.0,2.0,0.0,0.0,0.062368603795417865,0.062368603795417865,1.0,UNKNOWN,1919
domherr,4,1.0,0.0,1.0,3.0,0.0,0.0,0.006394294995605646,0.006394294995605646,0.75,MALE,1919
kehrbach,12,6.0,3.0,3.0,3.0,0.013012181616832779,0.029069767441860465,0.028930548526410693,0.028930548526410693,0.75,MALE,1919
die_hofmaennin,6,3.0,1.0,2.0,2.0,0.0,0.0,0.017501433383750518,0.017501433383750518,0.6666666666666666,FEMALE,1919
