,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
appius,87,15.0,6.0,9.0,32.0,0.21153846153846154,0.25106837606837606,0.11747698611052569,0.11747698611052569,3.310344827586207,MALE,1790
icilius,83,15.0,6.0,9.0,28.0,0.20993589743589744,0.09989316239316239,0.18675983264169432,0.18675983264169432,3.0361445783132526,MALE,1790
virginius,79,8.0,4.0,4.0,30.0,0.05021367521367521,0.00641025641025641,0.10788073620050945,0.10788073620050945,1.518987341772152,MALE,1790
marcus,40,11.0,6.0,5.0,9.0,0.07211538461538461,0.296474358974359,0.08414070884674045,0.08414070884674045,1.125,MALE,1790
virginia,56,9.0,5.0,4.0,15.0,0.11324786324786323,0.13835470085470086,0.12927894957419417,0.12927894957419417,1.0714285714285714,FEMALE,1790
laelia,6,2.0,0.0,2.0,3.0,0.0,0.0,0.01280256168684224,0.01280256168684224,1.0,FEMALE,1790
ruffus,45,9.0,5.0,4.0,9.0,0.04273504273504273,0.056623931623931624,0.08463551500985679,0.08463551500985679,0.8,MALE,1790
quintus,23,6.0,3.0,3.0,6.0,0.026175213675213672,0.0673076923076923,0.04891824218683285,0.04891824218683285,0.7826086956521738,MALE,1790
valerius,22,5.0,3.0,2.0,7.0,0.0021367521367521365,0.09508547008547008,0.03643161144526573,0.03643161144526573,0.6363636363636364,MALE,1790
lucius,24,6.0,3.0,3.0,4.0,0.005876068376068376,0.0,0.052338770971832115,0.052338770971832115,0.5,MALE,1790
numitorius,23,7.0,4.0,3.0,3.0,0.03205128205128205,0.1346153846153846,0.07055648557651381,0.07055648557651381,0.3913043478260869,MALE,1790
albina,6,3.0,2.0,1.0,1.0,0.003205128205128205,0.022970085470085472,0.03438455937501891,0.03438455937501891,0.16666666666666666,FEMALE,1790
einige_vom_volk_3-3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.018471950204164596,0.018471950204164596,0.0,,1790
die_zeugen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01592309017000874,0.01592309017000874,0.0,,1790
alle_1-5,1,,,,,,,,,,,1790
ein_paar_vom_volke_2-2,1,,,,,,,,,,,1790
das_volk_2-3,1,,,,,,,,,,,1790
alle_2-5,2,,,,,,,,,,,1790
das_volk_2-5,1,,,,,,,,,,,1790
alle_3-3,1,,,,,,,,,,,1790
