,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
redlich,123,13.0,5.0,19.0,8.0,40.0,0.1277777777777778,0.19814814814814818,0.14469444306444926,0.14469444306444926,2.6016260162601625,MALE,1813
therese,80,10.0,5.0,24.0,5.0,23.0,0.07962962962962962,0.12407407407407407,0.17868718241659504,0.17868718241659504,1.4375,FEMALE,1813
zweite_buergerin,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01363636363636364,0.01363636363636364,1.0,FEMALE,1813
erste_buergerin,11,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.01363636363636364,0.01363636363636364,0.9090909090909091,FEMALE,1813
mueller,67,11.0,5.0,21.0,6.0,10.0,0.18333333333333335,0.29629629629629634,0.1485997536999413,0.1485997536999413,0.8955223880597014,MALE,1813
staberl,181,13.0,8.0,36.0,5.0,23.0,0.25925925925925924,0.17222222222222222,0.19537459795725176,0.19537459795725176,0.6353591160220995,MALE,1813
kommissaer,5,3.0,2.0,2.0,1.0,3.0,0.0,0.08888888888888889,0.029342107432787694,0.029342107432787694,0.6,MALE,1813
kaethchen,51,7.0,4.0,14.0,3.0,10.0,0.024074074074074074,0.1,0.10307202953744547,0.10307202953744547,0.5882352941176471,FEMALE,1813
hans,43,4.0,2.0,7.0,2.0,12.0,0.005555555555555556,0.018518518518518517,0.047596818218796764,0.047596818218796764,0.5581395348837209,MALE,1813
toloysky,36,5.0,3.0,5.0,2.0,6.0,0.025925925925925925,0.10740740740740741,0.05024686958139226,0.05024686958139226,0.3333333333333333,MALE,1813
karl,34,5.0,3.0,10.0,2.0,5.0,0.005555555555555556,0.05555555555555556,0.07511347081861344,0.07511347081861344,0.29411764705882354,MALE,1813
