,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
emilie,18,4.0,1.0,1.0,3.0,6.0,0.05769230769230769,0.1784188034188034,0.017712830000807804,0.017712830000807804,1.0,FEMALE,1817
joseph,9,5.0,2.0,2.0,3.0,3.0,0.02457264957264957,0.20299145299145296,0.027782384662575342,0.027782384662575342,1.0,MALE,1817
wirth,40,6.0,2.0,3.0,4.0,9.0,0.14743589743589744,0.2521367521367521,0.0439458686442607,0.0439458686442607,0.9,MALE,1817
winter,140,14.0,7.0,16.0,7.0,17.0,0.3707264957264957,0.37606837606837606,0.12075409540656745,0.12075409540656745,0.85,MALE,1817
haller,35,6.0,3.0,5.0,3.0,7.0,0.11324786324786325,0.16452991452991453,0.05125786631134892,0.05125786631134892,0.6000000000000001,MALE,1817
stadtdirector,8,4.0,2.0,3.0,2.0,2.0,0.00641025641025641,0.01816239316239316,0.03199514544480556,0.03199514544480556,0.5,MALE,1817
fledermaus,144,10.0,6.0,15.0,4.0,17.0,0.16880341880341881,0.11538461538461538,0.12931455630787306,0.12931455630787306,0.4722222222222222,MALE,1817
zachariesel,61,9.0,6.0,22.0,3.0,9.0,0.2564102564102564,0.27777777777777773,0.23661862682247375,0.23661862682247375,0.4426229508196721,MALE,1817
rosel,84,6.0,3.0,9.0,3.0,12.0,0.10470085470085469,0.10897435897435898,0.06249321944134043,0.06249321944134043,0.42857142857142855,FEMALE,1817
hausherr,6,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.011675122622673695,0.011675122622673695,0.3333333333333333,MALE,1817
sophie,37,4.0,2.0,8.0,2.0,4.0,0.0,0.00641025641025641,0.06254521746374159,0.06254521746374159,0.21621621621621623,FEMALE,1817
viktorl,29,3.0,2.0,9.0,1.0,5.0,0.0,0.0,0.17640432516956178,0.17640432516956178,0.1724137931034483,FEMALE,1817
erster_spieler,19,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011675122622673695,0.011675122622673695,0.05263157894736842,MALE,1817
erster_gerichtsdiener,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01582561907929577,0.01582561907929577,0.0,MALE,1817
