,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
boll,239,20.0,10.0,10.0,94.0,0.2990196078431373,0.058823529411764705,0.2400263477567999,0.2400263477567999,3.9330543933054396,MALE,1926
grete,159,15.0,7.0,8.0,54.0,0.2561274509803922,0.25612745098039214,0.1581075721247873,0.1581075721247873,2.7169811320754715,FEMALE,1926
otto,28,5.0,2.0,3.0,14.0,0.001838235294117647,0.05012254901960784,0.0262197512970053,0.0262197512970053,1.5,MALE,1926
frau_boll,72,10.0,6.0,4.0,24.0,0.03247549019607843,0.17953431372549017,0.07187925728386603,0.07187925728386603,1.3333333333333333,FEMALE,1926
herr,39,9.0,5.0,4.0,12.0,0.025122549019607837,0.21409313725490192,0.0767237378389438,0.0767237378389438,1.2307692307692308,MALE,1926
ein_buerger,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009900867053009233,0.009900867053009233,1.0,MALE,1926
frau_unk,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009900867053009233,0.009900867053009233,1.0,FEMALE,1926
gruental,34,8.0,4.0,4.0,8.0,0.007352941176470587,0.1299019607843137,0.04235563527177147,0.04235563527177147,0.9411764705882353,MALE,1926
virgin,29,4.0,1.0,3.0,9.0,0.0,0.0029411764705882353,0.031604801663349565,0.031604801663349565,0.9310344827586208,MALE,1926
buergermeister,43,7.0,3.0,4.0,9.0,0.0012254901960784314,0.0428921568627451,0.03289050467164799,0.03289050467164799,0.8372093023255814,MALE,1926
elias,51,9.0,5.0,4.0,10.0,0.09252450980392159,0.22071078431372548,0.0897303205099027,0.0897303205099027,0.7843137254901961,MALE,1926
holtfreter,41,10.0,6.0,4.0,8.0,0.05269607843137255,0.09607843137254901,0.08527579705478093,0.08527579705478093,0.7804878048780488,MALE,1926
doris,21,4.0,2.0,2.0,6.0,0.0,0.14411764705882354,0.047554245031964246,0.047554245031964246,0.5714285714285714,FEMALE,1926
zweiter_gast,2,1.0,0.0,1.0,1.0,0.0,0.0,0.009900867053009233,0.009900867053009233,0.5,MALE,1926
wehdig,21,2.0,1.0,1.0,7.0,0.0,0.0,0.022344750556244138,0.022344750556244138,0.3333333333333333,MALE,1926
kaeselow,3,2.0,1.0,1.0,1.0,0.0,0.0,0.012389643753656214,0.012389643753656214,0.3333333333333333,MALE,1926
dritter_gast,1,1.0,1.0,0.0,0.0,0.0,0.0,0.018316613571949296,0.018316613571949296,0.0,MALE,1926
splint,3,1.0,1.0,0.0,0.0,0.0,0.0,0.014878420454303196,0.014878420454303196,0.0,MALE,1926
stimme_von_drinnen,1,,,,,,,,,,MALE,1926
erster_gast,4,,,,,,,,,,MALE,1926
saugwurm,1,,,,,,,,,,MALE,1926
mehlspeis,3,,,,,,,,,,MALE,1926
