,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hubert,115,8,3,40,5,41,0.2409090909090909,0.2863636363636364,0.13515244993447711,0.13515244993447711,1.7826086956521738,MALE,1842
hermine,198,10,6,58,4,73,0.33636363636363636,0.35454545454545455,0.2177166189222615,0.2177166189222615,1.4747474747474747,FEMALE,1842
baldinger,245,12,7,96,5,70,0.18636363636363634,0.10909090909090909,0.2786766117131081,0.2786766117131081,1.4285714285714284,MALE,1842
poenches,10,3,1,3,2,7,0.0,0.0,0.03446635057526809,0.03446635057526809,1.4,MALE,1842
welting,84,6,3,30,3,31,0.03636363636363636,0.12272727272727273,0.1011377359269491,0.1011377359269491,1.1071428571428572,MALE,1842
sekretaer,26,7,4,11,3,9,0.22727272727272727,0.2545454545454545,0.0734132334845763,0.0734132334845763,1.0384615384615383,MALE,1842
kanzellist,1,1,0,0,1,1,0.0,0.0,0.013666514854630891,0.013666514854630891,1.0,MALE,1842
justitiaer,20,4,1,4,3,6,0.004545454545454545,0.04090909090909091,0.024874260698823317,0.024874260698823317,0.8999999999999999,MALE,1842
wildenhain,59,5,3,14,2,18,0.004545454545454545,0.00909090909090909,0.056294907144327444,0.056294907144327444,0.6101694915254238,MALE,1842
petermann,6,2,1,3,1,3,0.0,0.0,0.03446635057526809,0.03446635057526809,0.5,MALE,1842
griesicke,4,1,0,0,1,1,0.0,0.0,0.013666514854630891,0.013666514854630891,0.25,MALE,1842
die_arbeiter,3,1,1,1,0,0,0.0,0.0,0.016468451315679,0.016468451315679,0.0,,1842
