,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
bramine,1,1.0,0.0,1.0,1.0,0.0,0.0,0.032002706848135755,0.032002706848135755,1.0,MALE,1823
gadhi,72,6.0,2.0,4.0,15.0,0.35000000000000003,0.35000000000000003,0.3075555225992857,0.3075555225992857,0.8333333333333334,MALE,1823
benascar,61,6.0,4.0,2.0,12.0,0.35000000000000003,0.3833333333333333,0.27524280929603817,0.27524280929603817,0.39344262295081966,MALE,1823
erster_indianer,9,2.0,1.0,1.0,3.0,0.0,0.041666666666666664,0.049430831848514954,0.049430831848514954,0.3333333333333333,MALE,1823
maja,73,4.0,2.0,2.0,7.0,0.0,0.0,0.2863372975595105,0.2863372975595105,0.1917808219178082,FEMALE,1823
das_kind,2,1.0,1.0,0.0,0.0,0.0,0.0,0.049430831848514954,0.049430831848514954,0.0,MALE,1823
stimmen_1,1,,,,,,,,,,,1823
zweiter_indianer,3,,,,,,,,,,MALE,1823
die_indianer,6,,,,,,,,,,,1823
stimmen_5,1,,,,,,,,,,,1823
