,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
graf_struensee,173,22.0,10.0,12.0,54.0,0.2751645373596593,0.29142469996128534,0.11436038925514165,0.11436038925514165,3.7456647398843934,MALE,1828
juliane,67,15.0,5.0,10.0,25.0,0.039972899728997285,0.11401471157568717,0.04870698703582035,0.04870698703582035,3.7313432835820897,FEMALE,1828
mathilde,107,16.0,7.0,9.0,42.0,0.12098335269066977,0.08720480061943478,0.06613269108100985,0.06613269108100985,3.5327102803738315,FEMALE,1828
erster_diener_1-1,10,5.0,1.0,4.0,5.0,0.014518002322880372,0.014518002322880372,0.011502423903112343,0.011502423903112343,2.0,MALE,1828
babe,28,11.0,6.0,5.0,9.0,0.11382113821138211,0.11382113821138211,0.07000711802203868,0.07000711802203868,1.6071428571428572,MALE,1828
johannes,8,5.0,2.0,3.0,4.0,0.13588850174216027,0.13995354239256677,0.020340255838964053,0.020340255838964053,1.5,MALE,1828
koeller,72,12.0,6.0,6.0,18.0,0.053426248548199766,0.08933410762679055,0.0728977492915843,0.0728977492915843,1.5,MALE,1828
ranzau,87,9.0,4.0,5.0,26.0,0.038133952768099104,0.0014518002322880372,0.07806643751043445,0.07806643751043445,1.4942528735632186,MALE,1828
die_diener_1-1,3,4.0,2.0,2.0,2.0,0.017421602787456445,0.017421602787456445,0.01256551493259091,0.01256551493259091,1.3333333333333333,MALE,1828
alle_3-5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.005319100514333985,0.005319100514333985,1.0,UNKNOWN,1828
dritter_diener_3-5,2,2.0,1.0,1.0,2.0,0.0005807200929152149,0.0005807200929152149,0.008333253491346256,0.008333253491346256,1.0,MALE,1828
zweiter_diener_3-5,6,2.0,0.0,2.0,3.0,0.0,0.0,0.005319100514333985,0.005319100514333985,1.0,MALE,1828
officier_5-6_bis_8,10,6.0,3.0,3.0,3.0,0.0,0.0,0.01724841873285163,0.01724841873285163,0.8999999999999999,MALE,1828
officier_3-13a,3,2.0,1.0,1.0,2.0,0.0,0.0,0.012203596201775564,0.012203596201775564,0.6666666666666666,MALE,1828
schulmeister,25,6.0,2.0,4.0,4.0,0.02264808362369338,0.02264808362369338,0.04429190155150821,0.04429190155150821,0.64,MALE,1828
wirthin,7,4.0,2.0,2.0,2.0,0.02264808362369338,0.02264808362369338,0.019784122833272102,0.019784122833272102,0.5714285714285714,FEMALE,1828
alle_bauern,2,1.0,0.0,1.0,1.0,0.0,0.0,0.005319100514333985,0.005319100514333985,0.5,MALE,1828
andreas,2,1.0,0.0,1.0,1.0,0.0,0.0,0.005319100514333985,0.005319100514333985,0.5,MALE,1828
detlev,25,7.0,4.0,3.0,4.0,0.06794425087108014,0.06794425087108014,0.024899498765851083,0.024899498765851083,0.48,MALE,1828
schack,35,4.0,2.0,2.0,7.0,0.003677893921796361,0.0,0.025644112190807963,0.025644112190807963,0.4,MALE,1828
hooge,5,2.0,1.0,1.0,2.0,0.0,0.0,0.014732045236699248,0.014732045236699248,0.4,MALE,1828
keith,18,5.0,3.0,2.0,3.0,0.01384049554781262,0.13821138211382114,0.019096444965280176,0.019096444965280176,0.3333333333333333,MALE,1828
graefin_reez,3,3.0,2.0,1.0,1.0,0.0,0.0,0.013034483953284028,0.013034483953284028,0.3333333333333333,FEMALE,1828
brandt,16,3.0,2.0,1.0,5.0,0.0,0.0,0.010257608075747588,0.010257608075747588,0.3125,MALE,1828
guldberg,26,5.0,3.0,2.0,4.0,0.003387533875338753,0.0,0.030816061896899512,0.030816061896899512,0.3076923076923077,MALE,1828
alle_4-1,7,2.0,1.0,1.0,2.0,0.004065040650406504,0.0,0.01193149587590296,0.01193149587590296,0.2857142857142857,UNKNOWN,1828
pfarrer_struensee,30,3.0,2.0,1.0,8.0,0.13356562137049943,0.13356562137049943,0.028364909057536355,0.028364909057536355,0.26666666666666666,MALE,1828
graefin_uhlfeld,16,4.0,2.0,2.0,2.0,0.0007742934572202865,0.012775842044134726,0.015005199719344223,0.015005199719344223,0.25,FEMALE,1828
zweiter_diener_1-1,4,2.0,1.0,1.0,1.0,0.0,0.0,0.007274509311288614,0.007274509311288614,0.25,MALE,1828
