,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
zuendorf,202,16.0,6.0,40.0,10.0,57.0,0.2046296296296296,0.16666666666666669,0.10887402178789037,0.10887402178789037,2.8217821782178216,MALE,1842
elisabeth,200,13.0,6.0,51.0,7.0,66.0,0.0287037037037037,0.11111111111111112,0.13416152612215437,0.13416152612215437,2.31,FEMALE,1842
wespe,150,13.0,7.0,42.0,6.0,35.0,0.14629629629629629,0.4666666666666667,0.11286345358277536,0.11286345358277536,1.4,MALE,1842
honau,227,10.0,5.0,56.0,5.0,57.0,0.07777777777777777,0.08888888888888889,0.16044269406983946,0.16044269406983946,1.2555066079295154,MALE,1842
theudelinde,125,10.0,5.0,23.0,5.0,27.0,0.04166666666666666,0.12222222222222223,0.08128473687813349,0.08128473687813349,1.08,FEMALE,1842
thekla,178,8.0,4.0,60.0,4.0,48.0,0.053703703703703705,0.0,0.1451298545544065,0.1451298545544065,1.0786516853932584,FEMALE,1842
wellstein,126,9.0,5.0,42.0,4.0,32.0,0.20277777777777778,0.18888888888888888,0.12690869237613087,0.12690869237613087,1.0158730158730158,MALE,1842
adam,59,8.0,5.0,16.0,3.0,9.0,0.005555555555555556,0.3666666666666667,0.052990043812733055,0.052990043812733055,0.4576271186440678,MALE,1842
schreier,8,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.018421316592397267,0.018421316592397267,0.375,MALE,1842
christoph,78,4.0,2.0,13.0,2.0,12.0,0.005555555555555556,0.0,0.040626277433943855,0.040626277433943855,0.3076923076923077,MALE,1842
friederike,7,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.018297382789595185,0.018297382789595185,0.0,FEMALE,1842
