,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
faust,235,19.0,8.0,11.0,81.0,0.44213659147869677,0.47982456140350876,0.11405571367360333,0.11405571367360333,3.7914893617021277,MALE,1801
theodora,98,13.0,6.0,7.0,32.0,0.21290726817042607,0.2728070175438596,0.13738449603873765,0.13738449603873765,2.2857142857142856,FEMALE,1801
paulina,55,7.0,3.0,4.0,19.0,0.006234335839598998,0.020614035087719296,0.03181877627108084,0.03181877627108084,1.3818181818181818,FEMALE,1801
mariane,110,8.0,4.0,4.0,36.0,0.003665413533834586,0.0,0.050100867750110877,0.050100867750110877,1.309090909090909,FEMALE,1801
satan,68,11.0,4.0,7.0,9.0,0.3026315789473684,0.35,0.06033902584880774,0.06033902584880774,0.9264705882352942,MALE,1801
wagner,105,9.0,4.0,5.0,15.0,0.014912280701754384,0.039473684210526314,0.07076513637031766,0.07076513637031766,0.7142857142857142,MALE,1801
lisette,37,4.0,2.0,2.0,13.0,0.006516290726817042,0.03684210526315789,0.05233108084783866,0.05233108084783866,0.7027027027027027,FEMALE,1801
banquier,6,1.0,0.0,1.0,4.0,0.0,0.0,0.009797047027188244,0.009797047027188244,0.6666666666666666,MALE,1801
rudolph,17,4.0,2.0,2.0,5.0,0.0,0.024561403508771926,0.028230796587681954,0.028230796587681954,0.5882352941176471,MALE,1801
magog,7,4.0,2.0,2.0,2.0,0.04473684210526316,0.06447368421052631,0.052464924640256316,0.052464924640256316,0.5714285714285714,MALE,1801
gog,65,4.0,2.0,2.0,15.0,0.0,0.0,0.03464593334218582,0.03464593334218582,0.46153846153846156,MALE,1801
moritz,54,5.0,3.0,2.0,10.0,0.007456140350877194,0.04473684210526316,0.06408683913455528,0.06408683913455528,0.37037037037037035,MALE,1801
stup,3,2.0,1.0,1.0,1.0,0.0,0.0,0.04769493913360457,0.04769493913360457,0.3333333333333333,MALE,1801
rochus,44,5.0,3.0,2.0,6.0,0.020927318295739343,0.05526315789473684,0.038251420944512934,0.038251420944512934,0.2727272727272727,MALE,1801
herold,10,1.0,0.0,1.0,2.0,0.0,0.0,0.009797047027188244,0.009797047027188244,0.2,MALE,1801
belial,10,3.0,2.0,1.0,1.0,0.0,0.0,0.04349243346394116,0.04349243346394116,0.1,MALE,1801
xaver,45,8.0,6.0,2.0,2.0,0.12998120300751878,0.17850877192982453,0.08916977062458063,0.08916977062458063,0.08888888888888889,MALE,1801
melech,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015495774104170027,0.015495774104170027,0.0,MALE,1801
dragon,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015495774104170027,0.015495774104170027,0.0,MALE,1801
sebub,4,1.0,1.0,0.0,0.0,0.0,0.0,0.021194501181151813,0.021194501181151813,0.0,MALE,1801
ein_jude,5,1.0,1.0,0.0,0.0,0.0,0.0,0.013387701884316205,0.013387701884316205,0.0,MALE,1801
abdon,5,,,,,,,,,,MALE,1801
die_satane,4,,,,,,,,,,,1801
ein_bedienter,1,,,,,,,,,,MALE,1801
