,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koehler,14,6.0,2.0,4.0,8.0,0.0367965367965368,0.0367965367965368,0.07365276211661245,0.07365276211661245,2.2857142857142856,MALE,1858
schlicht,100,12.0,6.0,6.0,30.0,0.2067099567099567,0.2857142857142857,0.06349287008365294,0.06349287008365294,1.7999999999999998,MALE,1858
auguste,174,9.0,4.0,5.0,46.0,0.11183261183261184,0.1406926406926407,0.045411623195853915,0.045411623195853915,1.3218390804597702,FEMALE,1858
agnes,122,8.0,2.0,6.0,20.0,0.05519480519480519,0.0735930735930736,0.02432612693633962,0.02432612693633962,0.9836065573770492,FEMALE,1858
nuenecke,94,7.0,3.0,4.0,20.0,0.10966810966810968,0.11147186147186147,0.07096178261245235,0.07096178261245235,0.851063829787234,MALE,1858
karoline,90,5.0,2.0,3.0,20.0,0.031746031746031744,0.07575757575757576,0.07916798780790764,0.07916798780790764,0.6666666666666666,FEMALE,1858
kommissar,6,1.0,0.0,1.0,4.0,0.0,0.0,0.010765278577323043,0.010765278577323043,0.6666666666666666,MALE,1858
bernhard,84,8.0,4.0,4.0,14.0,0.1605339105339105,0.1406926406926407,0.0649306507030843,0.0649306507030843,0.6666666666666666,MALE,1858
brand,108,5.0,2.0,3.0,20.0,0.030663780663780667,0.032467532467532464,0.02685467389555246,0.02685467389555246,0.5555555555555556,MALE,1858
minna,4,2.0,1.0,1.0,2.0,0.0,0.004329004329004329,0.012833016620620278,0.012833016620620278,0.5,FEMALE,1858
schultze,4,1.0,0.0,1.0,2.0,0.0,0.0,0.010765278577323043,0.010765278577323043,0.5,MALE,1858
bremser,38,4.0,1.0,3.0,6.0,0.01406926406926407,0.015151515151515152,0.03489219857643272,0.03489219857643272,0.47368421052631576,MALE,1858
ferdinand,208,12.0,8.0,4.0,18.0,0.16594516594516592,0.1764069264069264,0.1715489656785587,0.1715489656785587,0.34615384615384615,MALE,1858
duemmler,8,3.0,2.0,1.0,2.0,0.06493506493506493,0.06493506493506493,0.055572054393840095,0.055572054393840095,0.25,MALE,1858
frau_nuenecke,46,3.0,2.0,1.0,10.0,0.008658008658008658,0.048701298701298704,0.02955834644856488,0.02955834644856488,0.21739130434782608,FEMALE,1858
schlepper,10,2.0,1.0,1.0,2.0,0.0,0.0,0.04316763325658439,0.04316763325658439,0.2,MALE,1858
quisenow,161,5.0,2.0,3.0,10.0,0.005411255411255411,0.006493506493506494,0.032971816473601714,0.032971816473601714,0.18633540372670807,MALE,1858
eisleben,30,3.0,2.0,1.0,2.0,0.09090909090909091,0.09090909090909091,0.03430102426029599,0.03430102426029599,0.06666666666666667,MALE,1858
schroepfer,10,1.0,1.0,0.0,0.0,0.0,0.0,0.014363278449384937,0.014363278449384937,0.0,MALE,1858
hahnekamm,16,3.0,3.0,0.0,0.0,0.0,0.0,0.028713138732957232,0.028713138732957232,0.0,MALE,1858
kohlrepp,2,1.0,1.0,0.0,0.0,0.0,0.0,0.026416382579742683,0.026416382579742683,0.0,MALE,1858
schneppke,4,2.0,2.0,0.0,0.0,0.0,0.0,0.026683189765438174,0.026683189765438174,0.0,MALE,1858
theodor,8,1.0,1.0,0.0,0.0,0.0,0.0,0.018649920257876356,0.018649920257876356,0.0,MALE,1858
frauenchor,4,,,,,,,,,,FEMALE,1858
maennerchor,4,,,,,,,,,,MALE,1858
chor_der_arbeiter,2,,,,,,,,,,MALE,1858
stramberger,2,,,,,,,,,,MALE,1858
frau_doese,8,,,,,,,,,,FEMALE,1858
frau_ribbecke,6,,,,,,,,,,FEMALE,1858
eine_nachbarin,2,,,,,,,,,,FEMALE,1858
chor_alle_7tes_bild,16,,,,,,,,,,UNKNOWN,1858
chor_8tes_bild,12,,,,,,,,,,UNKNOWN,1858
berta,4,,,,,,,,,,FEMALE,1858
karlchen,8,,,,,,,,,,MALE,1858
chor_alle_11tes_bild,4,,,,,,,,,,UNKNOWN,1858
