,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
else,127,21.0,10.0,38.0,11.0,48.0,0.6366421568627451,0.5699754901960784,0.2258322840823818,0.2258322840823818,4.15748031496063,FEMALE,1830
suse,108,14.0,8.0,37.0,6.0,28.0,0.3498774509803921,0.39338235294117646,0.26231237184174383,0.26231237184174383,1.5555555555555554,FEMALE,1830
rudolph,28,8.0,4.0,5.0,4.0,9.0,0.042279411764705885,0.39080882352941176,0.04070506774419963,0.04070506774419963,1.2857142857142858,MALE,1830
friedel,19,7.0,3.0,6.0,4.0,6.0,0.01715686274509804,0.0715686274509804,0.04345572277586475,0.04345572277586475,1.263157894736842,MALE,1830
ohles,4,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.01633167195426967,0.01633167195426967,1.0,MALE,1830
gertrud,48,5.0,2.0,8.0,3.0,15.0,0.11029411764705882,0.11029411764705882,0.04560762791773279,0.04560762791773279,0.9375,FEMALE,1830
herzogin,7,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.012332502643801502,0.012332502643801502,0.8571428571428571,FEMALE,1830
herzog,10,4.0,2.0,3.0,2.0,4.0,0.022058823529411763,0.0,0.019320878989218703,0.019320878989218703,0.8,MALE,1830
zweites_weib,4,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.008333333333333335,0.008333333333333335,0.5,FEMALE,1830
graf,9,5.0,3.0,4.0,2.0,2.0,0.027573529411764705,0.04963235294117647,0.024038056467100083,0.024038056467100083,0.4444444444444444,MALE,1830
gertrud-else,20,5.0,3.0,5.0,2.0,4.0,0.003676470588235294,0.014828431372549019,0.03810407717374882,0.03810407717374882,0.4,FEMALE,1830
steffens,8,4.0,3.0,3.0,1.0,3.0,0.0,0.0,0.029489559291642563,0.029489559291642563,0.375,MALE,1830
christel,18,4.0,2.0,11.0,2.0,3.0,0.0,0.0,0.054481261905727524,0.054481261905727524,0.3333333333333333,FEMALE,1830
martin,11,2.0,1.0,3.0,1.0,3.0,0.0,0.0,0.032221991763539085,0.032221991763539085,0.2727272727272727,MALE,1830
hanns,35,2.0,1.0,11.0,1.0,7.0,0.0,0.0,0.0959250809107544,0.0959250809107544,0.2,MALE,1830
die_gesellen,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008333333333333335,0.008333333333333335,0.2,,1830
die_alte,8,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010917733630534604,0.010917733630534604,0.125,FEMALE,1830
herrmann,15,3.0,2.0,4.0,1.0,1.0,0.0,0.040808823529411765,0.032257444241073505,0.032257444241073505,0.06666666666666667,MALE,1830
