,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
rose,168,20.0,10.0,10.0,40.0,0.30597116558655024,0.3897893772893773,0.1776546414229232,0.1776546414229232,2.380952380952381,FEMALE,1865
veit,82,9.0,3.0,6.0,24.0,0.02334225603456373,0.14642857142857144,0.0423835186839225,0.0423835186839225,1.7560975609756095,MALE,1865
gertrude,83,11.0,5.0,6.0,20.0,0.09268103691180615,0.061813186813186816,0.06999285214776946,0.06999285214776946,1.4457831325301205,FEMALE,1865
dore,121,15.0,8.0,7.0,23.0,0.14652719075796,0.1295787545787546,0.15580914829459097,0.15580914829459097,1.3305785123966942,FEMALE,1865
leblanc,36,8.0,2.0,6.0,7.0,0.01963933502395041,0.07179487179487179,0.035677254785516324,0.035677254785516324,1.1666666666666667,MALE,1865
charles,44,7.0,3.0,4.0,11.0,0.00992063492063492,0.06593406593406594,0.04879887228630408,0.04879887228630408,1.0,MALE,1865
graf,89,10.0,5.0,5.0,17.0,0.04303090072320842,0.07875457875457875,0.09952789570591725,0.09952789570591725,0.9550561797752809,MALE,1865
adolph,107,11.0,5.0,6.0,17.0,0.038560157790927016,0.05691391941391941,0.09175012900497534,0.09175012900497534,0.9532710280373831,MALE,1865
steffen,25,7.0,4.0,3.0,7.0,0.005616605616605617,0.06272893772893773,0.03651994014119672,0.03651994014119672,0.8400000000000001,MALE,1865
lisbeth,27,8.0,4.0,4.0,4.0,0.014393725932187474,0.15934065934065933,0.03689049883944259,0.03689049883944259,0.5925925925925926,FEMALE,1865
denise,75,8.0,5.0,3.0,9.0,0.014602704987320374,0.03731684981684982,0.0909141170207877,0.0909141170207877,0.36,FEMALE,1865
bastian,28,4.0,3.0,1.0,3.0,0.0,0.0,0.057646947964957486,0.057646947964957486,0.10714285714285714,MALE,1865
peter,2,1.0,1.0,0.0,0.0,0.0,0.0,0.01617262117270671,0.01617262117270671,0.0,MALE,1865
kathrin,3,1.0,1.0,0.0,0.0,0.0,0.0,0.018956158363211975,0.018956158363211975,0.0,FEMALE,1865
diener,3,2.0,2.0,0.0,0.0,0.0,0.0,0.021305404165777884,0.021305404165777884,0.0,MALE,1865
amelie,2,,,,,,,,,,FEMALE,1865
