,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
guttenberg,90,15.0,7.0,17.0,8.0,28.0,0.36969696969696975,0.4757575757575757,0.1623634758764908,0.1623634758764908,2.488888888888889,MALE,1835
kaethchen,76,13.0,7.0,24.0,6.0,19.0,0.45227272727272727,0.3818181818181818,0.22257676192168319,0.22257676192168319,1.5,FEMALE,1835
peter,20,5.0,2.0,5.0,3.0,6.0,0.0,0.1424242424242424,0.0623888169939754,0.0623888169939754,0.8999999999999999,MALE,1835
bertha,51,7.0,3.0,12.0,4.0,11.0,0.03106060606060606,0.0,0.10693330351647647,0.10693330351647647,0.8627450980392157,FEMALE,1835
sebaldus,20,5.0,2.0,6.0,3.0,5.0,0.0,0.045454545454545456,0.0587444856047212,0.0587444856047212,0.75,MALE,1835
fust,39,7.0,4.0,9.0,3.0,8.0,0.09318181818181817,0.11818181818181817,0.09467856696505954,0.09467856696505954,0.6153846153846154,MALE,1835
else,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0125,0.0125,0.5,FEMALE,1835
barbara,8,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.02245729208281534,0.02245729208281534,0.25,FEMALE,1835
lorenz,27,7.0,5.0,6.0,2.0,3.0,0.18106060606060603,0.26666666666666666,0.12774927167639735,0.12774927167639735,0.2222222222222222,MALE,1835
duenne,5,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.08489237292891322,0.08489237292891322,0.2,MALE,1835
rieffe,6,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.02728673932510054,0.02728673932510054,0.16666666666666666,MALE,1835
humery,11,2.0,1.0,1.0,1.0,1.0,0.0,0.03636363636363636,0.017428913108366847,0.017428913108366847,0.09090909090909091,MALE,1835
