,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baron,140,17,8,27,9,37,0.2737914862914863,0.41414141414141414,0.13033589433500098,0.13033589433500098,2.3785714285714286,MALE,1849
krabbe,144,14,6,32,8,38,0.32575757575757575,0.40530303030303033,0.1639180621400552,0.1639180621400552,2.111111111111111,MALE,1849
eweline,60,9,4,11,5,22,0.19065656565656564,0.29671717171717177,0.08051136080770344,0.08051136080770344,1.8333333333333333,FEMALE,1849
emma,73,11,5,22,6,20,0.13629148629148627,0.1616161616161616,0.12069516024721018,0.12069516024721018,1.643835616438356,FEMALE,1849
julius,109,11,6,23,5,24,0.07442279942279942,0.1148989898989899,0.1461952823854924,0.1461952823854924,1.1009174311926606,MALE,1849
gustav,32,7,4,14,3,9,0.028409090909090908,0.08333333333333334,0.07135679441329724,0.07135679441329724,0.84375,MALE,1849
barbara,30,4,1,1,3,6,0.0,0.022727272727272728,0.01666794437016366,0.01666794437016366,0.6000000000000001,FEMALE,1849
julius_krabbe,76,8,4,17,4,10,0.04637445887445887,0.0,0.08479950569384594,0.08479950569384594,0.5263157894736842,MALE,1849
fritze,41,6,4,19,2,7,0.020111832611832612,0.0,0.08810829830528669,0.08810829830528669,0.34146341463414637,MALE,1849
pellmann,7,2,1,1,1,2,0.0,0.0,0.015205007117510709,0.015205007117510709,0.2857142857142857,MALE,1849
gottlieb,17,4,3,7,1,4,0.010245310245310245,0.011363636363636364,0.036915395924655835,0.036915395924655835,0.23529411764705882,MALE,1849
magister,7,3,2,2,1,1,0.0,0.22348484848484848,0.01819922744553513,0.01819922744553513,0.14285714285714285,MALE,1849
klara,9,2,1,5,1,1,0.0,0.0,0.027092066814242786,0.027092066814242786,0.1111111111111111,FEMALE,1849
