,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
cromwell,257,25.0,11.0,14.0,67.0,0.29170901791515824,0.1739278752436647,0.1585023050532181,0.1585023050532181,3.6498054474708175,MALE,1889
sidney,70,15.0,7.0,8.0,22.0,0.06459203564466723,0.1227930938457254,0.03382343987706083,0.03382343987706083,2.5142857142857142,MALE,1889
manchester,67,14.0,6.0,8.0,21.0,0.027937900306321366,0.010916179337231968,0.03799700610111459,0.03799700610111459,2.5074626865671643,MALE,1889
karl,146,14.0,6.0,8.0,45.0,0.06866413719483896,0.034064327485380116,0.07748625412021623,0.07748625412021623,2.4657534246575343,MALE,1889
fairfax,46,15.0,8.0,7.0,12.0,0.05243664717348927,0.15799916457811197,0.042289627800467355,0.042289627800467355,1.826086956521739,MALE,1889
montague,70,16.0,7.0,9.0,13.0,0.13233082706766916,0.38378585352269556,0.04421463354068594,0.04421463354068594,1.6714285714285715,MALE,1889
graves,69,13.0,7.0,6.0,19.0,0.043459342801448066,0.06358256752993595,0.09171075941495659,0.09171075941495659,1.6521739130434783,MALE,1889
berkley,117,11.0,5.0,6.0,32.0,0.06711802654785112,0.0029239766081871343,0.08794024425817723,0.08794024425817723,1.6410256410256412,MALE,1889
prynne,26,8.0,3.0,5.0,8.0,0.01052979671400724,0.010964912280701754,0.02062124532024926,0.02062124532024926,1.5384615384615385,MALE,1889
harrison,89,15.0,9.0,6.0,21.0,0.11464076858813704,0.1057504873294347,0.07254401274279583,0.07254401274279583,1.4157303370786516,MALE,1889
ireton,87,13.0,8.0,5.0,23.0,0.023534530771372877,0.059113060428849895,0.047224087159855085,0.047224087159855085,1.3218390804597702,MALE,1889
bradshaw,20,8.0,3.0,5.0,5.0,0.002826510721247563,0.15977443609022557,0.014878417606850524,0.014878417606850524,1.25,MALE,1889
lilburn,37,7.0,1.0,6.0,7.0,0.0,0.0,0.013532596695279418,0.013532596695279418,1.135135135135135,MALE,1889
hammond,39,9.0,4.0,5.0,7.0,0.02396036387264457,0.12657337788916734,0.031116165122351616,0.031116165122351616,0.8974358974358975,MALE,1889
richmond,39,8.0,4.0,4.0,8.0,0.023605889724310776,0.08386939571150097,0.021517521530927862,0.021517521530927862,0.8205128205128205,MALE,1889
ludlow,58,12.0,7.0,5.0,9.0,0.015746542281630003,0.07266081871345029,0.0356874594854496,0.0356874594854496,0.7758620689655172,MALE,1889
lindsay,29,5.0,2.0,3.0,7.0,0.001392369813422445,0.0012183235867446393,0.020853947354474708,0.020853947354474708,0.7241379310344828,MALE,1889
coke,52,10.0,7.0,3.0,8.0,0.01520757913301773,0.03216374269005848,0.04226589976213075,0.04226589976213075,0.46153846153846156,MALE,1889
milton,9,2.0,1.0,1.0,2.0,0.0,0.0,0.017554327825465694,0.017554327825465694,0.2222222222222222,MALE,1889
joyce,68,12.0,10.0,2.0,5.0,0.020307713728766358,0.09278752436647174,0.08824004922827292,0.08824004922827292,0.14705882352941177,MALE,1889
geschrei,3,,,,,,,,,,,1889
die_soldaten,1,,,,,,,,,,,1889
stimme_des_henkers,1,,,,,,,,,,MALE,1889
