,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
barras,133,29.0,14.0,15.0,34.0,0.40635262725779975,0.4566267886464931,0.120338803391435,0.120338803391435,3.834586466165413,MALE,1888
danton,108,23.0,12.0,11.0,31.0,0.24884031198686377,0.24510614590663848,0.10540922090888981,0.10540922090888981,3.1574074074074074,MALE,1888
talleyrand,71,16.0,5.0,11.0,16.0,0.11854474548440071,0.1038998357963875,0.04507997097117372,0.04507997097117372,2.47887323943662,MALE,1888
hoche,27,10.0,6.0,4.0,12.0,0.02839696223316913,0.012212643678160919,0.04860512148766877,0.04860512148766877,1.7777777777777777,MALE,1888
st_just,62,14.0,6.0,8.0,13.0,0.08503694581280788,0.08643854093361485,0.07074131660183948,0.07074131660183948,1.6774193548387097,MALE,1888
josefine,70,8.0,4.0,4.0,27.0,0.03201970443349754,0.037561576354679806,0.05568673214795487,0.05568673214795487,1.542857142857143,FEMALE,1888
bonaparte,123,15.0,6.0,9.0,21.0,0.13130131362889985,0.14667487684729064,0.10525573458612072,0.10525573458612072,1.5365853658536586,MALE,1888
theos,13,5.0,2.0,3.0,5.0,0.0012315270935960591,0.005143091719446399,0.01133287984767447,0.01133287984767447,1.153846153846154,FEMALE,1888
theroigne,28,9.0,5.0,4.0,8.0,0.008846469622331692,0.015467393854093363,0.03426673705531682,0.03426673705531682,1.1428571428571428,MALE,1888
marat,21,5.0,1.0,4.0,5.0,0.004105090311986863,0.013136288998357963,0.012738919047898931,0.012738919047898931,0.9523809523809523,MALE,1888
collot,55,13.0,7.0,6.0,8.0,0.055459770114942526,0.06915024630541873,0.046288132795125295,0.046288132795125295,0.8727272727272727,MALE,1888
carnot,53,7.0,3.0,4.0,9.0,0.013752052545155992,0.00408456486042693,0.03904701325065872,0.03904701325065872,0.6792452830188679,MALE,1888
madame_tallien,24,6.0,3.0,3.0,3.0,0.017149014778325124,0.046798029556650245,0.017823671223279713,0.017823671223279713,0.375,FEMALE,1888
biron,12,4.0,2.0,2.0,2.0,0.0009749589490968801,0.0024630541871921183,0.014105170632054189,0.014105170632054189,0.3333333333333333,MALE,1888
henriot,33,7.0,4.0,3.0,3.0,0.00465927750410509,0.043821839080459765,0.021710387671885645,0.021710387671885645,0.2727272727272727,MALE,1888
sanskulott,8,1.0,0.0,1.0,2.0,0.0,0.0,0.005929543871020016,0.005929543871020016,0.25,MALE,1888
junot,18,5.0,3.0,2.0,2.0,0.003078817733990148,0.0006157635467980296,0.0248336223002408,0.0248336223002408,0.2222222222222222,MALE,1888
rufe-stimmen-viele-alle_5,19,4.0,2.0,2.0,2.0,0.03589901477832512,0.03910098522167488,0.016206532872349723,0.016206532872349723,0.21052631578947367,,1888
condorcet,20,5.0,3.0,2.0,2.0,0.032430213464696225,0.06095179451090782,0.016021872491232214,0.016021872491232214,0.2,MALE,1888
marie,18,2.0,1.0,1.0,3.0,0.0,0.0,0.0174910296522795,0.0174910296522795,0.16666666666666666,FEMALE,1888
duroc,14,3.0,2.0,1.0,2.0,0.0,0.0,0.02182517019399078,0.02182517019399078,0.14285714285714285,MALE,1888
frau_roland,22,4.0,3.0,1.0,3.0,0.0,0.0,0.022917734886203602,0.022917734886203602,0.13636363636363635,MALE,1888
alle-stimmen-geschrei_1,9,1.0,0.0,1.0,1.0,0.0,0.0,0.005929543871020016,0.005929543871020016,0.1111111111111111,,1888
lenchen,12,4.0,3.0,1.0,1.0,0.002216748768472906,0.01056181093126906,0.019259576630755483,0.019259576630755483,0.08333333333333333,FEMALE,1888
redakteur,16,2.0,1.0,1.0,1.0,0.0,0.0,0.026988708614770172,0.026988708614770172,0.0625,MALE,1888
menou,21,3.0,2.0,1.0,1.0,0.0,0.0,0.019491959569494302,0.019491959569494302,0.047619047619047616,MALE,1888
murat,22,4.0,3.0,1.0,1.0,0.03078817733990148,0.03078817733990148,0.02186702946705908,0.02186702946705908,0.045454545454545456,MALE,1888
talma,10,1.0,1.0,0.0,0.0,0.0,0.0,0.009435552694987592,0.009435552694987592,0.0,MALE,1888
stimme_draussen_1,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010555134328200032,0.010555134328200032,0.0,MALE,1888
gaparins_stimme,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012817176937420554,0.012817176937420554,0.0,UNKNOWN,1888
andre_stimme_1,1,,,,,,,,,,MALE,1888
stimme_1,1,,,,,,,,,,MALE,1888
die_dame,3,,,,,,,,,,FEMALE,1888
der_betrunkene,1,,,,,,,,,,MALE,1888
alle-die-gaeste_4,4,,,,,,,,,,,1888
eine_stimme_5a,1,,,,,,,,,,MALE,1888
eine_andere_stimme_5b,1,,,,,,,,,,MALE,1888
eine_stimme_5c,1,,,,,,,,,,MALE,1888
stimme_5d,1,,,,,,,,,,MALE,1888
anderer_5e,1,,,,,,,,,,MALE,1888
eine_stimme_5f,1,,,,,,,,,,MALE,1888
ein_anderer_5g,1,,,,,,,,,,MALE,1888
ein_dritter_5h,1,,,,,,,,,,MALE,1888
eine_stimme_5i,1,,,,,,,,,,MALE,1888
eine_stimme_5j,1,,,,,,,,,,MALE,1888
eine_andere_5k,1,,,,,,,,,,MALE,1888
eine_dritte_5l,1,,,,,,,,,,MALE,1888
eine_laute_stimme,1,,,,,,,,,,MALE,1888
ein_ordonnanzoffizier,1,,,,,,,,,,MALE,1888
