,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
giesecke,285,25.0,11.0,14.0,83.0,0.27153846153846156,0.1722051282051282,0.12897766771456148,0.12897766771456148,4.077192982456141,MALE,1898
josepha,189,22.0,10.0,12.0,45.0,0.33666666666666667,0.4048205128205128,0.14368931431617482,0.14368931431617482,2.8571428571428568,FEMALE,1898
leopold,141,16.0,7.0,9.0,33.0,0.19717948717948722,0.3,0.11933501764876304,0.11933501764876304,2.1063829787234045,MALE,1898
suelzheimer,129,13.0,6.0,7.0,36.0,0.07641025641025642,0.09835897435897435,0.09735457148356959,0.09735457148356959,1.9534883720930232,MALE,1898
piccolo,16,7.0,3.0,4.0,7.0,0.03282051282051283,0.19292307692307692,0.017231315864781882,0.017231315864781882,1.75,MALE,1898
ottilie,74,8.0,4.0,4.0,27.0,0.007435897435897436,0.07076923076923076,0.0404284367457202,0.0404284367457202,1.4594594594594594,FEMALE,1898
hinzelmann,55,7.0,3.0,4.0,15.0,0.005128205128205127,0.012,0.039025900550066106,0.039025900550066106,1.0909090909090908,MALE,1898
baeuerin,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0076314989789113795,0.0076314989789113795,1.0,FEMALE,1898
joseph,1,2.0,1.0,1.0,1.0,0.0,0.03076923076923077,0.008952329175121244,0.008952329175121244,1.0,MALE,1898
bauernjunge,1,2.0,1.0,1.0,1.0,0.033846153846153845,0.033846153846153845,0.022872189862450324,0.022872189862450324,1.0,MALE,1898
hochtourist,10,4.0,2.0,2.0,4.0,0.06461538461538462,0.06461538461538462,0.025586296687936827,0.025586296687936827,0.8,MALE,1898
mali,4,1.0,0.0,1.0,3.0,0.0,0.0,0.0076314989789113795,0.0076314989789113795,0.75,FEMALE,1898
loidl,21,6.0,3.0,3.0,5.0,0.006153846153846153,0.14174358974358975,0.015079670061677621,0.015079670061677621,0.7142857142857142,MALE,1898
siedler,185,8.0,5.0,3.0,42.0,0.00923076923076923,0.0,0.07394069269777832,0.07394069269777832,0.6810810810810811,MALE,1898
charlotte,21,3.0,1.0,2.0,7.0,0.0,0.021538461538461538,0.011593989567540972,0.011593989567540972,0.6666666666666666,FEMALE,1898
kathi,8,3.0,1.0,2.0,2.0,0.0,0.006051282051282051,0.008952329175121244,0.008952329175121244,0.5,FEMALE,1898
franz,17,5.0,3.0,2.0,4.0,0.03538461538461538,0.06405128205128205,0.026681027661089676,0.026681027661089676,0.47058823529411764,MALE,1898
sepp,9,5.0,3.0,2.0,2.0,0.09846153846153846,0.09846153846153846,0.035860320654771224,0.035860320654771224,0.4444444444444444,MALE,1898
kracher,6,2.0,1.0,1.0,2.0,0.0,0.0,0.010705244548825935,0.010705244548825935,0.3333333333333333,MALE,1898
reisender,5,2.0,1.0,1.0,1.0,0.0005128205128205128,0.020205128205128205,0.009723902843771387,0.009723902843771387,0.2,MALE,1898
bernbach,6,3.0,2.0,1.0,1.0,0.0,0.07384615384615384,0.016493096944226997,0.016493096944226997,0.16666666666666666,MALE,1898
klaerchen,55,4.0,3.0,1.0,8.0,0.0,0.0,0.04095824710064908,0.04095824710064908,0.14545454545454545,FEMALE,1898
mirzl,10,3.0,2.0,1.0,1.0,0.0,0.0,0.025354694909542615,0.025354694909542615,0.1,FEMALE,1898
melanie_schmidt,3,2.0,2.0,0.0,0.0,0.0,0.0,0.01166643600060775,0.01166643600060775,0.0,FEMALE,1898
emmy,5,2.0,2.0,0.0,0.0,0.0,0.0,0.016493096944226997,0.016493096944226997,0.0,FEMALE,1898
erster_portier,2,1.0,1.0,0.0,0.0,0.0,0.0,0.027075968334375807,0.027075968334375807,0.0,MALE,1898
resi,6,1.0,1.0,0.0,0.0,0.0,0.0,0.010705244548825935,0.010705244548825935,0.0,FEMALE,1898
kapitaen,1,,,,,,,,,,MALE,1898
bootsmann,3,,,,,,,,,,MALE,1898
zweiter_portier,2,,,,,,,,,,MALE,1898
dritter_portier,2,,,,,,,,,,MALE,1898
eine_dame,1,,,,,,,,,,FEMALE,1898
vierter_portier,1,,,,,,,,,,MALE,1898
raetin_schmidt,2,,,,,,,,,,FEMALE,1898
portier,1,,,,,,,,,,MALE,1898
