,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
beckmann,235,20,10,74,10,81,0.680952380952381,0.6785714285714286,0.3813248668329128,0.3813248668329128,3.4468085106382977,MALE,1947
oberst,33,6,3,11,3,19,0.05476190476190477,0.004761904761904762,0.06800137494323921,0.06800137494323921,1.7272727272727275,MALE,1947
beerdigungsunternehmer,8,3,1,1,2,3,0.05714285714285715,0.05714285714285715,0.025050982945189048,0.025050982945189048,0.75,MALE,1947
elbe,7,2,1,3,1,5,0.0,0.0,0.025540780978480244,0.025540780978480244,0.7142857142857143,UNKNOWN,1947
schwiegersohn,9,4,2,2,2,3,0.002380952380952381,0.0761904761904762,0.02946998277132824,0.02946998277132824,0.6666666666666666,MALE,1947
gott,16,5,2,6,3,3,0.2142857142857143,0.2142857142857143,0.04064184874433275,0.04064184874433275,0.5625,UNKNOWN,1947
maedchen,34,2,1,10,1,16,0.0,0.0,0.05355212723382183,0.05355212723382183,0.47058823529411764,FEMALE,1947
tochter,9,2,0,0,2,2,0.0,0.0,0.013535918297619565,0.013535918297619565,0.4444444444444444,FEMALE,1947
frau_kramer,18,2,1,10,1,8,0.0,0.0,0.05355212723382183,0.05355212723382183,0.4444444444444444,FEMALE,1947
mutter,11,5,3,4,2,2,0.05238095238095239,0.17380952380952383,0.03033406520307376,0.03033406520307376,0.36363636363636365,FEMALE,1947
der_einbeinige,9,2,1,3,1,3,0.0,0.0,0.025540780978480244,0.025540780978480244,0.3333333333333333,MALE,1947
direktor,38,2,1,6,1,10,0.0,0.0,0.03754564365934092,0.03754564365934092,0.2631578947368421,MALE,1947
der_andere,82,2,1,31,1,12,0.0,0.0,0.13758616599984655,0.13758616599984655,0.14634146341463414,MALE,1947
der_alte_mann,4,1,1,2,0,0,0.0,0.0,0.027731570254843668,0.027731570254843668,0.0,MALE,1947
tod,3,1,1,1,0,0,0.0,0.0,0.025050982945189048,0.025050982945189048,0.0,UNKNOWN,1947
strassenfeger,6,1,1,3,0,0,0.0,0.0,0.025540780978480244,0.025540780978480244,0.0,MALE,1947
