,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
diderot,30,13.0,6.0,9.0,7.0,10.0,0.0624223602484472,0.14262187088274042,0.05017888819302634,0.05017888819302634,2.333333333333333,MALE,1856
quinault,107,14.0,6.0,25.0,8.0,27.0,0.10226802183323921,0.0836627140974967,0.1071677811920589,0.1071677811920589,2.0186915887850465,FEMALE,1856
pompadour,78,8.0,2.0,6.0,6.0,21.0,0.0984189723320158,0.13932806324110672,0.04343089624614165,0.04343089624614165,1.6153846153846154,FEMALE,1856
epinay,54,11.0,5.0,13.0,6.0,14.0,0.07113212874082439,0.1930171277997365,0.07661844358734266,0.07661844358734266,1.5555555555555554,FEMALE,1856
holbach,19,9.0,5.0,7.0,4.0,7.0,0.016177300959909654,0.034584980237154145,0.04068636391503408,0.04068636391503408,1.4736842105263157,MALE,1856
choiseul,152,17.0,8.0,38.0,9.0,24.0,0.2712968191229061,0.22924901185770746,0.14920388469553972,0.14920388469553972,1.4210526315789473,MALE,1856
narziss,96,12.0,6.0,19.0,6.0,22.0,0.06681724073028421,0.1116600790513834,0.08606018678622432,0.08606018678622432,1.375,MALE,1856
lambert,39,10.0,5.0,9.0,5.0,8.0,0.041469038208168635,0.049571805006587616,0.05661041838420194,0.05661041838420194,1.0256410256410255,MALE,1856
grimm,31,6.0,3.0,9.0,3.0,10.0,0.01828063241106719,0.012681159420289854,0.060378276226203176,0.060378276226203176,0.967741935483871,MALE,1856
koenigin,23,5.0,1.0,1.0,4.0,5.0,0.02973837756446452,0.02931488801054018,0.0157307426143088,0.0157307426143088,0.8695652173913043,FEMALE,1856
dubarry,40,4.0,2.0,9.0,2.0,11.0,0.02569169960474308,0.02569169960474308,0.05286383080058932,0.05286383080058932,0.55,MALE,1856
gesellschaft_alle_die_anderen,10,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.012356983956783373,0.012356983956783373,0.4,,1856
boufflers,11,4.0,2.0,4.0,2.0,2.0,0.019833427442123092,0.041831357048748345,0.031443792590605764,0.031443792590605764,0.36363636363636365,FEMALE,1856
conti,13,4.0,2.0,2.0,2.0,2.0,0.02625635234330886,0.04710144927536231,0.028394706001742813,0.028394706001742813,0.3076923076923077,MALE,1856
terray,4,2.0,1.0,1.0,1.0,1.0,0.0,0.04150197628458498,0.016441826706559227,0.016441826706559227,0.25,MALE,1856
barjac,22,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.034382985131852194,0.034382985131852194,0.0,MALE,1856
diener_4-1_und_4-2,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.027099040789188247,0.027099040789188247,0.0,MALE,1856
eine_dame,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014114869796140808,0.014114869796140808,0.0,FEMALE,1856
lakai,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017641423266082097,0.017641423266082097,0.0,MALE,1856
erster_kavalier,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014114869796140808,0.014114869796140808,0.0,MALE,1856
silhouette,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014114869796140808,0.014114869796140808,0.0,MALE,1856
maupeou,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017641423266082097,0.017641423266082097,0.0,MALE,1856
colette,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015682072995928623,0.015682072995928623,0.0,FEMALE,1856
stimme_gardist,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017641423266082097,0.017641423266082097,0.0,MALE,1856
