,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
libussa,308,37.0,12.0,32.0,25.0,85.0,0.252204014939309,0.21835014005602238,0.07293915644291675,0.07293915644291675,6.89935064935065,FEMALE,1814
stratka,113,18.0,7.0,15.0,11.0,24.0,0.09936274509803922,0.10679738562091502,0.043804007475235225,0.043804007475235225,2.336283185840708,FEMALE,1814
primislaus,186,17.0,6.0,19.0,11.0,39.0,0.045633986928104574,0.04000280112044818,0.03389761700328306,0.03389761700328306,2.306451612903226,MALE,1814
zwratka,85,14.0,7.0,13.0,7.0,25.0,0.095359010270775,0.09032679738562091,0.04463006775261626,0.04463006775261626,2.058823529411765,FEMALE,1814
wlasta,207,19.0,8.0,45.0,11.0,36.0,0.10589262371615313,0.10543604108309988,0.06552849359604537,0.06552849359604537,1.9130434782608696,FEMALE,1814
howor,4,3.0,1.0,1.0,2.0,3.0,0.000392156862745098,0.000392156862745098,0.01583783870752192,0.01583783870752192,1.5,MALE,1814
rozhon,59,10.0,5.0,12.0,5.0,16.0,0.024216619981325863,0.020888888888888887,0.01992909761595955,0.01992909761595955,1.3559322033898304,MALE,1814
erster_slave_2a,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.005985989239078787,0.005985989239078787,1.0,MALE,1814
dritter_slave_2a,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004434565057439372,0.004434565057439372,1.0,MALE,1814
zastawa,13,7.0,4.0,6.0,3.0,4.0,0.03013071895424837,0.04666666666666666,0.02365805975329956,0.02365805975329956,0.9230769230769231,FEMALE,1814
tetka,90,8.0,3.0,7.0,5.0,16.0,0.003415499533146592,0.017156862745098037,0.013661351083970008,0.013661351083970008,0.888888888888889,FEMALE,1814
kascha,80,6.0,2.0,10.0,4.0,16.0,0.000326797385620915,0.00130718954248366,0.011717238551416221,0.011717238551416221,0.8,FEMALE,1814
pachta,104,13.0,7.0,42.0,6.0,12.0,0.043798786181139124,0.04835294117647058,0.07451761471503286,0.07451761471503286,0.6923076923076923,MALE,1814
lapack,61,10.0,5.0,9.0,5.0,8.0,0.021022875816993462,0.07105228758169935,0.01872553547337945,0.01872553547337945,0.6557377049180328,MALE,1814
slawosch,40,10.0,5.0,8.0,5.0,5.0,0.012101774042950509,0.08188515406162465,0.015660680676236678,0.015660680676236678,0.625,MALE,1814
domaslaus,94,9.0,5.0,23.0,4.0,14.0,0.003493464052287581,0.0006349206349206349,0.045371997034165265,0.045371997034165265,0.5957446808510638,MALE,1814
biwog,34,5.0,2.0,2.0,3.0,6.0,0.00044117647058823526,0.011013071895424838,0.0062226637435950334,0.0062226637435950334,0.5294117647058824,MALE,1814
moriwescha,19,4.0,2.0,4.0,2.0,5.0,0.015294117647058821,0.017254901960784313,0.022245027920086115,0.022245027920086115,0.5263157894736842,FEMALE,1814
radka,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004434565057439372,0.004434565057439372,0.5,FEMALE,1814
milick,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004434565057439372,0.004434565057439372,0.5,MALE,1814
fuenfter,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004434565057439372,0.004434565057439372,0.5,MALE,1814
chirch,13,4.0,2.0,2.0,2.0,3.0,0.0003823529411764705,0.002563958916900093,0.005902699964313098,0.005902699964313098,0.46153846153846156,MALE,1814
wrschowetz,142,13.0,8.0,32.0,5.0,13.0,0.03514472455648925,0.08432212885154063,0.05173923718640792,0.05173923718640792,0.45774647887323944,MALE,1814
trinitas,49,6.0,4.0,12.0,2.0,11.0,0.022228758169934637,0.018562091503267975,0.06369275564387099,0.06369275564387099,0.4489795918367347,FEMALE,1814
milenka,14,5.0,3.0,3.0,2.0,3.0,0.01610457516339869,0.022156862745098038,0.014411044666538593,0.014411044666538593,0.42857142857142855,FEMALE,1814
stiason,14,3.0,1.0,4.0,2.0,3.0,0.0,0.0,0.007389629045238365,0.007389629045238365,0.42857142857142855,MALE,1814
scharka,69,10.0,6.0,19.0,4.0,7.0,0.0446830065359477,0.04980392156862745,0.03833952435564803,0.03833952435564803,0.4057971014492754,FEMALE,1814
wastil,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004434565057439372,0.004434565057439372,0.3333333333333333,MALE,1814
entawopa,26,5.0,3.0,7.0,2.0,4.0,0.0016638655462184874,0.016274509803921568,0.020730104086610558,0.020730104086610558,0.3076923076923077,FEMALE,1814
druhan,20,5.0,3.0,3.0,2.0,2.0,0.02784313725490196,0.06849393090569561,0.015478654328511926,0.015478654328511926,0.2,MALE,1814
moribud,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004434565057439372,0.004434565057439372,0.2,MALE,1814
hubaljuta,20,3.0,2.0,3.0,1.0,4.0,0.0010294117647058822,0.0,0.02754078924189024,0.02754078924189024,0.2,FEMALE,1814
meneljuba,21,3.0,2.0,4.0,1.0,3.0,0.000326797385620915,0.0,0.01916776549075684,0.01916776549075684,0.14285714285714285,FEMALE,1814
budeslawka,8,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.007537413420718201,0.007537413420718201,0.125,FEMALE,1814
ziack,37,8.0,6.0,16.0,2.0,2.0,0.01418674136321195,0.011764705882352941,0.03120921045191869,0.03120921045191869,0.10810810810810811,MALE,1814
dobrowka,10,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.005985989239078787,0.005985989239078787,0.1,FEMALE,1814
nabka,10,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.013410710666717772,0.013410710666717772,0.1,FEMALE,1814
das_heer,29,4.0,3.0,4.0,1.0,1.0,0.004104575163398693,0.0481045751633987,0.011265841912794854,0.011265841912794854,0.034482758620689655,,1814
die_maegdlein,52,3.0,2.0,2.0,1.0,1.0,0.0,0.0071008403361344525,0.010442100633419202,0.010442100633419202,0.019230769230769232,,1814
chobol,15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011013019174780455,0.011013019174780455,0.0,MALE,1814
volk_4,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00516393396736335,0.00516393396736335,0.0,,1814
volk_3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00516393396736335,0.00516393396736335,0.0,,1814
poplopeck,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008922637862078572,0.008922637862078572,0.0,MALE,1814
sechster,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008203995231289452,0.008203995231289452,0.0,MALE,1814
zweiter_slave_2b,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00516393396736335,0.00516393396736335,0.0,MALE,1814
mladka,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.013231490657825177,0.013231490657825177,0.0,FEMALE,1814
dobromila,7,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.007533205339620038,0.007533205339620038,0.0,FEMALE,1814
klimbogna,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00516393396736335,0.00516393396736335,0.0,FEMALE,1814
hodka,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008203995231289452,0.008203995231289452,0.0,FEMALE,1814
volk_2,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.006715358149002764,0.006715358149002764,0.0,,1814
drzewoslaus,13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00516393396736335,0.00516393396736335,0.0,MALE,1814
die_waechterin,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005173331054389121,0.005173331054389121,0.0,FEMALE,1814
