,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ponce,297,21.0,9.0,12.0,71.0,0.21251646903820812,0.21722661396574436,0.12391789054759968,0.12391789054759968,2.8686868686868685,MALE,1803
juanna,10,5.0,1.0,4.0,6.0,0.04644268774703557,0.0727931488801054,0.009710429064838322,0.009710429064838322,2.4,FEMALE,1803
valerio,236,22.0,13.0,9.0,54.0,0.3611989459815546,0.4548748353096179,0.14611343005854946,0.14611343005854946,2.059322033898305,MALE,1803
valeria,285,15.0,8.0,7.0,82.0,0.056455862977602106,0.042654808959156784,0.1407980122297425,0.1407980122297425,2.0140350877192983,FEMALE,1803
felix,87,11.0,5.0,6.0,18.0,0.04087615283267457,0.1541501976284585,0.04329116164324434,0.04329116164324434,1.2413793103448276,MALE,1803
porporino,163,13.0,7.0,6.0,31.0,0.06436100131752305,0.07279314888010541,0.09498421429878286,0.09498421429878286,1.1411042944785277,MALE,1803
isidora,109,10.0,6.0,4.0,30.0,0.011989459815546773,0.0,0.05022823931617977,0.05022823931617977,1.1009174311926606,FEMALE,1803
aquilar,189,12.0,7.0,5.0,40.0,0.01854413702239789,0.006258234519104083,0.08123688479308297,0.08123688479308297,1.0582010582010581,MALE,1803
diener_4-7,1,2.0,1.0,1.0,1.0,0.0,0.01284584980237154,0.008893951604881451,0.008893951604881451,1.0,MALE,1803
sarmiento,142,10.0,5.0,5.0,28.0,0.016040843214756257,0.009881422924901184,0.08596652879866751,0.08596652879866751,0.9859154929577464,MALE,1803
melanie,61,8.0,4.0,4.0,14.0,0.006982872200263506,0.11116600790513835,0.030354376579853237,0.030354376579853237,0.9180327868852459,FEMALE,1803
lucilla,46,6.0,3.0,3.0,13.0,0.0027009222661396573,0.05072463768115941,0.0208547405678357,0.0208547405678357,0.8478260869565217,FEMALE,1803
isabella,42,7.0,2.0,5.0,7.0,0.005764163372859025,0.061594202898550714,0.012982580289849579,0.012982580289849579,0.8333333333333333,FEMALE,1803
alonso,18,4.0,2.0,2.0,3.0,0.07114624505928853,0.07114624505928853,0.03532812369275918,0.03532812369275918,0.3333333333333333,MALE,1803
diener_5-12,3,2.0,1.0,1.0,1.0,0.0,0.0,0.009710429064838322,0.009710429064838322,0.3333333333333333,MALE,1803
geiger,3,1.0,0.0,1.0,1.0,0.0,0.0,0.00741042453835089,0.00741042453835089,0.3333333333333333,MALE,1803
pfeifer,7,2.0,1.0,1.0,2.0,0.0,0.0,0.02742842313604036,0.02742842313604036,0.2857142857142857,MALE,1803
erster_diener_3-9,4,1.0,0.0,1.0,1.0,0.0,0.0,0.00741042453835089,0.00741042453835089,0.25,MALE,1803
diener_2-14a_und_2-21,5,2.0,1.0,1.0,1.0,0.0,0.0,0.008893951604881451,0.008893951604881451,0.2,MALE,1803
diener_1-15_und_1-16,5,1.0,0.0,1.0,1.0,0.0,0.0,0.00741042453835089,0.00741042453835089,0.2,MALE,1803
der_alte_diener_5-8,5,2.0,1.0,1.0,1.0,0.0,0.0,0.014310438117813185,0.014310438117813185,0.2,MALE,1803
perez,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010161685512216651,0.010161685512216651,0.0,MALE,1803
zweiter_diener_3-9,3,1.0,1.0,0.0,0.0,0.0,0.0,0.01370928385840943,0.01370928385840943,0.0,MALE,1803
ritter,3,1.0,1.0,0.0,0.0,0.0,0.0,0.008893951604881451,0.008893951604881451,0.0,MALE,1803
anderer_diener_1-16,1,,,,,,,,,,MALE,1803
dame,2,,,,,,,,,,FEMALE,1803
erster_diener_1-17,1,,,,,,,,,,MALE,1803
zweiter_diener_1-17,1,,,,,,,,,,MALE,1803
ein_diener_1-20,1,,,,,,,,,,MALE,1803
erster_diener_2-1_und_2-3,5,,,,,,,,,,MALE,1803
zweiter_diener_2-1,2,,,,,,,,,,MALE,1803
diener_2-14b,1,,,,,,,,,,MALE,1803
traeger,1,,,,,,,,,,MALE,1803
diener_5-5,2,,,,,,,,,,MALE,1803
diener_5-15,2,,,,,,,,,,MALE,1803
zigeunerin,4,,,,,,,,,,FEMALE,1803
viele_andere_alle_5-18_bis_5-20,2,,,,,,,,,,,1803
