,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig_peter,25,10.0,2.0,2.0,8.0,14.0,0.13174019607843138,0.16544117647058823,0.0319700248148999,0.0319700248148999,4.48,MALE,1838
zeremonienmeister,10,6.0,2.0,2.0,4.0,4.0,0.07720588235294118,0.07720588235294118,0.05609326234440755,0.05609326234440755,1.6,MALE,1838
leonce,84,9.0,4.0,23.0,5.0,15.0,0.1329656862745098,0.11764705882352941,0.19328085173056664,0.19328085173056664,0.8928571428571429,MALE,1838
valerio,58,6.0,3.0,10.0,3.0,14.0,0.18075980392156862,0.1875,0.11737358305467069,0.11737358305467069,0.7241379310344828,MALE,1838
lena,23,4.0,2.0,3.0,2.0,6.0,0.02144607843137255,0.10294117647058823,0.06169174848203954,0.06169174848203954,0.5217391304347826,FEMALE,1838
gouvernante,15,3.0,1.0,3.0,2.0,3.0,0.022058823529411763,0.1323529411764706,0.049121562348531156,0.049121562348531156,0.4,FEMALE,1838
rosetta,18,2.0,1.0,4.0,1.0,7.0,0.0,0.0,0.06671470686862618,0.06671470686862618,0.3888888888888889,FEMALE,1838
landrat,3,2.0,1.0,1.0,1.0,1.0,0.044117647058823525,0.044117647058823525,0.03002896756089724,0.03002896756089724,0.3333333333333333,MALE,1838
erster_bedienter,5,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.03676381261213431,0.03676381261213431,0.2,MALE,1838
schulmeister,6,2.0,1.0,1.0,1.0,1.0,0.025735294117647058,0.025735294117647058,0.04842786325579279,0.04842786325579279,0.16666666666666666,MALE,1838
praesident,16,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.05645516556093885,0.05645516556093885,0.0,MALE,1838
zweiter_kammerdiener,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024843994459222186,0.024843994459222186,0.0,MALE,1838
hofmeister,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.033855879621071186,0.033855879621071186,0.0,MALE,1838
die_bauern,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0640663167525844,0.0640663167525844,0.0,,1838
erster_kammerdiener,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024843994459222186,0.024843994459222186,0.0,MALE,1838
zweiter_bedienter,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.034822755358131646,0.034822755358131646,0.0,MALE,1838
dritter_bedienter,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.034822755358131646,0.034822755358131646,0.0,MALE,1838
vierter_diener,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.034822755358131646,0.034822755358131646,0.0,MALE,1838
