,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
messaline,17,5.0,1.0,4.0,7.0,0.16666666666666666,0.16666666666666666,0.10714215500643942,0.10714215500643942,1.6470588235294117,FEMALE,1788
bella,20,6.0,2.0,4.0,6.0,0.20833333333333331,0.20833333333333331,0.19526507139925542,0.19526507139925542,1.2,FEMALE,1788
biribinker,17,3.0,1.0,2.0,6.0,0.027777777777777776,0.027777777777777776,0.10714215500643942,0.10714215500643942,0.7058823529411765,MALE,1788
cantareth,5,2.0,1.0,1.0,2.0,0.0,0.0,0.07947931382097585,0.07947931382097585,0.4,MALE,1788
fitzaldo,5,2.0,1.0,1.0,1.0,0.0,0.0,0.0778364596199042,0.0778364596199042,0.2,MALE,1788
hyacinth,4,2.0,2.0,0.0,0.0,0.0,0.0,0.14399780720198999,0.14399780720198999,0.0,MALE,1788
baham,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0778364596199042,0.0778364596199042,0.0,MALE,1788
der_soldat_7,1,1.0,1.0,0.0,0.0,0.0,0.0,0.06482646612770825,0.06482646612770825,0.0,MALE,1788
erster_soldat,5,1.0,1.0,0.0,0.0,0.0,0.0,0.07947931382097585,0.07947931382097585,0.0,MALE,1788
zweyter_soldat,7,1.0,1.0,0.0,0.0,0.0,0.0,0.06699479837640757,0.06699479837640757,0.0,MALE,1788
der_soldat_4,1,,,,,,,,,,MALE,1788
