,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
graefin_von_wildenstein,49,8.0,3.0,5.0,11.0,0.29166666666666663,0.37499999999999994,0.08087386183866808,0.08087386183866808,1.1224489795918366,FEMALE,1884
die_bauern,11,5.0,2.0,3.0,3.0,0.05555555555555555,0.26388888888888884,0.0738058393772455,0.0738058393772455,0.8181818181818181,,1884
conradin,39,8.0,4.0,4.0,7.0,0.2708333333333333,0.20833333333333331,0.2358709005448172,0.2358709005448172,0.717948717948718,MALE,1884
freiherr,53,6.0,2.0,4.0,9.0,0.20833333333333331,0.20833333333333331,0.06883470639151129,0.06883470639151129,0.6792452830188679,MALE,1884
werner,50,10.0,6.0,4.0,8.0,0.22916666666666666,0.23611111111111105,0.2526672677576129,0.2526672677576129,0.64,MALE,1884
einige_junge_maedchen,3,2.0,1.0,1.0,1.0,0.0,0.0,0.07560189260746035,0.07560189260746035,0.3333333333333333,,1884
maria,39,5.0,3.0,2.0,4.0,0.1111111111111111,0.1111111111111111,0.09751055315578225,0.09751055315578225,0.20512820512820512,FEMALE,1884
damian,16,3.0,2.0,1.0,2.0,0.09722222222222221,0.09722222222222221,0.031068723047132693,0.031068723047132693,0.125,MALE,1884
graf_von_wildenstein,10,2.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.044726794889228524,0.044726794889228524,0.1,MALE,1884
chor,7,1.0,1.0,0.0,0.0,0.0,0.0,0.03903946039054117,0.03903946039054117,0.0,,1884
einige_aeltere_maenner,1,,,,,,,,,,,1884
chor_der_jungen_saekkinger,1,,,,,,,,,,,1884
die_schiffsleute,1,,,,,,,,,,,1884
vier_herolde,1,,,,,,,,,,,1884
die_landsknechte,1,,,,,,,,,,,1884
chor_der_buerger_und_buergerinnen,1,,,,,,,,,,,1884
