,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
herzog,14,4.0,1.0,4.0,3.0,6.0,0.011111111111111112,0.007407407407407408,0.09740450394081202,0.09740450394081202,1.2857142857142856,MALE,1920
herzogin,19,7.0,4.0,5.0,3.0,8.0,0.17777777777777778,0.17777777777777778,0.14293387109089528,0.14293387109089528,1.263157894736842,FEMALE,1920
faust,41,10.0,5.0,7.0,5.0,10.0,0.22222222222222224,0.22592592592592592,0.1674169939846283,0.1674169939846283,1.2195121951219512,MALE,1920
ein_student_2_zweites_bild,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.03665782776592573,0.03665782776592573,1.0,MALE,1920
einer_1_zweites_bild,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.03665782776592573,0.03665782776592573,1.0,MALE,1920
einer_2_zweites_bild,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.03665782776592573,0.03665782776592573,1.0,MALE,1920
chor,22,4.0,1.0,1.0,3.0,5.0,0.0,0.024074074074074074,0.05088828953341816,0.05088828953341816,0.6818181818181818,,1920
zeremonienmeister,7,3.0,2.0,2.0,1.0,1.0,0.0,0.022222222222222223,0.06564346719226326,0.06564346719226326,0.14285714285714285,MALE,1920
studenten_zweites_bild,7,2.0,1.0,1.0,1.0,1.0,0.011111111111111112,0.011111111111111112,0.06781668062581148,0.06781668062581148,0.14285714285714285,,1920
mephistopheles,21,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.21857349726599146,0.21857349726599146,0.0,MALE,1920
der_erste_student_aus_krakau,4,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.07934921306840304,0.07934921306840304,0.0,MALE,1920
