,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
turandot,42,11.0,4.0,7.0,14.0,0.39015151515151514,0.4128787878787879,0.1941173946162206,0.1941173946162206,2.333333333333333,FEMALE,1917
maennerchor,2,4.0,2.0,2.0,2.0,0.12878787878787878,0.12878787878787878,0.08236639554154947,0.08236639554154947,2.0,,1917
kalaf,45,7.0,3.0,4.0,7.0,0.3106060606060606,0.3106060606060606,0.12512155550360957,0.12512155550360957,0.6222222222222222,MALE,1917
altoum,39,6.0,3.0,3.0,5.0,0.06439393939393939,0.045454545454545456,0.09975619851613922,0.09975619851613922,0.3846153846153846,MALE,1917
chor,11,3.0,1.0,2.0,2.0,0.05303030303030303,0.24242424242424243,0.03201104762523942,0.03201104762523942,0.36363636363636365,,1917
frauenchor,3,2.0,1.0,1.0,1.0,0.0,0.0,0.05523241550267248,0.05523241550267248,0.3333333333333333,,1917
pantalone,23,4.0,2.0,2.0,3.0,0.003787878787878788,0.003787878787878788,0.06592834721321478,0.06592834721321478,0.2608695652173913,MALE,1917
barak,24,2.0,1.0,1.0,6.0,0.0,0.0,0.06580476861302122,0.06580476861302122,0.25,MALE,1917
adelma,17,3.0,2.0,1.0,2.0,0.0,0.0,0.09611214109573846,0.09611214109573846,0.11764705882352941,FEMALE,1917
tartaglia,24,3.0,2.0,1.0,2.0,0.03409090909090909,0.06818181818181818,0.050690512435052765,0.050690512435052765,0.08333333333333333,MALE,1917
truffaldino,9,1.0,1.0,0.0,0.0,0.0,0.0,0.04379665854436725,0.04379665854436725,0.0,MALE,1917
die_doktoren,5,1.0,1.0,0.0,0.0,0.0,0.0,0.03383014929050228,0.03383014929050228,0.0,,1917
maedchenchor,1,1.0,1.0,0.0,0.0,0.0,0.0,0.05523241550267248,0.05523241550267248,0.0,,1917
die_koeniginmutter,2,,,,,,,,,,FEMALE,1917
klageweiber,1,,,,,,,,,,,1917
eunuchen,1,,,,,,,,,,,1917
