,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
coriolan,295,23.0,10.0,60.0,13.0,82.0,0.6837121212121212,0.6363636363636364,0.32358757683690853,0.32358757683690853,3.613559322033898,MALE,1802
attus_tullus,59,10.0,5.0,11.0,5.0,24.0,0.06313131313131314,0.2196969696969697,0.05920437684751863,0.05920437684751863,2.0338983050847457,MALE,1802
porus,16,6.0,2.0,3.0,4.0,5.0,0.001893939393939394,0.28030303030303033,0.02208976370205417,0.02208976370205417,1.25,MALE,1802
veturia,97,6.0,2.0,20.0,4.0,20.0,0.003787878787878788,0.0,0.10400657635965588,0.10400657635965588,0.8247422680412371,FEMALE,1802
lucumo,44,8.0,4.0,10.0,4.0,9.0,0.019570707070707072,0.24242424242424243,0.05206041533922213,0.05206041533922213,0.8181818181818182,MALE,1802
volturio,65,9.0,5.0,18.0,4.0,13.0,0.10290404040404041,0.0946969696969697,0.09516856077724789,0.09516856077724789,0.8,MALE,1802
volumnia,71,6.0,3.0,19.0,3.0,11.0,0.003787878787878788,0.045454545454545456,0.09438836681547234,0.09438836681547234,0.46478873239436613,FEMALE,1802
sulpitius,27,2.0,1.0,8.0,1.0,11.0,0.0,0.0,0.04011888186473025,0.04011888186473025,0.4074074074074074,MALE,1802
minutius,36,5.0,3.0,16.0,2.0,5.0,0.0,0.007575757575757576,0.07802978253778538,0.07802978253778538,0.2777777777777778,MALE,1802
pontifex,8,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01663863192542602,0.01663863192542602,0.125,MALE,1802
aruntius,17,5.0,4.0,4.0,1.0,2.0,0.0,0.045454545454545456,0.031533193614236635,0.031533193614236635,0.11764705882352941,MALE,1802
marcus,44,3.0,2.0,14.0,1.0,5.0,0.0,0.0,0.056472277194614694,0.056472277194614694,0.11363636363636363,MALE,1802
centurio,8,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.026701596185127838,0.026701596185127838,0.0,MALE,1802
