,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
freunde_des_kadi,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0159108989797956,0.0159108989797956,1.0,,1858
bewohner_bagdads,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0159108989797956,0.0159108989797956,1.0,,1858
margiana,15,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0159108989797956,0.0159108989797956,0.5333333333333333,FEMALE,1858
abul,73,9.0,5.0,15.0,4.0,9.0,0.23333333333333334,0.23333333333333334,0.32941401484571997,0.32941401484571997,0.4931506849315068,MALE,1858
nureddin,61,5.0,3.0,8.0,2.0,14.0,0.016666666666666666,0.0,0.2643651378698834,0.2643651378698834,0.45901639344262296,MALE,1858
kalif,10,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0159108989797956,0.0159108989797956,0.4,MALE,1858
kadi,26,7.0,5.0,5.0,2.0,3.0,0.08888888888888889,0.08888888888888889,0.11279037743624411,0.11279037743624411,0.23076923076923078,MALE,1858
bostana,26,5.0,3.0,9.0,2.0,2.0,0.016666666666666666,0.13333333333333333,0.13741827213967495,0.13741827213967495,0.15384615384615385,FEMALE,1858
chor_alle,7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0159108989797956,0.0159108989797956,0.14285714285714285,,1858
diener_nureddins,21,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.047022539669158266,0.047022539669158266,0.09523809523809523,,1858
klagefrauen,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029435163140340587,0.029435163140340587,0.0,,1858
