,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
artander,44,10.0,4.0,6.0,15.0,0.18303571428571427,0.23214285714285712,0.11643788679701508,0.11643788679701508,2.0454545454545454,MALE,1758
codrus,53,11.0,5.0,6.0,18.0,0.1755952380952381,0.26785714285714285,0.18682805227847982,0.18682805227847982,2.0377358490566038,MALE,1758
elisinde,66,9.0,4.0,5.0,24.0,0.13988095238095236,0.14285714285714285,0.2047209022617314,0.2047209022617314,1.8181818181818183,FEMALE,1758
medon,60,8.0,4.0,4.0,16.0,0.02827380952380952,0.03571428571428571,0.20584972543595428,0.20584972543595428,1.0666666666666667,MALE,1758
philaide,42,6.0,3.0,3.0,14.0,0.004464285714285714,0.017857142857142856,0.10929846656026004,0.10929846656026004,1.0,FEMALE,1758
nileus,15,3.0,2.0,1.0,4.0,0.004464285714285714,0.03571428571428571,0.06936045247583372,0.06936045247583372,0.26666666666666666,MALE,1758
eine_wache,1,1.0,1.0,0.0,0.0,0.0,0.0,0.034070435807154464,0.034070435807154464,0.0,MALE,1758
cleanth,2,1.0,1.0,0.0,0.0,0.0,0.0,0.04001609571567466,0.04001609571567466,0.0,MALE,1758
licas,4,1.0,1.0,0.0,0.0,0.0,0.0,0.03341798266789622,0.03341798266789622,0.0,MALE,1758
ein_soldat,1,,,,,,,,,,MALE,1758
