,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
michel,190,22.0,11.0,11.0,43.0,0.3342352092352093,0.19769119769119767,0.256277942344102,0.256277942344102,2.4894736842105263,MALE,1911
der_landrat,59,12.0,2.0,10.0,12.0,0.125,0.1497113997113997,0.03964480207859432,0.03964480207859432,2.0338983050847457,MALE,1911
frau_venus,38,6.0,2.0,4.0,9.0,0.0,0.0,0.03058603773683639,0.03058603773683639,0.9473684210526315,FEMALE,1911
eulenspiegel,121,15.0,8.0,7.0,16.0,0.032828282828282825,0.18542568542568544,0.09420860848514014,0.09420860848514014,0.9256198347107438,MALE,1911
der_bergrat,86,8.0,4.0,4.0,17.0,0.012265512265512266,0.1572871572871573,0.07740267128991747,0.07740267128991747,0.7906976744186046,MALE,1911
die_landraete,6,2.0,0.0,2.0,2.0,0.0,0.0,0.010444201662258042,0.010444201662258042,0.6666666666666666,,1911
der_rote_karl,53,6.0,2.0,4.0,8.0,0.02922077922077922,0.032467532467532464,0.0284504638212424,0.0284504638212424,0.6037735849056604,MALE,1911
lise_lied,101,7.0,4.0,3.0,16.0,0.0027056277056277055,0.011904761904761904,0.1380722562537348,0.1380722562537348,0.4752475247524752,FEMALE,1911
der_buergermeister,14,5.0,3.0,2.0,2.0,0.032467532467532464,0.05411255411255411,0.02679660658317777,0.02679660658317777,0.2857142857142857,MALE,1911
der_schwarze_karl,33,4.0,2.0,2.0,4.0,0.0007215007215007215,0.0,0.03168801382841829,0.03168801382841829,0.24242424242424243,MALE,1911
der_rotbart,59,10.0,7.0,3.0,4.0,0.07377344877344877,0.08225108225108226,0.0639323133909674,0.0639323133909674,0.2033898305084746,MALE,1911
der_kaplan,21,2.0,0.0,2.0,2.0,0.0,0.0,0.010444201662258042,0.010444201662258042,0.19047619047619047,MALE,1911
die_buergermeisterin,24,4.0,2.0,2.0,2.0,0.031385281385281384,0.03354978354978355,0.01994903788711941,0.01994903788711941,0.16666666666666666,FEMALE,1911
die_heizer,15,1.0,0.0,1.0,1.0,0.0,0.0,0.010444201662258042,0.010444201662258042,0.06666666666666667,,1911
bergknappen-bergleute,16,2.0,1.0,1.0,1.0,0.0007215007215007215,0.0021645021645021645,0.013467014071004289,0.013467014071004289,0.0625,,1911
eckart,44,5.0,4.0,1.0,1.0,0.0,0.0652958152958153,0.042055327378934915,0.042055327378934915,0.022727272727272728,MALE,1911
erster_kobold,9,1.0,1.0,0.0,0.0,0.0,0.0,0.013252276472574643,0.013252276472574643,0.0,MALE,1911
die_herren,3,1.0,1.0,0.0,0.0,0.0,0.0,0.013252276472574643,0.013252276472574643,0.0,,1911
zweiter_kobold,4,1.0,1.0,0.0,0.0,0.0,0.0,0.013252276472574643,0.013252276472574643,0.0,MALE,1911
der_pastor,7,1.0,1.0,0.0,0.0,0.0,0.0,0.018922469323305248,0.018922469323305248,0.0,MALE,1911
die_pastoren,5,1.0,1.0,0.0,0.0,0.0,0.0,0.019321749212868937,0.019321749212868937,0.0,,1911
die_kaplane,7,1.0,1.0,0.0,0.0,0.0,0.0,0.01488297543756349,0.01488297543756349,0.0,,1911
die_damen,3,1.0,1.0,0.0,0.0,0.0,0.0,0.013252276472574643,0.013252276472574643,0.0,,1911
chorgesang_mit_musik,1,,,,,,,,,,,1911
alle_2ter_aufzug,3,,,,,,,,,,,1911
sprechgesang,1,,,,,,,,,,,1911
der_oberheizer,6,,,,,,,,,,MALE,1911
die_kobolde,19,,,,,,,,,,,1911
die_buergermeister,1,,,,,,,,,,,1911
ein_bergmann,1,,,,,,,,,,MALE,1911
dritter_kobold,2,,,,,,,,,,MALE,1911
eine_dame,1,,,,,,,,,,FEMALE,1911
die_polizisten,2,,,,,,,,,,,1911
immer_mehr_stimmen,1,,,,,,,,,,,1911
