,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
stephan,42,13.0,6.0,6.0,7.0,11.0,0.39898989898989906,0.6098484848484849,0.07193114143238048,0.07193114143238048,1.8333333333333335,MALE,1833
heiling,103,13.0,7.0,23.0,6.0,28.0,0.3262626262626263,0.3314393939393939,0.2692065126158665,0.2692065126158665,1.6310679611650485,MALE,1833
gertrud,58,10.0,5.0,10.0,5.0,14.0,0.02916666666666667,0.04166666666666667,0.07807947346456065,0.07807947346456065,1.206896551724138,FEMALE,1833
alle_1-8,1,2.0,1.0,1.0,1.0,1.0,0.010227272727272729,0.032196969696969696,0.02058614838066103,0.02058614838066103,1.0,,1833
anna,122,11.0,5.0,32.0,6.0,20.0,0.07032828282828282,0.09848484848484848,0.22486176439840744,0.22486176439840744,0.9836065573770492,FEMALE,1833
konrad,95,9.0,4.0,9.0,5.0,15.0,0.015151515151515152,0.0,0.0689447895488572,0.0689447895488572,0.7894736842105263,MALE,1833
chor_der_erdgeister,44,5.0,2.0,7.0,3.0,6.0,0.026010101010101015,0.005681818181818182,0.07500251241936705,0.07500251241936705,0.40909090909090906,,1833
bauernchor_bauern,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.015027850885262362,0.015027850885262362,0.25,,1833
niklas,21,4.0,2.0,6.0,2.0,2.0,0.07575757575757576,0.07575757575757576,0.0417718393329031,0.0417718393329031,0.19047619047619047,MALE,1833
koenigin,27,3.0,2.0,3.0,1.0,3.0,0.0,0.0,0.044450908691797075,0.044450908691797075,0.1111111111111111,FEMALE,1833
alle_chor_der_hochzeitsleute,12,3.0,2.0,3.0,1.0,1.0,0.010227272727272729,0.06818181818181818,0.036769867143754575,0.036769867143754575,0.08333333333333333,,1833
die_andern,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03278104330552186,0.03278104330552186,0.0,,1833
die_jaeger,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02058614838066103,0.02058614838066103,0.0,,1833
