,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
francesco,86,10.0,5.0,5.0,30.0,0.08571428571428572,0.11666666666666668,0.1881131951520108,0.1881131951520108,1.744186046511628,MALE,1915
lisa,88,9.0,4.0,5.0,26.0,0.05833333333333334,0.028571428571428574,0.24420926864409992,0.24420926864409992,1.4772727272727273,FEMALE,1915
dianora,25,6.0,2.0,4.0,8.0,0.03333333333333334,0.03333333333333334,0.08018908609915942,0.08018908609915942,1.28,FEMALE,1915
die_frau,12,2.0,0.0,2.0,7.0,0.0,0.0,0.018971903187098318,0.018971903187098318,1.1666666666666667,FEMALE,1915
ginevra,22,6.0,2.0,4.0,6.0,0.01666666666666667,0.05317460317460318,0.052412615412563965,0.052412615412563965,1.0909090909090908,FEMALE,1915
doppelchor_marienchor,1,1.0,0.0,1.0,1.0,0.0,0.0,0.018971903187098318,0.018971903187098318,1.0,,1915
giovanni,32,7.0,4.0,3.0,9.0,0.005952380952380953,0.046031746031746035,0.0731513204093111,0.0731513204093111,0.84375,MALE,1915
arrigo,32,6.0,3.0,3.0,5.0,0.008333333333333335,0.09047619047619049,0.05139014834265447,0.05139014834265447,0.46875,MALE,1915
pietro,30,5.0,3.0,2.0,5.0,0.05833333333333334,0.05714285714285715,0.040246609091123944,0.040246609091123944,0.3333333333333333,MALE,1915
der_fremde,8,2.0,1.0,1.0,1.0,0.0,0.002380952380952381,0.02588311184376439,0.02588311184376439,0.125,MALE,1915
sandro,9,2.0,1.0,1.0,1.0,0.03333333333333334,0.03333333333333334,0.02581391392111606,0.02581391392111606,0.1111111111111111,MALE,1915
der_laienbruder,10,2.0,2.0,0.0,0.0,0.0,0.0,0.050187561299876386,0.050187561299876386,0.0,MALE,1915
alessio,7,1.0,1.0,0.0,0.0,0.0,0.0,0.04091366924905019,0.04091366924905019,0.0,MALE,1915
chor,2,1.0,1.0,0.0,0.0,0.0,0.0,0.026955818267237506,0.026955818267237506,0.0,,1915
venus-chor,1,1.0,1.0,0.0,0.0,0.0,0.0,0.03509805671931915,0.03509805671931915,0.0,,1915
piccarda,5,1.0,1.0,0.0,0.0,0.0,0.0,0.02749181917451601,0.02749181917451601,0.0,FEMALE,1915
masolino,4,,,,,,,,,,MALE,1915
chor_der_moenche,2,,,,,,,,,,,1915
stimmen_des_volkes,1,,,,,,,,,,,1915
frauen-chor,1,,,,,,,,,,,1915
