,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
sonderrath,126,11,5,33,6,32,0.29166666666666663,0.2777777777777778,0.17307857520606743,0.17307857520606743,1.5238095238095237,MALE,1840
frau_von_thielen,10,2,0,0,2,7,0.0,0.0,0.015000000000000003,0.015000000000000003,1.4,FEMALE,1840
speth,170,12,6,45,6,38,0.318287037037037,0.4444444444444444,0.20363356454793122,0.20363356454793122,1.3411764705882354,MALE,1840
willibald,153,10,5,38,5,32,0.05439814814814814,0.0,0.19954624791923295,0.19954624791923295,1.0457516339869282,MALE,1840
claudine,87,8,4,13,4,19,0.0648148148148148,0.06944444444444445,0.08464615606373575,0.08464615606373575,0.8735632183908046,FEMALE,1840
seybold,93,8,5,19,3,22,0.11458333333333333,0.09722222222222221,0.1191603327671459,0.1191603327671459,0.7096774193548387,MALE,1840
ida,57,9,5,15,4,10,0.1284722222222222,0.41666666666666663,0.08714792883668325,0.08714792883668325,0.7017543859649122,FEMALE,1840
frau_von_austen,25,4,2,5,2,6,0.0,0.0,0.037554909520524864,0.037554909520524864,0.48,FEMALE,1840
frau_speth,34,2,1,8,1,12,0.0,0.0,0.051440112910054375,0.051440112910054375,0.35294117647058826,FEMALE,1840
ein_diener,7,2,1,3,1,1,0.0,0.06944444444444445,0.028792172228624513,0.028792172228624513,0.14285714285714285,MALE,1840
