,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig,38,10.0,4.0,6.0,8.0,0.08068783068783068,0.08068783068783068,0.06467917949041115,0.06467917949041115,1.263157894736842,MALE,1843
nicolai,19,7.0,4.0,3.0,8.0,0.03373015873015873,0.025793650793650792,0.09136250070163526,0.09136250070163526,1.263157894736842,MALE,1843
narr,35,8.0,4.0,4.0,11.0,0.12566137566137564,0.12566137566137564,0.1615129087738115,0.1615129087738115,1.2571428571428571,MALE,1843
andrer_buerger,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009389487160332999,0.009389487160332999,1.0,MALE,1843
fuenfter_buerger,1,1.0,0.0,1.0,1.0,0.0,0.0,0.009389487160332999,0.009389487160332999,1.0,MALE,1843
vater,4,1.0,0.0,1.0,3.0,0.0,0.0,0.009389487160332999,0.009389487160332999,0.75,MALE,1843
ralf,30,8.0,4.0,4.0,5.0,0.06613756613756613,0.062169312169312166,0.07774656724442665,0.07774656724442665,0.6666666666666666,MALE,1843
ein_bauer_3a,3,2.0,1.0,1.0,2.0,0.0,0.0,0.016261694438962793,0.016261694438962793,0.6666666666666666,MALE,1843
die_blaue,7,2.0,0.0,2.0,2.0,0.0,0.0,0.009389487160332999,0.009389487160332999,0.5714285714285714,UNKNOWN,1843
willibald,8,2.0,0.0,2.0,2.0,0.0,0.0,0.009389487160332999,0.009389487160332999,0.5,MALE,1843
sechster_buerger,2,2.0,1.0,1.0,1.0,0.0013227513227513227,0.0013227513227513227,0.01737053410014438,0.01737053410014438,0.5,MALE,1843
ein_bauer_3b,2,2.0,1.0,1.0,1.0,0.0,0.0,0.016261694438962793,0.016261694438962793,0.5,MALE,1843
kunz,19,6.0,3.0,3.0,3.0,0.05886243386243386,0.08796296296296297,0.04178454076244047,0.04178454076244047,0.47368421052631576,MALE,1843
offizier,3,1.0,0.0,1.0,1.0,0.0,0.0,0.009389487160332999,0.009389487160332999,0.3333333333333333,MALE,1843
oberjaegermeister,3,1.0,0.0,1.0,1.0,0.0,0.0,0.009389487160332999,0.009389487160332999,0.3333333333333333,MALE,1843
reigen,3,1.0,0.0,1.0,1.0,0.0,0.0,0.009389487160332999,0.009389487160332999,0.3333333333333333,,1843
mathilde,13,5.0,3.0,2.0,2.0,0.06746031746031746,0.07870370370370369,0.04399435070145056,0.04399435070145056,0.3076923076923077,FEMALE,1843
freimund,20,5.0,3.0,2.0,3.0,0.10714285714285714,0.10780423280423279,0.06626303309247421,0.06626303309247421,0.3,MALE,1843
sie,5,2.0,1.0,1.0,1.0,0.0,0.0,0.023133901717592588,0.023133901717592588,0.2,FEMALE,1843
colombine,13,2.0,1.0,1.0,2.0,0.0,0.0,0.05930811421726396,0.05930811421726396,0.15384615384615385,FEMALE,1843
biester,15,3.0,2.0,1.0,2.0,0.0,0.0,0.042021303076377706,0.042021303076377706,0.13333333333333333,MALE,1843
paphnutius,23,2.0,1.0,1.0,1.0,0.0,0.0,0.05930811421726396,0.05930811421726396,0.043478260869565216,MALE,1843
erster_jaeger,3,2.0,2.0,0.0,0.0,0.0,0.0,0.02424274137877417,0.02424274137877417,0.0,MALE,1843
kriegsgesang,2,1.0,1.0,0.0,0.0,0.0,0.0,0.01737053410014438,0.01737053410014438,0.0,,1843
gymnasiast,6,1.0,1.0,0.0,0.0,0.0,0.0,0.021869143924565737,0.021869143924565737,0.0,MALE,1843
siebenter_buerger,1,1.0,1.0,0.0,0.0,0.0,0.0,0.024154457154862818,0.024154457154862818,0.0,MALE,1843
dritter_buerger,2,1.0,1.0,0.0,0.0,0.0,0.0,0.01737053410014438,0.01737053410014438,0.0,MALE,1843
draussen,2,1.0,1.0,0.0,0.0,0.0,0.0,0.022606560646663866,0.022606560646663866,0.0,,1843
general,3,1.0,1.0,0.0,0.0,0.0,0.0,0.016261694438962793,0.016261694438962793,0.0,MALE,1843
buergermeister,4,,,,,,,,,,MALE,1843
erster_buerger,1,,,,,,,,,,MALE,1843
zweiter_buerger,1,,,,,,,,,,MALE,1843
vierter_buerger,2,,,,,,,,,,MALE,1843
achter_buerger,1,,,,,,,,,,MALE,1843
neunter_buerger,1,,,,,,,,,,MALE,1843
zehnter_buerger,1,,,,,,,,,,MALE,1843
er,2,,,,,,,,,,MALE,1843
bauern,1,,,,,,,,,,,1843
zweiter_jaeger,1,,,,,,,,,,MALE,1843
dritter_jaeger,1,,,,,,,,,,MALE,1843
sebaldus_nothanker,2,,,,,,,,,,MALE,1843
soldaten,2,,,,,,,,,,,1843
alle_viele_stimmen_gesang,6,,,,,,,,,,,1843
die_schlepptragenden_juenglinge,1,,,,,,,,,,,1843
erster_soldat,2,,,,,,,,,,MALE,1843
zweiter_soldat,2,,,,,,,,,,MALE,1843
dritter_soldat,2,,,,,,,,,,MALE,1843
vierter_soldat,1,,,,,,,,,,MALE,1843
erster_diener,6,,,,,,,,,,MALE,1843
zweiter_diener,3,,,,,,,,,,MALE,1843
dritter_diener,2,,,,,,,,,,MALE,1843
vierter_diener,1,,,,,,,,,,MALE,1843
fuenfter_diener,1,,,,,,,,,,MALE,1843
sechster_diener,1,,,,,,,,,,MALE,1843
waechter,3,,,,,,,,,,MALE,1843
einige_andre_stimmen,4,,,,,,,,,,,1843
