,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
heinrich_von_plauen,117,31.0,13.0,33.0,18.0,35.0,0.41355877616747183,0.40243961352656993,0.07750150037336281,0.07750150037336281,5.384615384615384,MALE,1830
kuechmeister,70,16.0,5.0,10.0,11.0,28.0,0.16579710144927534,0.19999999999999998,0.023524794931755442,0.023524794931755442,4.4,MALE,1830
graf_schwarzburg,52,15.0,6.0,9.0,9.0,23.0,0.048260869565217385,0.054251207729468606,0.029242612049752228,0.029242612049752228,3.980769230769231,MALE,1830
wirsberg,80,13.0,6.0,26.0,7.0,26.0,0.15821256038647344,0.14541062801932367,0.09010740466674834,0.09010740466674834,2.275,MALE,1830
rominta,73,10.0,5.0,21.0,5.0,32.0,0.10193236714975845,0.10193236714975845,0.07374089291092525,0.07374089291092525,2.191780821917808,FEMALE,1830
schaeven,26,10.0,5.0,8.0,5.0,10.0,0.032946859903381635,0.09126409017713366,0.03287457777590361,0.03287457777590361,1.9230769230769231,MALE,1830
schoenfeld,54,16.0,8.0,12.0,8.0,12.0,0.06499194847020934,0.09830112721417068,0.03662269128393417,0.03662269128393417,1.7777777777777777,MALE,1830
kinthenau,37,7.0,3.0,15.0,4.0,15.0,0.08429951690821255,0.09903381642512077,0.029150870481710795,0.029150870481710795,1.6216216216216217,MALE,1830
baysen,30,11.0,6.0,8.0,5.0,9.0,0.04363929146537843,0.05804347826086956,0.03487814997725346,0.03487814997725346,1.5,MALE,1830
renys,32,4.0,1.0,6.0,3.0,15.0,0.015458937198067632,0.015458937198067632,0.014911796620107148,0.014911796620107148,1.40625,MALE,1830
hermann_gans,22,8.0,3.0,6.0,5.0,5.0,0.0073590982286634455,0.01394524959742351,0.016915194394986722,0.016915194394986722,1.1363636363636362,MALE,1830
erster_diener_4-4,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004999567730567053,0.004999567730567053,1.0,MALE,1830
czervany,22,4.0,2.0,7.0,2.0,9.0,0.015942028985507246,0.021256038647342993,0.039479399037542176,0.039479399037542176,0.8181818181818182,MALE,1830
koenig,12,5.0,2.0,2.0,3.0,3.0,0.0013848631239935588,0.010104669887278582,0.010669632743493019,0.010669632743493019,0.75,MALE,1830
gertrud,35,4.0,2.0,12.0,2.0,13.0,0.018357487922705314,0.01497584541062802,0.04038527257606459,0.04038527257606459,0.7428571428571429,FEMALE,1830
walther_von_merheim,21,3.0,1.0,9.0,2.0,7.0,0.0004830917874396135,0.0,0.01142716919240535,0.01142716919240535,0.6666666666666666,MALE,1830
langschenkel,21,4.0,2.0,9.0,2.0,7.0,0.057487922705314005,0.057487922705314005,0.04474818910870414,0.04474818910870414,0.6666666666666666,MALE,1830
burgemeister,3,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.006881743691114902,0.006881743691114902,0.6666666666666666,MALE,1830
elsbeth,18,3.0,1.0,6.0,2.0,6.0,0.0014492753623188406,0.015458937198067632,0.02084298656462976,0.02084298656462976,0.6666666666666666,FEMALE,1830
graf_sayn,25,7.0,3.0,7.0,4.0,4.0,0.007971014492753623,0.017697262479871176,0.01464375509573676,0.01464375509573676,0.64,MALE,1830
wuttke,13,5.0,3.0,4.0,2.0,3.0,0.039452495974235106,0.06811594202898551,0.0350395223702875,0.0350395223702875,0.46153846153846156,MALE,1830
graf_von_kyburg,21,6.0,4.0,5.0,2.0,4.0,0.028019323671497585,0.03760064412238326,0.01761554170061685,0.01761554170061685,0.38095238095238093,MALE,1830
hauptmann_2-4,6,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.010875812730321106,0.010875812730321106,0.3333333333333333,MALE,1830
herold,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.006881743691114902,0.006881743691114902,0.3333333333333333,MALE,1830
zweiter_soldat_1-2,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004999567730567053,0.004999567730567053,0.3333333333333333,MALE,1830
hohenkirch,20,6.0,4.0,10.0,2.0,3.0,0.0,0.006159420289855072,0.025896877002080026,0.025896877002080026,0.3,MALE,1830
kuntz,4,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.024854403141005045,0.024854403141005045,0.25,MALE,1830
jolante,28,2.0,1.0,15.0,1.0,7.0,0.0,0.0,0.03438079272933732,0.03438079272933732,0.25,FEMALE,1830
ein_diener_4-1,9,3.0,2.0,8.0,1.0,2.0,0.0,0.01932367149758454,0.015795009020253103,0.015795009020253103,0.2222222222222222,MALE,1830
erste_stimme,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.004999567730567053,0.004999567730567053,0.2,FEMALE,1830
soldat_2-1,5,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.008293711038946713,0.008293711038946713,0.2,MALE,1830
zenger,21,6.0,5.0,7.0,1.0,3.0,0.0007246376811594203,0.0,0.01997403873882843,0.01997403873882843,0.14285714285714285,MALE,1830
polkau,9,3.0,2.0,3.0,1.0,1.0,0.011594202898550725,0.028502415458937197,0.011249565235620238,0.011249565235620238,0.1111111111111111,MALE,1830
dietrich,12,2.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0256210161903458,0.0256210161903458,0.08333333333333333,MALE,1830
zweiter_soldat_2-4,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.006958316063818404,0.006958316063818404,0.0,MALE,1830
ein_ritter_2-1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.006881743691114902,0.006881743691114902,0.0,MALE,1830
mehrere_soeldner,3,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.012070107081659565,0.012070107081659565,0.0,,1830
ritter_1-2,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.007161038515029972,0.007161038515029972,0.0,MALE,1830
burgwart,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005844651246701266,0.005844651246701266,0.0,MALE,1830
bauer_1-2,5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.008674484818070843,0.008674484818070843,0.0,MALE,1830
erster_soldat_1-2,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.007945488939106873,0.007945488939106873,0.0,MALE,1830
zweite_stimme,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.007945488939106873,0.007945488939106873,0.0,FEMALE,1830
ein_diener_4-3,5,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.007142101551179818,0.007142101551179818,0.0,MALE,1830
rode,6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.006427923610975562,0.006427923610975562,0.0,MALE,1830
zweiter_diener_4-4,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009249232738009126,0.009249232738009126,0.0,MALE,1830
erster_bauer_5-3,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.007593749425839384,0.007593749425839384,0.0,MALE,1830
schlosswart,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.006080303122798512,0.006080303122798512,0.0,MALE,1830
