,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
adele,46,9,4,5,19,0.04518518518518518,0.10740740740740741,0.07352826968825632,0.07352826968825632,2.0652173913043477,FEMALE,1833
victor,57,11,5,6,18,0.10814814814814815,0.3074074074074074,0.06819189562293741,0.06819189562293741,1.894736842105263,MALE,1833
flitt,124,13,6,7,33,0.19203703703703706,0.23703703703703707,0.18263829171782525,0.18263829171782525,1.8629032258064515,MALE,1833
flora,74,12,5,7,17,0.16981481481481484,0.16666666666666669,0.10572576798156896,0.10572576798156896,1.6081081081081081,FEMALE,1833
fleder,45,10,5,5,14,0.21981481481481485,0.4,0.10713482956227785,0.10713482956227785,1.5555555555555556,MALE,1833
schlender,84,11,6,5,24,0.10999999999999999,0.1,0.13831793763836117,0.13831793763836117,1.4285714285714284,MALE,1833
leonard,65,9,5,4,18,0.017777777777777778,0.03518518518518519,0.10130135847873391,0.10130135847873391,1.1076923076923078,MALE,1833
friedmann,25,7,4,3,5,0.015,0.09259259259259259,0.05545448615743496,0.05545448615743496,0.6000000000000001,MALE,1833
bote,11,2,1,1,2,0.0,0.0,0.05266403681112799,0.05266403681112799,0.18181818181818182,MALE,1833
marie,20,3,2,1,3,0.0,0.0,0.0306493333647897,0.0306493333647897,0.15,FEMALE,1833
knoll,40,3,2,1,4,0.0,0.005555555555555556,0.08439379297668642,0.08439379297668642,0.1,MALE,1833
