,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
anna,184,18.0,9.0,9.0,57.0,0.20330882352941174,0.10539215686274508,0.1684108886664321,0.1684108886664321,2.7880434782608696,FEMALE,1920
kurakin,76,15.0,7.0,8.0,19.0,0.3162990196078431,0.5367647058823529,0.08383261829019154,0.08383261829019154,2.0,MALE,1920
eichler,43,10.0,4.0,6.0,13.0,0.09037990196078431,0.10539215686274508,0.07125520242633337,0.07125520242633337,1.813953488372093,MALE,1920
trubetzkoj,19,7.0,2.0,5.0,6.0,0.05912990196078431,0.16544117647058823,0.019849587891971124,0.019849587891971124,1.5789473684210527,MALE,1920
wolinski,132,13.0,8.0,5.0,34.0,0.19136029411764702,0.11642156862745097,0.18445579328031872,0.18445579328031872,1.2878787878787878,MALE,1920
anatol,77,9.0,4.0,5.0,19.0,0.08290441176470587,0.06433823529411764,0.10411600867231632,0.10411600867231632,1.2337662337662338,MALE,1920
biron,39,5.0,2.0,3.0,16.0,0.0,0.04044117647058824,0.027747689191581024,0.027747689191581024,1.2307692307692308,MALE,1920
la_costa,12,4.0,1.0,3.0,3.0,0.09926470588235294,0.13051470588235295,0.01894098379396099,0.01894098379396099,0.75,MALE,1920
ostermann,55,7.0,4.0,3.0,12.0,0.015625,0.003676470588235294,0.0582293416243197,0.0582293416243197,0.6545454545454545,MALE,1920
puschkin,16,3.0,1.0,2.0,5.0,0.0,0.04656862745098039,0.016051700353820617,0.016051700353820617,0.625,MALE,1920
jeropkin,36,5.0,3.0,2.0,11.0,0.006372549019607843,0.05024509803921568,0.07346432538721413,0.07346432538721413,0.6111111111111112,MALE,1920
maria,23,4.0,2.0,2.0,5.0,0.0,0.001838235294117647,0.049065966792386506,0.049065966792386506,0.43478260869565216,FEMALE,1920
chruschtschow,5,1.0,0.0,1.0,1.0,0.0,0.0,0.011440295439720378,0.011440295439720378,0.2,MALE,1920
die_narren,5,2.0,1.0,1.0,1.0,0.01764705882352941,0.03860294117647059,0.01680695648583389,0.01680695648583389,0.2,,1920
einige_alle_viele_stimmen_andere_der_hof,19,6.0,5.0,1.0,1.0,0.039031862745098046,0.20036764705882354,0.030538306879056676,0.030538306879056676,0.05263157894736842,,1920
loewenwolde,4,1.0,1.0,0.0,0.0,0.0,0.0,0.014252341523336223,0.014252341523336223,0.0,MALE,1920
stallmeister,9,1.0,1.0,0.0,0.0,0.0,0.0,0.034735036815372586,0.034735036815372586,0.0,MALE,1920
pedrillo,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01680695648583389,0.01680695648583389,0.0,MALE,1920
zwei_zeremonienmeister,1,,,,,,,,,,,1920
ein_lakai,1,,,,,,,,,,MALE,1920
balakyrew,1,,,,,,,,,,MALE,1920
apraxin,1,,,,,,,,,,MALE,1920
