,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
faust,118,16.0,8.0,8.0,45.0,0.2573529411764705,0.2959558823529412,0.2106989315271134,0.2106989315271134,3.0508474576271185,MALE,1923
hanswurst,77,15.0,7.0,8.0,29.0,0.26593137254901966,0.29044117647058826,0.15495955249143095,0.15495955249143095,3.012987012987013,MALE,1923
koenig,26,6.0,2.0,4.0,13.0,0.05024509803921568,0.0625,0.048452651604872596,0.048452651604872596,2.0,MALE,1923
pluto,16,4.0,1.0,3.0,9.0,0.0,0.0,0.016819515135803747,0.016819515135803747,1.6875,MALE,1923
krumschal,18,5.0,2.0,3.0,5.0,0.04044117647058824,0.04044117647058824,0.05044170939742214,0.05044170939742214,0.8333333333333334,MALE,1923
wagner,38,4.0,2.0,2.0,13.0,0.0,0.0,0.07488259266644282,0.07488259266644282,0.6842105263157895,MALE,1923
orestes,13,3.0,1.0,2.0,4.0,0.0,0.0,0.024735321951120055,0.024735321951120055,0.6153846153846154,MALE,1923
pfarrer,4,2.0,1.0,1.0,2.0,0.0,0.0,0.01977285628854683,0.01977285628854683,0.5,MALE,1923
mephistopheles,68,7.0,4.0,3.0,9.0,0.06372549019607843,0.09191176470588235,0.14725937425975177,0.14725937425975177,0.3970588235294118,MALE,1923
koenigin,15,5.0,3.0,2.0,2.0,0.0024509803921568627,0.07720588235294118,0.06350819721730262,0.06350819721730262,0.26666666666666666,FEMALE,1923
bulla,5,2.0,1.0,1.0,1.0,0.0,0.0,0.02717042979734463,0.02717042979734463,0.2,FEMALE,1923
vater,10,1.0,0.0,1.0,2.0,0.0,0.0,0.015231008505662698,0.015231008505662698,0.2,MALE,1923
mutter,1,1.0,1.0,0.0,0.0,0.0,0.0,0.019210815602890008,0.019210815602890008,0.0,FEMALE,1923
eine_stimme,4,1.0,1.0,0.0,0.0,0.0,0.0,0.019210815602890008,0.019210815602890008,0.0,UNKNOWN,1923
charon,9,1.0,1.0,0.0,0.0,0.0,0.0,0.021585035026226895,0.021585035026226895,0.0,MALE,1923
krustl,1,1.0,1.0,0.0,0.0,0.0,0.0,0.023806241433664308,0.023806241433664308,0.0,MALE,1923
der_erste_scherge,5,1.0,1.0,0.0,0.0,0.0,0.0,0.024314704071430968,0.024314704071430968,0.0,MALE,1923
viele_teufel_1-14,9,1.0,1.0,0.0,0.0,0.0,0.0,0.03794024742008338,0.03794024742008338,0.0,,1923
ein_teufel,1,,,,,,,,,,MALE,1923
der_zweite_scherge,2,,,,,,,,,,MALE,1923
die_studenten,2,,,,,,,,,,,1923
viele_stimmen,1,,,,,,,,,,,1923
