,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
femina_frau_kuenkeluen,607,27.0,11.0,16.0,141.0,0.2647198480531814,0.2867996201329535,0.21819669717990753,0.21819669717990753,3.7166392092257,FEMALE,1912
marie,190,10.0,4.0,6.0,39.0,0.12037037037037038,0.1047008547008547,0.08449032705258262,0.08449032705258262,1.231578947368421,FEMALE,1912
buergermeister,254,13.0,7.0,6.0,51.0,0.04819563152896487,0.032051282051282055,0.0775876719098978,0.0775876719098978,1.204724409448819,MALE,1912
ein_rat,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00796351214222345,0.00796351214222345,1.0,MALE,1912
die_angeflogenen,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00796351214222345,0.00796351214222345,1.0,,1912
roland,324,11.0,6.0,5.0,60.0,0.022792022792022793,0.05555555555555556,0.12945155177356663,0.12945155177356663,0.9259259259259258,MALE,1912
rat_klemens,103,11.0,6.0,5.0,18.0,0.04914529914529915,0.04985754985754986,0.04156876848595909,0.04156876848595909,0.8737864077669903,MALE,1912
frau_klemens,5,3.0,1.0,2.0,2.0,0.0,0.025166191832858502,0.009926505896326522,0.009926505896326522,0.8,FEMALE,1912
die_ratsherren_die_raete,51,8.0,4.0,4.0,9.0,0.0,0.13793922127255462,0.01827067855791352,0.01827067855791352,0.7058823529411765,,1912
neues_weib_im_hosenrock,15,3.0,1.0,2.0,3.0,0.0,0.013532763532763533,0.011646491948970756,0.011646491948970756,0.4,FEMALE,1912
erstes_weib_5a,7,3.0,2.0,1.0,2.0,0.06837606837606838,0.06837606837606838,0.056925572713193436,0.056925572713193436,0.2857142857142857,FEMALE,1912
erstes_weib_5b,4,1.0,0.0,1.0,1.0,0.0,0.0,0.00796351214222345,0.00796351214222345,0.25,FEMALE,1912
der_haufen_die_weiber_alle_weiber,33,5.0,3.0,2.0,4.0,0.030389363722697058,0.10897435897435898,0.025518566206690876,0.025518566206690876,0.24242424242424243,,1912
franzose,9,2.0,1.0,1.0,2.0,0.0,0.0,0.010594303181512143,0.010594303181512143,0.2222222222222222,MALE,1912
die_franzosen,5,1.0,0.0,1.0,1.0,0.0,0.0,0.00796351214222345,0.00796351214222345,0.2,,1912
hellebardier,10,2.0,1.0,1.0,2.0,0.0,0.010446343779677113,0.009278907661867796,0.009278907661867796,0.2,MALE,1912
anderes_weib_5a,6,2.0,1.0,1.0,1.0,0.04700854700854701,0.04700854700854701,0.05634872810940951,0.05634872810940951,0.16666666666666666,FEMALE,1912
drittes_weib_5a,6,2.0,1.0,1.0,1.0,0.025641025641025644,0.025641025641025644,0.05585536152490461,0.05585536152490461,0.16666666666666666,FEMALE,1912
viertes_weib_5a,6,2.0,1.0,1.0,1.0,0.004273504273504274,0.004273504273504274,0.05544089506727178,0.05544089506727178,0.16666666666666666,FEMALE,1912
erste,23,2.0,1.0,1.0,3.0,0.0,0.0,0.010594303181512143,0.010594303181512143,0.13043478260869565,FEMALE,1912
melak,17,2.0,1.0,1.0,1.0,0.0,0.0,0.010594303181512143,0.010594303181512143,0.058823529411764705,MALE,1912
anderes_weib_5b,4,1.0,1.0,0.0,0.0,0.0,0.0,0.014732514417992532,0.014732514417992532,0.0,FEMALE,1912
stimme_3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014732514417992532,0.014732514417992532,0.0,MALE,1912
zweite,16,1.0,1.0,0.0,0.0,0.0,0.0,0.010594303181512143,0.010594303181512143,0.0,FEMALE,1912
ein_weib_3c,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009278907661867796,0.009278907661867796,0.0,FEMALE,1912
ein_weib_3b,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009278907661867796,0.009278907661867796,0.0,FEMALE,1912
weib_3a,13,2.0,2.0,0.0,0.0,0.0,0.0,0.016644867275362407,0.016644867275362407,0.0,FEMALE,1912
alle_maenner,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010594303181512143,0.010594303181512143,0.0,,1912
geschrei,1,,,,,,,,,,,1912
ein_weib_3d,1,,,,,,,,,,FEMALE,1912
drittes_weib_5b,4,,,,,,,,,,FEMALE,1912
viertes_weib_5b,4,,,,,,,,,,FEMALE,1912
weib,1,,,,,,,,,,FEMALE,1912
ein_weib,1,,,,,,,,,,FEMALE,1912
