,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
frau_weber_mutter,297,20.0,9.0,11.0,78.0,0.2307142857142857,0.2334920634920635,0.14420133874961102,0.14420133874961102,2.8888888888888893,FEMALE,1912
karl,425,22.0,11.0,11.0,96.0,0.16920634920634922,0.02142857142857143,0.23032925392984438,0.23032925392984438,2.4847058823529413,MALE,1912
brigitte,60,9.0,4.0,5.0,21.0,0.013492063492063494,0.1757142857142857,0.04882854074860843,0.04882854074860843,1.75,FEMALE,1912
oberst,113,10.0,4.0,6.0,32.0,0.005317460317460318,0.17333333333333334,0.05213176789085444,0.05213176789085444,1.6991150442477876,MALE,1912
johanna,190,12.0,6.0,6.0,45.0,0.23492063492063492,0.27380952380952384,0.1039387199374813,0.1039387199374813,1.4210526315789473,FEMALE,1912
hecht,131,12.0,5.0,7.0,23.0,0.06746031746031747,0.28682539682539687,0.07019874103507978,0.07019874103507978,1.2290076335877862,MALE,1912
selma,88,8.0,4.0,4.0,16.0,0.00992063492063492,0.02142857142857143,0.05468093786799415,0.05468093786799415,0.7272727272727273,FEMALE,1912
frau_hecht,32,4.0,2.0,2.0,11.0,0.12380952380952381,0.12380952380952381,0.027670169275135693,0.027670169275135693,0.6875,FEMALE,1912
luestling,123,14.0,8.0,6.0,13.0,0.09063492063492065,0.21063492063492065,0.05349954681235515,0.05349954681235515,0.6341463414634146,MALE,1912
mariechen_marie,93,9.0,6.0,3.0,17.0,0.0031746031746031746,0.0,0.07085201908677413,0.07085201908677413,0.5483870967741935,FEMALE,1912
lothar_weber_vater,116,11.0,5.0,6.0,8.0,0.013253968253968254,0.03984126984126984,0.07071479276353013,0.07071479276353013,0.41379310344827586,MALE,1912
beamter,6,2.0,1.0,1.0,2.0,0.0,0.0,0.01292902389642445,0.01292902389642445,0.3333333333333333,MALE,1912
weib,16,5.0,3.0,2.0,2.0,0.0,0.04396825396825397,0.019988858005647075,0.019988858005647075,0.25,FEMALE,1912
alle_gaeste_die_gesellschaft_rufe,9,2.0,1.0,1.0,1.0,0.0,0.022222222222222223,0.013385156949541241,0.013385156949541241,0.1111111111111111,,1912
brautvater,2,1.0,1.0,0.0,0.0,0.0,0.0,0.014288877187256428,0.014288877187256428,0.0,MALE,1912
bleich,10,1.0,1.0,0.0,0.0,0.0,0.0,0.012362255863862122,0.012362255863862122,0.0,MALE,1912
ruf,1,,,,,,,,,,UNKNOWN,1912
brautmutter,1,,,,,,,,,,FEMALE,1912
poebel,1,,,,,,,,,,,1912
stimme,1,,,,,,,,,,MALE,1912
