,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
aslauga,109,15.0,7.0,8.0,33.0,0.06549873737373738,0.045454545454545456,0.12699607717296357,0.12699607717296357,2.4220183486238533,FEMALE,1810
ragnar,92,11.0,3.0,8.0,23.0,0.05997474747474747,0.07054924242424243,0.09521545894409358,0.09521545894409358,2.0,MALE,1810
knud,25,8.0,4.0,4.0,9.0,0.015782828282828284,0.02840909090909091,0.031011451139990064,0.031011451139990064,1.44,MALE,1810
grima,43,10.0,5.0,5.0,12.0,0.02683080808080808,0.02556818181818182,0.06718907785545099,0.06718907785545099,1.3953488372093024,FEMALE,1810
harald,27,8.0,4.0,4.0,8.0,0.0028409090909090906,0.03188131313131313,0.029877070463882254,0.029877070463882254,1.1851851851851851,MALE,1810
einer_aus_dem_volke_2a,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008856257051602697,0.008856257051602697,1.0,MALE,1810
ein_kriegsmann_1b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008856257051602697,0.008856257051602697,1.0,MALE,1810
ein_andrer_kriegsmann_2b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008856257051602697,0.008856257051602697,1.0,MALE,1810
ein_kriegsmann_2c,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008856257051602697,0.008856257051602697,1.0,MALE,1810
einer_aus_dem_volke_2b,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008856257051602697,0.008856257051602697,1.0,MALE,1810
ake,18,4.0,2.0,2.0,7.0,0.0,0.0,0.034436041143363405,0.034436041143363405,0.7777777777777778,MALE,1810
ein_schiffsbaecker_1a,3,1.0,0.0,1.0,2.0,0.0,0.0,0.008856257051602697,0.008856257051602697,0.6666666666666666,MALE,1810
erstes_halbchor,6,1.0,0.0,1.0,3.0,0.0,0.0,0.008856257051602697,0.008856257051602697,0.5,,1810
erster_vogel,4,3.0,2.0,1.0,2.0,0.001893939393939394,0.001893939393939394,0.09828052166400231,0.09828052166400231,0.5,UNKNOWN,1810
alter_fischer,8,3.0,1.0,2.0,2.0,0.001893939393939394,0.001893939393939394,0.02565069977047902,0.02565069977047902,0.5,MALE,1810
volk,2,1.0,0.0,1.0,1.0,0.0,0.0,0.008856257051602697,0.008856257051602697,0.5,,1810
kriegsleute,4,1.0,0.0,1.0,2.0,0.0,0.0,0.008856257051602697,0.008856257051602697,0.5,,1810
zweite_jungfrau_3b,3,1.0,0.0,1.0,1.0,0.0,0.0,0.008856257051602697,0.008856257051602697,0.3333333333333333,FEMALE,1810
einer_aus_dem_volk_2c,3,2.0,1.0,1.0,1.0,0.0,0.0,0.02908586134545535,0.02908586134545535,0.3333333333333333,MALE,1810
rolf,29,10.0,7.0,3.0,3.0,0.054450757575757576,0.08443813131313131,0.07139705638691622,0.07139705638691622,0.3103448275862069,MALE,1810
zweiter_vogel,4,2.0,1.0,1.0,1.0,0.0,0.0,0.0923877580972623,0.0923877580972623,0.25,UNKNOWN,1810
junger_fischer,8,2.0,1.0,1.0,2.0,0.0,0.0,0.01975793620373899,0.01975793620373899,0.25,MALE,1810
eystein,12,2.0,1.0,1.0,1.0,0.0,0.0,0.012375190954424502,0.012375190954424502,0.08333333333333333,MALE,1810
ein_schiffsbaecker_1d,2,1.0,1.0,0.0,0.0,0.0,0.0,0.016384138330037445,0.016384138330037445,0.0,MALE,1810
ein_kriegsmann_1a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012375190954424502,0.012375190954424502,0.0,MALE,1810
dritte_jungfrau_3b,4,1.0,1.0,0.0,0.0,0.0,0.0,0.016384138330037445,0.016384138330037445,0.0,FEMALE,1810
waechter,3,2.0,2.0,0.0,0.0,0.0,0.0,0.023912019608472192,0.023912019608472192,0.0,MALE,1810
skalde,5,1.0,1.0,0.0,0.0,0.0,0.0,0.01361559957793345,0.01361559957793345,0.0,MALE,1810
dritte_jungfrau_3a,6,1.0,1.0,0.0,0.0,0.0,0.0,0.01866987803125923,0.01866987803125923,0.0,FEMALE,1810
zweite_jungfrau_3a,3,1.0,1.0,0.0,0.0,0.0,0.0,0.015398671038040386,0.015398671038040386,0.0,FEMALE,1810
ein_kriegsmann_1f,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012375190954424502,0.012375190954424502,0.0,MALE,1810
ein_anderer_aus_dem_volke_2a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.016384138330037445,0.016384138330037445,0.0,MALE,1810
ein_schiffsbaecker_1e,5,1.0,1.0,0.0,0.0,0.0,0.0,0.015894124857246308,0.015894124857246308,0.0,MALE,1810
zweites_halbchor,5,1.0,1.0,0.0,0.0,0.0,0.0,0.016384138330037445,0.016384138330037445,0.0,,1810
ein_andrer_kriegsmann_1a,1,,,,,,,,,,MALE,1810
ein_schiffsbaecker_1b,3,,,,,,,,,,MALE,1810
die_schiffsbaecker,2,,,,,,,,,,,1810
ein_schiffsbaecker_1c,2,,,,,,,,,,MALE,1810
ein_andrer_schiffsbaecker_1a,1,,,,,,,,,,MALE,1810
ein_dritter_schiffsbaecker,1,,,,,,,,,,MALE,1810
