,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
sigurd,235,20.0,9.0,53.0,11.0,55.0,0.2826754385964912,0.25789473684210523,0.24752634365242493,0.24752634365242493,2.574468085106383,MALE,1808
grimhildis,91,13.0,5.0,22.0,8.0,24.0,0.13771929824561402,0.18157894736842106,0.08452895152587836,0.08452895152587836,2.10989010989011,FEMALE,1808
gudruna,74,11.0,5.0,14.0,6.0,23.0,0.0844298245614035,0.09736842105263158,0.0633833489645804,0.0633833489645804,1.864864864864865,FEMALE,1808
guttorm,24,5.0,1.0,1.0,4.0,11.0,0.0,0.11578947368421053,0.01713044538391033,0.01713044538391033,1.8333333333333333,MALE,1808
brynhildis,104,13.0,6.0,27.0,7.0,21.0,0.059429824561403506,0.16842105263157894,0.101269676486896,0.101269676486896,1.4134615384615385,FEMALE,1808
gunnar,126,11.0,6.0,29.0,5.0,28.0,0.03969298245614035,0.07105263157894737,0.10726991146864727,0.10726991146864727,1.1111111111111112,MALE,1808
hoegne,82,9.0,5.0,15.0,4.0,16.0,0.006578947368421052,0.2026315789473684,0.0643894785764664,0.0643894785764664,0.7804878048780488,MALE,1808
giuke,30,4.0,2.0,6.0,2.0,9.0,0.02894736842105263,0.02894736842105263,0.032657295003790984,0.032657295003790984,0.6,MALE,1808
werdandi,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01303154433628519,0.01303154433628519,0.3333333333333333,FEMALE,1808
zofe_6,7,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.015373955239588804,0.015373955239588804,0.2857142857142857,FEMALE,1808
greis,6,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.020682565799832256,0.020682565799832256,0.16666666666666666,MALE,1808
alswin,13,2.0,1.0,5.0,1.0,2.0,0.0,0.0,0.032159097995152854,0.032159097995152854,0.15384615384615385,MALE,1808
reigen,34,2.0,1.0,11.0,1.0,3.0,0.0,0.0,0.05511216238579405,0.05511216238579405,0.08823529411764706,MALE,1808
bote,6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.019200144422353568,0.019200144422353568,0.0,MALE,1808
ein_diener_3,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01685705506805872,0.01685705506805872,0.0,MALE,1808
zofe_3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016025226637274875,0.016025226637274875,0.0,FEMALE,1808
zofe_2,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016025226637274875,0.016025226637274875,0.0,FEMALE,1808
ein_diener_4,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016025226637274875,0.016025226637274875,0.0,MALE,1808
wurdur,6,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.028207260612828987,0.028207260612828987,0.0,FEMALE,1808
eine_schwalbe,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01685705506805872,0.01685705506805872,0.0,UNKNOWN,1808
stimmen_von_aussen,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016288028097627354,0.016288028097627354,0.0,,1808
