,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
gudruna,163,21.0,8.0,13.0,55.0,0.24247311827956988,0.2560483870967742,0.14809303756742898,0.14809303756742898,4.386503067484663,FEMALE,1810
atle,116,14.0,6.0,8.0,37.0,0.09892473118279571,0.09979838709677419,0.07114818097024792,0.07114818097024792,2.5517241379310347,MALE,1810
gunnar,99,14.0,7.0,7.0,18.0,0.12829301075268815,0.23084677419354838,0.07141006234748433,0.07141006234748433,1.2727272727272727,MALE,1810
hoegne,77,10.0,5.0,5.0,17.0,0.06051747311827957,0.06048387096774194,0.07560413806954033,0.07560413806954033,1.103896103896104,MALE,1810
die_krieger,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007222938282674235,0.007222938282674235,1.0,,1810
ein_krieger_4c,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007222938282674235,0.007222938282674235,1.0,MALE,1810
ein_krieger_4e,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007222938282674235,0.007222938282674235,1.0,MALE,1810
ein_krieger_4a,2,1.0,0.0,1.0,2.0,0.0,0.0,0.007222938282674235,0.007222938282674235,1.0,MALE,1810
niflung,65,7.0,4.0,3.0,20.0,0.049126344086021505,0.04133064516129032,0.08713697677125647,0.08713697677125647,0.9230769230769231,MALE,1810
ortlieb,31,5.0,2.0,3.0,9.0,0.04133064516129032,0.04133064516129032,0.03780149181193281,0.03780149181193281,0.870967741935484,MALE,1810
reidbold,37,11.0,6.0,5.0,6.0,0.12096774193548387,0.13608870967741934,0.04969484005445382,0.04969484005445382,0.8108108108108109,MALE,1810
einige_das_volk,2,1.0,0.0,1.0,1.0,0.0,0.0,0.007222938282674235,0.007222938282674235,0.5,,1810
zweiter_krieger_4a,2,1.0,0.0,1.0,1.0,0.0,0.0,0.007222938282674235,0.007222938282674235,0.5,MALE,1810
wingo,29,8.0,5.0,3.0,4.0,0.04196908602150539,0.17338709677419353,0.04275895236356628,0.04275895236356628,0.41379310344827586,MALE,1810
kostbera,30,6.0,3.0,3.0,4.0,0.02083333333333333,0.0877016129032258,0.02826497265825958,0.02826497265825958,0.4,FEMALE,1810
goldschmidt,8,2.0,1.0,1.0,3.0,0.0,0.0,0.016377980624729116,0.016377980624729116,0.375,MALE,1810
glamwor,23,3.0,1.0,2.0,4.0,0.0,0.0,0.019235744449444234,0.019235744449444234,0.34782608695652173,FEMALE,1810
dietereich,18,3.0,2.0,1.0,6.0,0.021169354838709676,0.021169354838709676,0.05635872210294292,0.05635872210294292,0.3333333333333333,MALE,1810
herke,20,3.0,2.0,1.0,6.0,0.0,0.0,0.014415248692199078,0.014415248692199078,0.3,FEMALE,1810
erster_diener,5,1.0,0.0,1.0,1.0,0.0,0.0,0.007222938282674235,0.007222938282674235,0.2,MALE,1810
eine_zofe_5,6,2.0,1.0,1.0,1.0,0.0,0.0,0.02203657106263549,0.02203657106263549,0.16666666666666666,FEMALE,1810
jungfrau,6,2.0,1.0,1.0,1.0,0.0,0.0,0.011800459453701673,0.011800459453701673,0.16666666666666666,FEMALE,1810
bloedel,14,3.0,2.0,1.0,1.0,0.0,0.0,0.015723736647219103,0.015723736647219103,0.07142857142857142,MALE,1810
knecht,17,2.0,1.0,1.0,1.0,0.0,0.0,0.05511879165522837,0.05511879165522837,0.058823529411764705,MALE,1810
asmund,23,3.0,2.0,1.0,1.0,0.0,0.038306451612903226,0.022511084524335707,0.022511084524335707,0.043478260869565216,MALE,1810
ein_krieger_3d,2,1.0,1.0,0.0,0.0,0.0,0.0,0.014783516027254147,0.014783516027254147,0.0,MALE,1810
ein_krieger_3a,5,1.0,1.0,0.0,0.0,0.0,0.0,0.008857454890677942,0.008857454890677942,0.0,MALE,1810
hofmeister,8,1.0,1.0,0.0,0.0,0.0,0.0,0.010793146639552244,0.010793146639552244,0.0,MALE,1810
ein_krieger_4d,4,1.0,1.0,0.0,0.0,0.0,0.0,0.013362459919403533,0.013362459919403533,0.0,MALE,1810
zweiter_diener,5,1.0,1.0,0.0,0.0,0.0,0.0,0.013362459919403533,0.013362459919403533,0.0,MALE,1810
ein_krieger_4g,3,1.0,1.0,0.0,0.0,0.0,0.0,0.014263134266127617,0.014263134266127617,0.0,MALE,1810
ein_krieger_4h,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014263134266127617,0.014263134266127617,0.0,MALE,1810
ein_andrer_krieger_4,3,1.0,1.0,0.0,0.0,0.0,0.0,0.014263134266127617,0.014263134266127617,0.0,MALE,1810
priester,2,,,,,,,,,,MALE,1810
eine_zofe_1,1,,,,,,,,,,FEMALE,1810
reigen,1,,,,,,,,,,MALE,1810
ein_krieger_3b,1,,,,,,,,,,MALE,1810
ein_krieger_3c,1,,,,,,,,,,MALE,1810
ein_andrer_krieger_3,1,,,,,,,,,,MALE,1810
ein_dritter_krieger_3,1,,,,,,,,,,MALE,1810
ein_krieger_4b,2,,,,,,,,,,MALE,1810
dritter_krieger_4,2,,,,,,,,,,MALE,1810
ein_krieger_4f,1,,,,,,,,,,MALE,1810
zweiter_krieger_4b,1,,,,,,,,,,MALE,1810
ein_krieger_4i,1,,,,,,,,,,MALE,1810
ein_krieger_4j,1,,,,,,,,,,MALE,1810
schwimmer,1,,,,,,,,,,,1810
ein_schwimmer,1,,,,,,,,,,MALE,1810
