,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
waldemar,243,19.0,10.0,39.0,9.0,67.0,0.4611111111111111,0.36666666666666664,0.19642821629926624,0.19642821629926624,2.481481481481482,MALE,1848
gertrud,191,14.0,7.0,45.0,7.0,32.0,0.25486111111111115,0.2833333333333333,0.24227541281787499,0.24227541281787499,1.1727748691099478,FEMALE,1848
randor,20,4.0,1.0,3.0,3.0,7.0,0.0,0.07916666666666666,0.019022031109432454,0.019022031109432454,1.0499999999999998,MALE,1848
bezirksvorsteher,12,5.0,2.0,3.0,3.0,4.0,0.0,0.13541666666666666,0.02907851146676038,0.02907851146676038,1.0,MALE,1848
hiller,43,6.0,3.0,13.0,3.0,13.0,0.013888888888888888,0.0125,0.07129071452688822,0.07129071452688822,0.9069767441860465,MALE,1848
georgine,98,7.0,3.0,18.0,4.0,20.0,0.04791666666666666,0.14375,0.07606521238891101,0.07606521238891101,0.8163265306122449,FEMALE,1848
gregor,4,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.011546073167344205,0.011546073167344205,0.75,MALE,1848
udaschkin,35,8.0,5.0,8.0,3.0,7.0,0.16458333333333333,0.26458333333333334,0.052548401029028094,0.052548401029028094,0.6000000000000001,MALE,1848
box,47,7.0,4.0,19.0,3.0,7.0,0.06597222222222221,0.1645833333333333,0.0724011627714557,0.0724011627714557,0.44680851063829785,MALE,1848
hugo,29,4.0,2.0,8.0,2.0,6.0,0.004166666666666667,0.05,0.0311176407543705,0.0311176407543705,0.41379310344827586,MALE,1848
rosa,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.017981677496944917,0.017981677496944917,0.3333333333333333,FEMALE,1848
waechter,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011546073167344205,0.011546073167344205,0.3333333333333333,MALE,1848
hans,14,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.014038059148040287,0.014038059148040287,0.21428571428571427,MALE,1848
frau_box,20,2.0,1.0,10.0,1.0,3.0,0.0,0.0,0.07590211646335135,0.07590211646335135,0.15,FEMALE,1848
kammerfrau,10,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.024307881475573938,0.024307881475573938,0.1,FEMALE,1848
gordon,4,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.037920770788676984,0.037920770788676984,0.0,MALE,1848
henry,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.016530045128736372,0.016530045128736372,0.0,MALE,1848
