,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baumiller,78,11.0,4.0,13.0,7.0,22.0,0.013702147525676939,0.034150326797385624,0.056014250149926934,0.056014250149926934,1.9743589743589745,MALE,1880
traudl,54,10.0,3.0,6.0,7.0,15.0,0.02170868347338936,0.004901960784313725,0.04545080376167611,0.04545080376167611,1.9444444444444446,FEMALE,1880
wirt,94,15.0,7.0,15.0,8.0,19.0,0.1649937752878929,0.1934640522875817,0.06983244074228752,0.06983244074228752,1.6170212765957446,MALE,1880
loni,182,14.0,7.0,34.0,7.0,40.0,0.046195144724556485,0.0032679738562091504,0.17434083805989795,0.17434083805989795,1.5384615384615383,FEMALE,1880
loisl,88,20.0,12.0,24.0,8.0,12.0,0.3038748832866479,0.34836601307189546,0.10044701458238249,0.10044701458238249,1.0909090909090908,MALE,1880
resl,21,7.0,3.0,5.0,4.0,5.0,0.00985838779956427,0.01633986928104575,0.030536949178085176,0.030536949178085176,0.9523809523809523,FEMALE,1880
pauli,94,12.0,7.0,25.0,5.0,16.0,0.03632897603485839,0.06209150326797386,0.11155524324233082,0.11155524324233082,0.851063829787234,MALE,1880
muckl,79,10.0,5.0,11.0,5.0,11.0,0.09520697167755991,0.1724400871459695,0.062007209439243455,0.062007209439243455,0.6962025316455696,MALE,1880
nandl,26,4.0,1.0,1.0,3.0,5.0,0.04901960784313725,0.04901960784313725,0.014605263157894737,0.014605263157894737,0.576923076923077,FEMALE,1880
lehnl,119,11.0,7.0,28.0,4.0,16.0,0.028197945845004672,0.062091503267973844,0.10798425170610196,0.10798425170610196,0.5378151260504201,MALE,1880
modei,12,5.0,3.0,3.0,2.0,3.0,0.009803921568627449,0.027886710239651415,0.022776527742431316,0.022776527742431316,0.5,FEMALE,1880
regerl,5,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.007894736842105263,0.007894736842105263,0.4,FEMALE,1880
roethelbachbauer,30,5.0,3.0,6.0,2.0,5.0,0.0024509803921568627,0.0,0.029467961653627348,0.029467961653627348,0.3333333333333333,MALE,1880
schneider,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007894736842105263,0.007894736842105263,0.3333333333333333,MALE,1880
huberbauer,20,4.0,2.0,2.0,2.0,3.0,0.10054466230936819,0.09803921568627451,0.028610556809104553,0.028610556809104553,0.3,MALE,1880
hochzeitlader,27,7.0,5.0,5.0,2.0,3.0,0.10504201680672268,0.15517429193899782,0.06305973379075028,0.06305973379075028,0.2222222222222222,MALE,1880
bursche,6,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.04362564077652249,0.04362564077652249,0.16666666666666666,,1880
lehrer,8,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.016001104681421012,0.016001104681421012,0.125,MALE,1880
toni,9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007894736842105263,0.007894736842105263,0.1111111111111111,MALE,1880
