,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
dandau,34,7.0,3.0,3.0,4.0,4.0,0.18333333333333335,0.18333333333333335,0.1478285988655539,0.1478285988655539,0.47058823529411764,MALE,1828
chor_der_bajaderen,9,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.020600560275457896,0.020600560275457896,0.3333333333333333,,1828
tristan,30,4.0,2.0,2.0,2.0,5.0,0.03888888888888889,0.0,0.11316752321052623,0.11316752321052623,0.3333333333333333,MALE,1828
chor_der_indianer,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.020600560275457896,0.020600560275457896,0.3333333333333333,,1828
nadori,36,5.0,2.0,6.0,3.0,3.0,0.03888888888888889,0.0,0.17140003431244444,0.17140003431244444,0.25,MALE,1828
jessonda,39,8.0,5.0,5.0,3.0,3.0,0.18888888888888888,0.2555555555555556,0.21583472121789934,0.21583472121789934,0.23076923076923078,FEMALE,1828
amazili,29,4.0,2.0,2.0,2.0,3.0,0.016666666666666666,0.061111111111111116,0.13031803812386533,0.13031803812386533,0.20689655172413793,FEMALE,1828
chor_der_portugiesen,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.020600560275457896,0.020600560275457896,0.2,,1828
chor_der_braminen,22,3.0,2.0,4.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.06952442158393955,0.06952442158393955,0.045454545454545456,,1828
ein_indischer_offizier,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05201386084225097,0.05201386084225097,0.0,MALE,1828
lopes,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.038111121017146476,0.038111121017146476,0.0,MALE,1828
