,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hausvater,243,22.0,10.0,12.0,82.0,0.274859943977591,0.2463235294117647,0.21236029222610575,0.21236029222610575,4.049382716049383,MALE,1779
karl,155,17.0,8.0,9.0,44.0,0.12921043417366948,0.2389705882352941,0.13222759212857504,0.13222759212857504,2.554838709677419,MALE,1779
amaldi,53,10.0,4.0,6.0,22.0,0.05742296918767506,0.05514705882352941,0.04864220213387585,0.04864220213387585,2.4905660377358494,FEMALE,1779
sophie,118,16.0,8.0,8.0,34.0,0.03891806722689076,0.14154411764705882,0.10389554583984859,0.10389554583984859,2.305084745762712,FEMALE,1779
lottchen,64,11.0,5.0,6.0,17.0,0.06395308123249299,0.07536764705882353,0.07327432482918642,0.07327432482918642,1.59375,FEMALE,1779
anne,18,4.0,1.0,3.0,7.0,0.0,0.0,0.02849959891817572,0.02849959891817572,1.1666666666666667,FEMALE,1779
monheim,64,8.0,3.0,5.0,14.0,0.01090686274509804,0.0,0.044240997366036414,0.044240997366036414,1.09375,MALE,1779
ferdinand,35,10.0,5.0,5.0,7.0,0.08382352941176471,0.3915441176470588,0.0420041654157733,0.0420041654157733,1.0,MALE,1779
dromer,74,8.0,4.0,4.0,12.0,0.004595588235294118,0.003676470588235294,0.06800107644247608,0.06800107644247608,0.6486486486486487,MALE,1779
maler,73,7.0,4.0,3.0,14.0,0.00542717086834734,0.001838235294117647,0.05812216700691371,0.05812216700691371,0.5753424657534246,MALE,1779
fritz,14,5.0,4.0,1.0,2.0,0.0,0.0,0.036167132152344586,0.036167132152344586,0.14285714285714285,MALE,1779
der_bauer,19,2.0,1.0,1.0,1.0,0.0,0.0,0.035857071508892835,0.035857071508892835,0.05263157894736842,MALE,1779
kammerjungfer,4,1.0,1.0,0.0,0.0,0.0,0.0,0.015723893699782873,0.015723893699782873,0.0,FEMALE,1779
amtmann,6,1.0,1.0,0.0,0.0,0.0,0.0,0.02044830956168362,0.02044830956168362,0.0,MALE,1779
ein_bedienter_1-1-8,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01639895135314261,0.01639895135314261,0.0,MALE,1779
adjutant,8,1.0,1.0,0.0,0.0,0.0,0.0,0.029145877731017806,0.029145877731017806,0.0,MALE,1779
ein_bedienter_1-1-6,1,1.0,1.0,0.0,0.0,0.0,0.0,0.018944995537973335,0.018944995537973335,0.0,MALE,1779
die_bediente,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01604580614819527,0.01604580614819527,0.0,FEMALE,1779
bedienter_1-1-1,1,,,,,,,,,,MALE,1779
ein_bedienter_1-1-4,1,,,,,,,,,,MALE,1779
ein_bedienter_2-1,1,,,,,,,,,,MALE,1779
ein_bedienter_2-2,1,,,,,,,,,,MALE,1779
