,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wolf,30,11.0,5.0,6.0,10.0,0.1380952380952381,0.2380952380952381,0.0628254870928267,0.0628254870928267,2.0,MALE,1906
koenig,23,6.0,2.0,4.0,11.0,0.0,0.030952380952380953,0.03845018285472503,0.03845018285472503,1.9130434782608696,MALE,1906
teut,116,14.0,8.0,6.0,31.0,0.2142857142857143,0.2,0.36214134819851634,0.36214134819851634,1.603448275862069,MALE,1906
andere,1,1.0,0.0,1.0,1.0,0.0,0.0,0.01325100218597712,0.01325100218597712,1.0,,1906
einzelne_maenner,1,1.0,0.0,1.0,1.0,0.0,0.0,0.01325100218597712,0.01325100218597712,1.0,,1906
ein_junger_krieger,1,1.0,0.0,1.0,1.0,0.0,0.0,0.01325100218597712,0.01325100218597712,1.0,MALE,1906
ein_anderer,1,1.0,0.0,1.0,1.0,0.0,0.0,0.01325100218597712,0.01325100218597712,1.0,MALE,1906
hiram,64,8.0,5.0,3.0,18.0,0.0380952380952381,0.0380952380952381,0.15299725326657498,0.15299725326657498,0.84375,MALE,1906
velleda,4,2.0,1.0,1.0,3.0,0.0,0.0,0.023180505144209725,0.023180505144209725,0.75,FEMALE,1906
theoda,57,5.0,3.0,2.0,18.0,0.0,0.0,0.17482913989333743,0.17482913989333743,0.631578947368421,FEMALE,1906
molochpriester,4,1.0,0.0,1.0,1.0,0.0,0.0,0.01325100218597712,0.01325100218597712,0.25,,1906
alle_3-7,7,1.0,0.0,1.0,1.0,0.0,0.0,0.01325100218597712,0.01325100218597712,0.14285714285714285,,1906
volk,22,2.0,1.0,1.0,3.0,0.0,0.0,0.03311000810244233,0.03311000810244233,0.13636363636363635,,1906
frauen,6,2.0,2.0,0.0,0.0,0.0,0.0,0.03577770845498501,0.03577770845498501,0.0,,1906
krieger,4,1.0,1.0,0.0,0.0,0.0,0.0,0.018591176938259825,0.018591176938259825,0.0,,1906
ein_krieger,2,1.0,1.0,0.0,0.0,0.0,0.0,0.018591176938259825,0.018591176938259825,0.0,MALE,1906
maenner,5,,,,,,,,,,,1906
einzelne,1,,,,,,,,,,,1906
alle_1-4,2,,,,,,,,,,,1906
alles_2-3,1,,,,,,,,,,,1906
alle_3-1,1,,,,,,,,,,,1906
eine_stimme,1,,,,,,,,,,UNKNOWN,1906
