,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
evander,88,15.0,7.0,17.0,8.0,30.0,0.5681818181818182,0.5833333333333334,0.2700137467695134,0.2700137467695134,2.727272727272727,MALE,1762
alcimna,67,7.0,2.0,4.0,5.0,17.0,0.23484848484848486,0.23484848484848486,0.0465967673321113,0.0465967673321113,1.2686567164179106,FEMALE,1762
pyrhus,31,4.0,1.0,4.0,3.0,11.0,0.045454545454545456,0.045454545454545456,0.04537741223048474,0.04537741223048474,1.064516129032258,MALE,1762
lamon,7,3.0,2.0,4.0,1.0,2.0,0.007575757575757576,0.007575757575757576,0.15232121687876318,0.15232121687876318,0.2857142857142857,MALE,1762
zweyte_aufwaerterin,11,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.019435477042136114,0.019435477042136114,0.18181818181818182,FEMALE,1762
arates,18,3.0,2.0,5.0,1.0,3.0,0.0,0.06818181818181818,0.04473989557521258,0.04473989557521258,0.16666666666666666,MALE,1762
gelehrter,7,2.0,1.0,7.0,1.0,1.0,0.0,0.0,0.06832862600197029,0.06832862600197029,0.14285714285714285,MALE,1762
chloe,17,3.0,2.0,6.0,1.0,2.0,0.015151515151515152,0.015151515151515152,0.1535634918658276,0.1535634918658276,0.11764705882352941,FEMALE,1762
officier,11,2.0,1.0,5.0,1.0,1.0,0.0,0.0,0.053027816820979914,0.053027816820979914,0.09090909090909091,MALE,1762
junger_herr,15,2.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0606782214114751,0.0606782214114751,0.06666666666666667,MALE,1762
milon,18,3.0,2.0,7.0,1.0,1.0,0.0,0.0,0.03640524797989548,0.03640524797989548,0.05555555555555555,MALE,1762
der_andre,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.03007660304949438,0.03007660304949438,0.0,MALE,1762
erste_aufwaerterin,10,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.019435477042136114,0.019435477042136114,0.0,FEMALE,1762
