,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
stern,30,6.0,1.0,5.0,18.0,0.007692307692307693,0.007692307692307693,0.018603316815635387,0.018603316815635387,3.0,MALE,1821
gustchen,18,6.0,2.0,4.0,8.0,0.0016025641025641025,0.0008547008547008547,0.032359524399350394,0.032359524399350394,1.7777777777777777,FEMALE,1821
simon,30,7.0,4.0,3.0,14.0,0.010256410256410256,0.010256410256410256,0.04615237536497051,0.04615237536497051,1.4,MALE,1821
gretchen,18,6.0,3.0,3.0,8.0,0.007692307692307693,0.008333333333333333,0.044250953781142376,0.044250953781142376,1.3333333333333333,FEMALE,1821
tobischka,19,8.0,4.0,4.0,6.0,0.007051282051282051,0.006196581196581196,0.049928978970387304,0.049928978970387304,1.263157894736842,MALE,1821
therese,7,4.0,2.0,2.0,4.0,0.0059829059829059825,0.007051282051282051,0.03434880606146024,0.03434880606146024,1.1428571428571428,FEMALE,1821
grundwaechter,7,2.0,0.0,2.0,4.0,0.0,0.0,0.004498202698450231,0.004498202698450231,1.1428571428571428,MALE,1821
kalb,25,6.0,3.0,3.0,9.0,0.007692307692307693,0.007692307692307693,0.038857531970250304,0.038857531970250304,1.08,MALE,1821
erster_bandlkramer,6,3.0,1.0,2.0,3.0,0.003205128205128205,0.003205128205128205,0.00832168132035188,0.00832168132035188,1.0,MALE,1821
altberg,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004498202698450231,0.004498202698450231,1.0,MALE,1821
sabine,16,4.0,2.0,2.0,7.0,0.0035256410256410257,0.003205128205128205,0.03208551658334235,0.03208551658334235,0.875,FEMALE,1821
christoph,11,4.0,1.0,3.0,3.0,0.0013888888888888887,0.000641025641025641,0.02008253563729308,0.02008253563729308,0.8181818181818181,MALE,1821
sperling,5,4.0,2.0,2.0,2.0,0.0003205128205128205,0.0026709401709401706,0.015627297415614055,0.015627297415614055,0.8,FEMALE,1821
jeanette,11,4.0,2.0,2.0,4.0,0.003205128205128205,0.003205128205128205,0.036109019537379966,0.036109019537379966,0.7272727272727273,FEMALE,1821
johann,7,5.0,3.0,2.0,2.0,0.0028846153846153848,0.0038461538461538464,0.03889663185587734,0.03889663185587734,0.5714285714285714,MALE,1821
mehlthau,11,4.0,2.0,2.0,3.0,0.0009615384615384616,0.003205128205128205,0.015009636139658382,0.015009636139658382,0.5454545454545454,MALE,1821
hausknecht,4,2.0,1.0,1.0,2.0,0.0,0.0,0.010103138179220705,0.010103138179220705,0.5,MALE,1821
susanne,12,5.0,3.0,2.0,3.0,0.0020299145299145296,0.0022435897435897434,0.03870995287747853,0.03870995287747853,0.5,FEMALE,1821
korporal,2,1.0,0.0,1.0,1.0,0.0,0.0,0.004498202698450231,0.004498202698450231,0.5,MALE,1821
storch,32,7.0,3.0,4.0,4.0,0.008333333333333333,0.008333333333333333,0.03008785744393543,0.03008785744393543,0.5,MALE,1821
mathias,13,5.0,3.0,2.0,3.0,0.0035256410256410257,0.004807692307692308,0.03745181584256731,0.03745181584256731,0.46153846153846156,MALE,1821
robert,10,5.0,3.0,2.0,2.0,0.006623931623931623,0.006730769230769231,0.04273510933222249,0.04273510933222249,0.4,MALE,1821
adam,38,6.0,4.0,2.0,7.0,0.008333333333333333,0.008333333333333333,0.09294511241366318,0.09294511241366318,0.3684210526315789,MALE,1821
seib,3,2.0,1.0,1.0,1.0,0.0,0.0,0.010103138179220705,0.010103138179220705,0.3333333333333333,MALE,1821
zweiter_bandlkramer,3,1.0,0.0,1.0,1.0,0.0,0.0,0.004498202698450231,0.004498202698450231,0.3333333333333333,MALE,1821
baerbel,13,3.0,2.0,1.0,4.0,0.0,0.0,0.06327750804031729,0.06327750804031729,0.3076923076923077,FEMALE,1821
harmonikus,14,3.0,1.0,2.0,2.0,0.0019230769230769232,0.003205128205128205,0.012171420909750076,0.012171420909750076,0.2857142857142857,MALE,1821
herfort,4,1.0,0.0,1.0,1.0,0.0,0.0,0.004498202698450231,0.004498202698450231,0.25,MALE,1821
lisette_stubenmaedel,5,2.0,1.0,1.0,1.0,0.0,0.0,0.015508416392410206,0.015508416392410206,0.2,FEMALE,1821
nettchen,5,3.0,2.0,1.0,1.0,0.0,0.0,0.02810245039009613,0.02810245039009613,0.2,FEMALE,1821
lisette,6,1.0,0.0,1.0,1.0,0.0,0.0,0.004498202698450231,0.004498202698450231,0.16666666666666666,FEMALE,1821
wildgans,6,3.0,2.0,1.0,1.0,0.002564102564102564,0.002564102564102564,0.014715355071496874,0.014715355071496874,0.16666666666666666,MALE,1821
schwarz,14,2.0,1.0,1.0,2.0,0.0,0.0,0.010891876449595224,0.010891876449595224,0.14285714285714285,MALE,1821
hans,9,3.0,2.0,1.0,1.0,0.0,0.001282051282051282,0.019481814597266816,0.019481814597266816,0.1111111111111111,MALE,1821
philipp,12,2.0,1.0,1.0,1.0,0.0,0.0,0.02284855885505019,0.02284855885505019,0.08333333333333333,MALE,1821
lange,14,3.0,2.0,1.0,1.0,0.000641025641025641,0.000641025641025641,0.03269074321213721,0.03269074321213721,0.07142857142857142,MALE,1821
turbarius,16,3.0,2.0,1.0,1.0,0.0,0.0,0.020051096581327015,0.020051096581327015,0.0625,MALE,1821
richter,9,2.0,2.0,0.0,0.0,0.0,0.0,0.009046771711401651,0.009046771711401651,0.0,MALE,1821
bernhard,5,1.0,1.0,0.0,0.0,0.0,0.0,0.009671088578237667,0.009671088578237667,0.0,MALE,1821
marthe,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010891876449595224,0.010891876449595224,0.0,FEMALE,1821
chor_alle_1-1_und_1-2,5,1.0,1.0,0.0,0.0,0.0,0.0,0.010891876449595224,0.010891876449595224,0.0,,1821
chor_alle_1-9_bis_1-13,9,,,,,,,,,,,1821
die_hausiererin,1,,,,,,,,,,FEMALE,1821
bub,1,,,,,,,,,,MALE,1821
alle_2-1,2,,,,,,,,,,,1821
geschworner,3,,,,,,,,,,MALE,1821
die_geschwornen,1,,,,,,,,,,,1821
malchen,7,,,,,,,,,,FEMALE,1821
chor_2-11,1,,,,,,,,,,,1821
chor_alle_2-19,2,,,,,,,,,,,1821
die_weiber,2,,,,,,,,,,,1821
die_maenner,2,,,,,,,,,,,1821
