,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
beaumarchais,88,9,3,6,19,0.2361111111111111,0.16666666666666666,0.14226256220316483,0.14226256220316483,1.2954545454545454,MALE,1774
buenco,19,7,3,4,6,0.048611111111111105,0.16435185185185183,0.06837859227230339,0.06837859227230339,1.263157894736842,MALE,1774
marie,55,7,4,3,16,0.030092592592592587,0.05555555555555555,0.13750240959970708,0.13750240959970708,0.8727272727272727,FEMALE,1774
clavigo,140,9,4,5,19,0.3703703703703703,0.35995370370370366,0.20533740217475413,0.20533740217475413,0.6785714285714285,MALE,1774
sophie,60,8,5,3,9,0.009259259259259259,0.08796296296296295,0.13297645499066216,0.13297645499066216,0.44999999999999996,FEMALE,1774
carlos,67,2,1,1,25,0.0,0.0,0.1066871932322647,0.1066871932322647,0.373134328358209,MALE,1774
guilbert,18,4,2,2,2,0.0,0.2523148148148148,0.04006420960119144,0.04006420960119144,0.2222222222222222,MALE,1774
bedienter,8,2,1,1,1,0.09722222222222221,0.09722222222222221,0.060756993434890896,0.060756993434890896,0.125,MALE,1774
saint_george,2,1,1,0,0,0.0,0.0,0.03037724490662564,0.03037724490662564,0.0,MALE,1774
die_maenner,1,1,1,0,0,0.0,0.0,0.07565693758443585,0.07565693758443585,0.0,MALE,1774
