,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_graf,162,19.0,8.0,11.0,49.0,0.1888888888888889,0.2329166666666667,0.1351271647176907,0.1351271647176907,3.3271604938271606,MALE,1791
domherr,113,19.0,9.0,10.0,31.0,0.1497777777777778,0.1652777777777778,0.10833973338954592,0.10833973338954592,2.743362831858407,MALE,1791
der_ritter,110,11.0,5.0,6.0,38.0,0.019055555555555558,0.09375,0.10031903146695266,0.10031903146695266,2.0727272727272728,MALE,1791
die_marquise,144,14.0,7.0,7.0,39.0,0.03955555555555556,0.021666666666666667,0.12634041916980338,0.12634041916980338,1.8958333333333333,FEMALE,1791
der_marquis,97,9.0,4.0,5.0,29.0,0.033166666666666664,0.021666666666666667,0.08158107724211482,0.08158107724211482,1.4948453608247423,MALE,1791
nichte,132,13.0,7.0,6.0,27.0,0.05705555555555556,0.08236111111111112,0.10060066578820243,0.10060066578820243,1.2272727272727273,FEMALE,1791
ein_bedienter_3-7,1,1.0,0.0,1.0,1.0,0.0,0.0,0.011071873087300763,0.011071873087300763,1.0,MALE,1791
jaeck,19,4.0,1.0,3.0,4.0,0.0,0.0016666666666666668,0.026906917951465815,0.026906917951465815,0.631578947368421,MALE,1791
chor_der_kinder,2,1.0,0.0,1.0,1.0,0.0,0.0,0.011071873087300763,0.011071873087300763,0.5,,1791
bedienter_3-3,2,2.0,1.0,1.0,1.0,0.0,0.0,0.014042543438578556,0.014042543438578556,0.5,MALE,1791
die_schweizer,2,1.0,0.0,1.0,1.0,0.0,0.0,0.011071873087300763,0.011071873087300763,0.5,,1791
erstes_maedchen,2,2.0,1.0,1.0,1.0,0.0,0.0,0.013415934414901059,0.013415934414901059,0.5,FEMALE,1791
la_fleur,17,4.0,2.0,2.0,4.0,0.0008333333333333334,0.08,0.0276621518897345,0.0276621518897345,0.47058823529411764,MALE,1791
saint_jean,7,1.0,0.0,1.0,3.0,0.0,0.0,0.011071873087300763,0.011071873087300763,0.42857142857142855,MALE,1791
oberst,43,8.0,4.0,4.0,4.0,0.03333333333333333,0.12583333333333335,0.042168521790419654,0.042168521790419654,0.37209302325581395,MALE,1791
juwelier,5,2.0,1.0,1.0,1.0,0.0,0.0,0.01701321378985635,0.01701321378985635,0.2,MALE,1791
zweiter_schueler,2,1.0,1.0,0.0,0.0,0.0,0.0,0.015759995742501354,0.015759995742501354,0.0,MALE,1791
erster_schueler,3,1.0,1.0,0.0,0.0,0.0,0.0,0.01810405707010165,0.01810405707010165,0.0,MALE,1791
zweites_maedchen,2,2.0,2.0,0.0,0.0,0.0,0.0,0.024819711540873292,0.024819711540873292,0.0,FEMALE,1791
die_frauen,9,1.0,1.0,0.0,0.0,0.0,0.0,0.014042543438578556,0.014042543438578556,0.0,,1791
bedienter_1-1b,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013825376294290516,0.013825376294290516,0.0,MALE,1791
ein_bedienter_1-1a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014042543438578556,0.014042543438578556,0.0,MALE,1791
chor_von_innen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.020483164405601825,0.020483164405601825,0.0,,1791
ein_maedchen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014238882060133774,0.014238882060133774,0.0,FEMALE,1791
schweizer_5-7,2,1.0,1.0,0.0,0.0,0.0,0.0,0.013415934414901059,0.013415934414901059,0.0,MALE,1791
ein_schweizer_5-8,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013462924195970673,0.013462924195970673,0.0,MALE,1791
bediente,1,,,,,,,,,,,1791
die_maenner,3,,,,,,,,,,,1791
bedienter_3-2,1,,,,,,,,,,MALE,1791
chor_der_juenglinge,1,,,,,,,,,,,1791
ein_schweizer_5-3,3,,,,,,,,,,MALE,1791
zwei_schweizer_5-3,1,,,,,,,,,,,1791
